n,family,mean_score,mean_identity_variant,mean_score_A2,count,zeta,variant
40,lorentzian_like_2d,-59.52583089991151,-0.6957610400187005,-56.74278673983671,8,4.0,blind_knn5_zscore
40,multi_layer_random,-59.208771389868524,0.6957610400187001,-61.991815549943325,8,4.0,blind_knn5_zscore
30,lorentzian_like_2d,-37.226801091377915,0.046077567758409085,-37.45718893016996,8,5.0,blind_knn5_zscore
30,multi_layer_random,-42.444121232880526,-0.04607756775840921,-42.21373339408848,8,5.0,blind_knn5_zscore
40,lorentzian_like_2d,-60.221591939930214,-0.6957610400187005,-56.74278673983671,8,5.0,blind_knn5_zscore
40,multi_layer_random,-58.51301034984982,0.6957610400187001,-61.991815549943325,8,5.0,blind_knn5_zscore
30,lorentzian_like_2d,-37.180723523619505,0.046077567758409085,-37.45718893016996,8,6.0,blind_knn5_zscore
30,multi_layer_random,-42.490198800638936,-0.04607756775840921,-42.21373339408848,8,6.0,blind_knn5_zscore
40,lorentzian_like_2d,-60.917352979948916,-0.6957610400187005,-56.74278673983671,8,6.0,blind_knn5_zscore
40,multi_layer_random,-57.81724930983112,0.6957610400187001,-61.991815549943325,8,6.0,blind_knn5_zscore
30,lorentzian_like_2d,-37.45718893016996,0.01041666666666665,-37.45718893016996,8,0.0,blind_self_hit_centered
30,multi_layer_random,-42.21373339408848,-0.010416666666666682,-42.21373339408848,8,0.0,blind_self_hit_centered
40,lorentzian_like_2d,-56.74278673983671,-0.010416666666666682,-56.74278673983671,8,0.0,blind_self_hit_centered
40,multi_layer_random,-61.991815549943325,0.010416666666666657,-61.991815549943325,8,0.0,blind_self_hit_centered
30,lorentzian_like_2d,-37.45198059683663,0.01041666666666665,-37.45718893016996,8,0.5,blind_self_hit_centered
30,multi_layer_random,-42.218941727421814,-0.010416666666666682,-42.21373339408848,8,0.5,blind_self_hit_centered
40,lorentzian_like_2d,-56.747995073170046,-0.010416666666666682,-56.74278673983671,8,0.5,blind_self_hit_centered
40,multi_layer_random,-61.98660721660999,0.010416666666666657,-61.991815549943325,8,0.5,blind_self_hit_centered
30,lorentzian_like_2d,-37.44677226350329,0.01041666666666665,-37.45718893016996,8,1.0,blind_self_hit_centered
30,multi_layer_random,-42.22415006075515,-0.010416666666666682,-42.21373339408848,8,1.0,blind_self_hit_centered
40,lorentzian_like_2d,-56.753203406503374,-0.010416666666666682,-56.74278673983671,8,1.0,blind_self_hit_centered
