n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_info,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group,dropped_term
40,random_layered_k6_middle_heavy,6,0.2,1.0,A4,62.749913397092214,4.531612208797501,sis,0.06941944444444444,1.3391469460967407,1.3340366597356204,1.3340366597356204,-62.48310606514509,-1.5620776516286272,-0.4234558681191267,-0.3533206164389758,-0.23448055945341822,11.997395568797584,0.5296162941528668,0.3064245045482921,0.37771632874914646,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,6,0.5,1.0,A4,62.749913397092214,4.531612208797501,sis,0.06941944444444444,1.3391469460967407,1.3340366597356204,1.3340366597356204,-62.082895067224406,-1.5520723766806102,-0.42074358785286353,-0.3533206164389758,-0.23448055945341822,11.997395568797584,0.5296162941528668,0.23608033671226666,0.37771632874914646,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,6,1.0,1.0,A4,62.749913397092214,4.531612208797501,sis,0.06941944444444444,1.3391469460967407,1.3340366597356204,1.3340366597356204,-61.41587673735659,-1.5353969184339147,-0.41622312074242473,-0.3533206164389758,-0.23448055945341822,11.997395568797584,0.5296162941528668,0.11884005698555755,0.37771632874914646,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,7,0.0,1.0,A4,59.48268403739871,3.6862554496728546,sis,0.05876801215277777,0.8224577936480878,1.2884337352913364,1.2884337352913364,-59.48268403739871,-1.4870671009349679,-0.4031216306828761,-0.6256488347558579,-0.32058615127103185,11.997395568797584,0.5296162941528668,0.6256488347558579,0.30725463943690756,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,7,0.2,1.0,A4,59.48268403739871,3.6862554496728546,sis,0.05876801215277777,0.8224577936480878,1.2884337352913364,1.2884337352913364,-59.22499729034045,-1.4806249322585112,-0.4013752551895614,-0.6256488347558579,-0.32058615127103185,11.997395568797584,0.5296162941528668,0.5615316045016515,0.30725463943690756,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,7,0.5,1.0,A4,59.48268403739871,3.6862554496728546,sis,0.05876801215277777,0.8224577936480878,1.2884337352913364,1.2884337352913364,-58.838467169753045,-1.470961679243826,-0.3987556919495894,-0.6256488347558579,-0.32058615127103185,11.997395568797584,0.5296162941528668,0.46535575912034194,0.30725463943690756,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,7,1.0,1.0,A4,59.48268403739871,3.6862554496728546,sis,0.05876801215277777,0.8224577936480878,1.2884337352913364,1.2884337352913364,-58.19425030210738,-1.4548562575526844,-0.39438975321630265,-0.6256488347558579,-0.32058615127103185,11.997395568797584,0.5296162941528668,0.305062683484826,0.30725463943690756,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_longjump,0,0.0,1.0,A4,56.237947990127324,3.876548090766038,sis,0.07529965277777778,2.369453741912835,1.226180652708955,1.226180652708955,-56.237947990127324,-1.4059486997531832,-0.3811316464096521,-0.8961022034611614,-0.4381298961853697,11.997395568797584,0.5296162941528668,0.8961022034611614,0.32311580197022355,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_longjump,0,0.2,1.0,A4,56.237947990127324,3.876548090766038,sis,0.07529965277777778,2.369453741912835,1.226180652708955,1.226180652708955,-55.99271185958553,-1.3998177964896383,-0.3794696503103468,-0.8961022034611614,-0.4381298961853697,11.997395568797584,0.5296162941528668,0.8084762242240875,0.32311580197022355,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_longjump,0,0.5,1.0,A4,56.237947990127324,3.876548090766038,sis,0.07529965277777778,2.369453741912835,1.226180652708955,1.226180652708955,-55.62485766377284,-1.390621441594321,-0.37697665616138887,-0.8961022034611614,-0.4381298961853697,11.997395568797584,0.5296162941528668,0.6770372553684766,0.32311580197022355,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
