family,tier,N,seed,aw,cf,aw_over_sqrtN
lorentzian_like_3d,Tier-1,52,42,17,0.332579185520362,2.3574758339572237
lorentzian_like_3d,Tier-1,52,43,18,0.30392156862745096,2.4961508830135313
lorentzian_like_3d,Tier-1,52,44,15,0.32654600301659126,2.0801257358446095
lorentzian_like_3d,Tier-1,52,45,18,0.3167420814479638,2.4961508830135313
lorentzian_like_3d,Tier-1,52,46,18,0.3295625942684766,2.4961508830135313
lorentzian_like_3d,Tier-1,52,47,21,0.30618401206636503,2.912176030182453
lorentzian_like_3d,Tier-1,52,48,19,0.2707390648567119,2.6348259320698384
lorentzian_like_3d,Tier-1,52,49,17,0.2918552036199095,2.3574758339572237
lorentzian_like_3d,Tier-1,52,50,19,0.3009049773755656,2.6348259320698384
lorentzian_like_3d,Tier-1,52,51,17,0.28808446455505277,2.3574758339572237
lorentzian_like_3d,Tier-1,56,42,16,0.3168831168831169,2.138089935299395
lorentzian_like_3d,Tier-1,56,43,17,0.32792207792207795,2.271720556255607
lorentzian_like_3d,Tier-1,56,44,19,0.2922077922077922,2.538981798168032
lorentzian_like_3d,Tier-1,56,45,19,0.312987012987013,2.538981798168032
lorentzian_like_3d,Tier-1,56,46,17,0.31753246753246755,2.271720556255607
lorentzian_like_3d,Tier-1,56,47,22,0.2915584415584416,2.9398736610366685
lorentzian_like_3d,Tier-1,56,48,18,0.2935064935064935,2.4053511772118195
lorentzian_like_3d,Tier-1,56,49,20,0.3012987012987013,2.6726124191242437
lorentzian_like_3d,Tier-1,56,50,18,0.2850649350649351,2.4053511772118195
lorentzian_like_3d,Tier-1,56,51,16,0.2974025974025974,2.138089935299395
lorentzian_like_4d,Tier-1,20,42,13,0.1736842105263158,2.9068883707497264
lorentzian_like_4d,Tier-1,20,43,11,0.23684210526315788,2.4596747752497685
lorentzian_like_4d,Tier-1,20,44,10,0.24210526315789474,2.23606797749979
lorentzian_like_4d,Tier-1,20,45,17,0.08947368421052632,3.801315561749642
lorentzian_like_4d,Tier-1,20,46,11,0.25263157894736843,2.4596747752497685
lorentzian_like_4d,Tier-1,20,47,13,0.1368421052631579,2.9068883707497264
lorentzian_like_4d,Tier-1,20,48,14,0.08421052631578947,3.1304951684997055
lorentzian_like_4d,Tier-1,20,49,11,0.18421052631578946,2.4596747752497685
lorentzian_like_4d,Tier-1,20,50,9,0.2631578947368421,2.0124611797498106
lorentzian_like_4d,Tier-1,20,51,10,0.19473684210526315,2.23606797749979
lorentzian_like_4d,Tier-1,28,42,14,0.20634920634920634,2.6457513110645903
lorentzian_like_4d,Tier-1,28,43,12,0.29365079365079366,2.2677868380553634
lorentzian_like_4d,Tier-1,28,44,13,0.23809523809523808,2.456769074559977
lorentzian_like_4d,Tier-1,28,45,19,0.1746031746031746,3.5906624935876583
lorentzian_like_4d,Tier-1,28,46,15,0.22486772486772486,2.834733547569204
lorentzian_like_4d,Tier-1,28,47,16,0.18518518518518517,3.0237157840738176
lorentzian_like_4d,Tier-1,28,48,18,0.10582010582010581,3.401680257083045
lorentzian_like_4d,Tier-1,28,49,15,0.22486772486772486,2.834733547569204
lorentzian_like_4d,Tier-1,28,50,15,0.15873015873015872,2.834733547569204
lorentzian_like_4d,Tier-1,28,51,13,0.1984126984126984,2.456769074559977
lorentzian_like_4d,Tier-1,36,42,19,0.20476190476190476,3.1666666666666665
lorentzian_like_4d,Tier-1,36,43,18,0.22698412698412698,3.0
lorentzian_like_4d,Tier-1,36,44,19,0.1746031746031746,3.1666666666666665
lorentzian_like_4d,Tier-1,36,45,21,0.18253968253968253,3.5
lorentzian_like_4d,Tier-1,36,46,19,0.22857142857142856,3.1666666666666665
lorentzian_like_4d,Tier-1,36,47,18,0.15873015873015872,3.0
lorentzian_like_4d,Tier-1,36,48,19,0.14761904761904762,3.1666666666666665
lorentzian_like_4d,Tier-1,36,49,19,0.18571428571428572,3.1666666666666665
lorentzian_like_4d,Tier-1,36,50,19,0.1746031746031746,3.1666666666666665
lorentzian_like_4d,Tier-1,36,51,19,0.173015873015873,3.1666666666666665
lorentzian_like_4d,Tier-1,44,42,20,0.17230443974630022,3.015113445777636
lorentzian_like_4d,Tier-1,44,43,20,0.18816067653276955,3.015113445777636
lorentzian_like_4d,Tier-1,44,44,19,0.19556025369978858,2.8643577734887544
lorentzian_like_4d,Tier-1,44,45,23,0.17547568710359407,3.467380462644282
lorentzian_like_4d,Tier-1,44,46,20,0.2135306553911205,3.015113445777636
