scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,entropy_method,count
2.000,2.0,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.8830284062285487,80.0565939072913,exact,2
2.000,2.0,52,0.1,KR_like,-107.0053814121265,0.4563463658951281,16.90269000692558,108.69565041281906,sis,2
2.000,2.0,52,0.1,lorentzian_like_2d,-79.86829106666845,1.3273429414119269,1.8830284062285487,80.0565939072913,exact,2
2.000,2.0,52,0.2,KR_like,-105.31511241143394,0.5321700948486209,16.90269000692558,108.69565041281906,sis,2
2.000,2.0,52,0.2,lorentzian_like_2d,-79.6799882260456,1.3398112523530332,1.8830284062285487,80.0565939072913,exact,2
2.000,2.0,52,0.4,KR_like,-101.93457441004884,0.6838175527555914,16.90269000692558,108.69565041281906,sis,2
2.000,2.0,52,0.4,lorentzian_like_2d,-79.30338254479989,1.3647478742352355,1.8830284062285487,80.0565939072913,exact,2
2.000,2.0,52,0.6,KR_like,-98.55403640866372,0.8354650106625519,16.90269000692558,108.69565041281906,sis,2
2.000,2.0,52,0.6,lorentzian_like_2d,-78.92677686355418,1.389684496117418,1.8830284062285487,80.0565939072913,exact,2
2.000,2.0,52,0.8,KR_like,-95.1734984072786,0.9871124685695273,16.90269000692558,108.69565041281906,sis,2
2.000,2.0,52,0.8,lorentzian_like_2d,-78.55017118230847,1.4146211179996204,1.8830284062285487,80.0565939072913,exact,2
2.000,2.0,52,1.0,KR_like,-91.79296040589348,1.1387599264765027,16.90269000692558,108.69565041281906,sis,2
2.000,2.0,52,1.0,lorentzian_like_2d,-78.17356550106275,1.4395577398818076,1.8830284062285487,80.0565939072913,exact,2
2.000,2.0,52,1.5,KR_like,-83.34161540243069,1.5178785712439113,16.90269000692558,108.69565041281906,sis,2
2.000,2.0,52,1.5,lorentzian_like_2d,-77.23205129794849,1.5018992945872986,1.8830284062285487,80.0565939072913,exact,2
2.000,2.0,52,2.0,lorentzian_like_2d,-76.2905370948342,1.5642408492927795,1.8830284062285487,80.0565939072913,exact,2
2.000,2.0,52,2.0,KR_like,-74.8902703989679,1.8969972160113402,16.90269000692558,108.69565041281906,sis,2
2.020,2.02,52,0.0,KR_like,-108.69565041281906,0.3805226369416454,16.977384115812427,108.69565041281906,sis,2
2.020,2.02,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.9008437977914259,80.0565939072913,exact,2
2.020,2.02,52,0.1,KR_like,-106.99791200123782,0.4571021139645714,16.977384115812427,108.69565041281906,sis,2
2.020,2.02,52,0.1,lorentzian_like_2d,-79.86650952751216,1.3274225558777168,1.9008437977914259,80.0565939072913,exact,2
2.020,2.02,52,0.2,KR_like,-105.30017358965658,0.5336815909874975,16.977384115812427,108.69565041281906,sis,2
2.020,2.02,52,0.2,lorentzian_like_2d,-79.67642514773303,1.3399704812846027,1.9008437977914259,80.0565939072913,exact,2
2.020,2.02,52,0.4,KR_like,-101.90469676649408,0.6868405450333546,16.977384115812427,108.69565041281906,sis,2
2.020,2.02,52,0.4,lorentzian_like_2d,-79.29625638817473,1.3650663320983598,1.9008437977914259,80.0565939072913,exact,2
2.020,2.02,52,0.6,KR_like,-98.5092199433316,0.8399994990792217,16.977384115812427,108.69565041281906,sis,2
2.020,2.02,52,0.6,lorentzian_like_2d,-78.91608762861645,1.3901621829121267,1.9008437977914259,80.0565939072913,exact,2
2.020,2.02,52,0.8,KR_like,-95.11374312016912,0.9931584531250738,16.977384115812427,108.69565041281906,sis,2
2.020,2.02,52,0.8,lorentzian_like_2d,-78.53591886905816,1.4152580337258838,1.9008437977914259,80.0565939072913,exact,2
2.020,2.02,52,1.0,KR_like,-91.71826629700664,1.1463174071709257,16.977384115812427,108.69565041281906,sis,2
2.020,2.02,52,1.0,lorentzian_like_2d,-78.15575010949988,1.4403538845396509,1.9008437977914259,80.0565939072913,exact,2
2.020,2.02,52,1.5,KR_like,-83.22957423910043,1.529214792285591,16.977384115812427,108.69565041281906,sis,2
2.020,2.02,52,1.5,lorentzian_like_2d,-77.20532821060416,1.5030935115740607,1.9008437977914259,80.0565939072913,exact,2
2.020,2.02,52,2.0,lorentzian_like_2d,-76.25490631170845,1.5658331386084556,1.9008437977914259,80.0565939072913,exact,2
2.020,2.02,52,2.0,KR_like,-74.74088218119421,1.9121121774002263,16.977384115812427,108.69565041281906,sis,2
2.040,2.04,52,0.0,KR_like,-108.69565041281906,0.3805226369416454,17.052078224699272,108.69565041281906,sis,2
2.040,2.04,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.9186591893543032,80.0565939072913,exact,2
2.040,2.04,52,0.1,KR_like,-106.99044259034913,0.45785786203401974,17.052078224699272,108.69565041281906,sis,2
2.040,2.04,52,0.1,lorentzian_like_2d,-79.86472798835587,1.3275021703434966,1.9186591893543032,80.0565939072913,exact,2
2.040,2.04,52,0.2,KR_like,-105.2852347678792,0.5351930871263941,17.052078224699272,108.69565041281906,sis,2
2.040,2.04,52,0.2,lorentzian_like_2d,-79.67286206942043,1.3401297102161625,1.9186591893543032,80.0565939072913,exact,2
2.040,2.04,52,0.4,KR_like,-101.87481912293936,0.6898635373111428,17.052078224699272,108.69565041281906,sis,2
2.040,2.04,52,0.4,lorentzian_like_2d,-79.28913023154958,1.365384789961499,1.9186591893543032,80.0565939072913,exact,2
2.040,2.04,52,0.6,KR_like,-98.4644034779995,0.8445339874958765,17.052078224699272,108.69565041281906,sis,2
