n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
10,lorentzian_like_2d,0,0.5,1.0,A2,7.090076835776092,0.0,exact,0.0929,1.987202168888886,2.080102168888886,-6.050025751331649,-0.6050025751331649,-0.262749279917591,-0.7121684512493698,-0.15084566916436,2.4917559921107157,3.8019324860143353,0.6367456166671898,0.0,robust_zscore,n
10,lorentzian_like_2d,0,0.5,1.0,A3,7.090076835776092,0.0,exact,0.0929,1.987202168888886,1.987202168888886,-6.096475751331649,-0.6096475751331649,-0.26476657778603163,-0.7121684512493698,-0.17528061122125846,2.4917559921107157,3.8019324860143353,0.6245281456387406,0.0,robust_zscore,n
10,lorentzian_like_2d,0,1.0,1.0,A1,7.090076835776092,0.0,exact,0.0929,1.987202168888886,0.0929,-6.9971768357760915,-0.6997176835776091,-0.3038835288678812,-0.7121684512493698,-0.6735277988967903,2.4917559921107157,3.8019324860143353,0.03864065235257952,0.0,robust_zscore,n
10,lorentzian_like_2d,0,1.0,1.0,A2,7.090076835776092,0.0,exact,0.0929,1.987202168888886,2.080102168888886,-5.009974666887206,-0.5009974666887206,-0.21758043523041953,-0.7121684512493698,-0.15084566916436,2.4917559921107157,3.8019324860143353,0.5613227820850097,0.0,robust_zscore,n
10,lorentzian_like_2d,0,1.0,1.0,A3,7.090076835776092,0.0,exact,0.0929,1.987202168888886,1.987202168888886,-5.102874666887206,-0.5102874666887206,-0.22161503096730073,-0.7121684512493698,-0.17528061122125846,2.4917559921107157,3.8019324860143353,0.5368878400281113,0.0,robust_zscore,n
10,lorentzian_like_2d,0,1.5,1.0,A1,7.090076835776092,0.0,exact,0.0929,1.987202168888886,0.0929,-6.950726835776091,-0.6950726835776091,-0.3018662309994406,-0.7121684512493698,-0.6735277988967903,2.4917559921107157,3.8019324860143353,-0.2981232470958155,0.0,robust_zscore,n
10,lorentzian_like_2d,0,1.5,1.0,A2,7.090076835776092,0.0,exact,0.0929,1.987202168888886,2.080102168888886,-3.9699235824427626,-0.39699235824427626,-0.17241159054324806,-0.7121684512493698,-0.15084566916436,2.4917559921107157,3.8019324860143353,0.4858999475028298,0.0,robust_zscore,n
10,lorentzian_like_2d,0,1.5,1.0,A3,7.090076835776092,0.0,exact,0.0929,1.987202168888886,1.987202168888886,-4.109273582442762,-0.41092735824427623,-0.17846348414856988,-0.7121684512493698,-0.17528061122125846,2.4917559921107157,3.8019324860143353,0.4492475344174821,0.0,robust_zscore,n
10,lorentzian_like_2d,0,2.0,1.0,A1,7.090076835776092,0.0,exact,0.0929,1.987202168888886,0.0929,-6.904276835776091,-0.6904276835776091,-0.299848933131,-0.7121684512493698,-0.6735277988967903,2.4917559921107157,3.8019324860143353,-0.6348871465442107,0.0,robust_zscore,n
10,lorentzian_like_2d,0,2.0,1.0,A2,7.090076835776092,0.0,exact,0.0929,1.987202168888886,2.080102168888886,-2.9298724979983195,-0.29298724979983193,-0.12724274585607662,-0.7121684512493698,-0.15084566916436,2.4917559921107157,3.8019324860143353,0.41047711292064976,0.0,robust_zscore,n
10,lorentzian_like_2d,0,2.0,1.0,A3,7.090076835776092,0.0,exact,0.0929,1.987202168888886,1.987202168888886,-3.11567249799832,-0.31156724979983197,-0.13531193732983907,-0.7121684512493698,-0.17528061122125846,2.4917559921107157,3.8019324860143353,0.36160722880685287,0.0,robust_zscore,n
10,lorentzian_like_2d,0,3.0,1.0,A1,7.090076835776092,0.0,exact,0.0929,1.987202168888886,0.0929,-6.811376835776092,-0.6811376835776092,-0.29581433739411883,-0.7121684512493698,-0.6735277988967903,2.4917559921107157,3.8019324860143353,-1.3084149454410008,0.0,robust_zscore,n
