n,gamma,family,action_mode,normalization_method,mean_score_norm,std_score_norm,count
12,8.0,lorentzian_like_3d,A1,robust_zscore,-6.309149138924621,0.4916848667003589,10
12,8.0,multi_layer_random,A1,robust_zscore,-5.492540320356761,0.5857396588523289,10
12,8.0,KR_like,A1,robust_zscore,-5.410256641943301,0.328594656914258,10
12,8.0,interval_order,A1,robust_zscore,-5.07753794790585,0.8097228782468259,10
12,8.0,lorentzian_like_2d,A1,robust_zscore,-4.897320318159254,0.26800275746099717,10
12,8.0,absolute_layered,A1,robust_zscore,-3.9533910476978997,0.4392204447747652,10
12,10.0,transitive_percolation,A1,robust_zscore,-8.190245977230237,0.5157537411967837,10
12,10.0,lorentzian_like_3d,A1,robust_zscore,-7.637542045259458,0.5006305337031196,10
12,10.0,multi_layer_random,A1,robust_zscore,-6.843579037666702,0.5763197214860301,10
12,10.0,KR_like,A1,robust_zscore,-6.769363405188744,0.33580084360065654,10
12,10.0,interval_order,A1,robust_zscore,-6.421949064617924,0.80618649598931,10
12,10.0,lorentzian_like_2d,A1,robust_zscore,-6.2477792358964015,0.2716408669953018,10
12,10.0,absolute_layered,A1,robust_zscore,-5.257880617279293,0.39870920644272434,10
12,15.0,transitive_percolation,A1,robust_zscore,-11.375700237228504,0.5208988550134207,10
12,15.0,lorentzian_like_3d,A1,robust_zscore,-10.958524311096552,0.5331025055805408,10
12,15.0,multi_layer_random,A1,robust_zscore,-10.221175830941556,0.5535329027283229,10
12,15.0,KR_like,A1,robust_zscore,-10.167130313302353,0.35455057126412093,10
12,15.0,interval_order,A1,robust_zscore,-9.782976856398111,0.7990862789020361,10
12,15.0,lorentzian_like_2d,A1,robust_zscore,-9.62392653023927,0.28540738187827946,10
12,15.0,absolute_layered,A1,robust_zscore,-8.519104541232775,0.2977849275916642,10
12,20.0,transitive_percolation,A1,robust_zscore,-14.56115449722677,0.5772253317696862,10
12,20.0,lorentzian_like_3d,A1,robust_zscore,-14.279506576933645,0.5779409071272138,10
12,20.0,multi_layer_random,A1,robust_zscore,-13.598772624216409,0.5319473908980105,10
12,20.0,KR_like,A1,robust_zscore,-13.564897221415961,0.37422207314103006,10
12,20.0,interval_order,A1,robust_zscore,-13.144004648178296,0.7945233657235062,10
12,20.0,lorentzian_like_2d,A1,robust_zscore,-13.00007382458214,0.30507281828159094,10
12,20.0,absolute_layered,A1,robust_zscore,-11.780328465186255,0.19798498407355908,10
14,0.0,transitive_percolation,A1,robust_zscore,-1.8545713851747991,0.3441800872105064,10
14,0.0,lorentzian_like_3d,A1,robust_zscore,-0.6962331763450836,0.3235352211740025,10
14,0.0,KR_like,A1,robust_zscore,-0.0982863559183255,0.13299491490437912,10
14,0.0,multi_layer_random,A1,robust_zscore,-0.08484236583616729,0.3953998292198468,10
14,0.0,interval_order,A1,robust_zscore,0.5037232283012364,0.7429571302464073,10
14,0.0,lorentzian_like_2d,A1,robust_zscore,0.619550818689927,0.2527370074621772,10
14,0.0,absolute_layered,A1,robust_zscore,1.0714365932082062,0.30894871427389775,10
14,0.5,transitive_percolation,A1,robust_zscore,-2.1814585361056906,0.3370434433631658,10
14,0.5,lorentzian_like_3d,A1,robust_zscore,-1.0332001012926055,0.3237921568252129,10
14,0.5,KR_like,A1,robust_zscore,-0.43772434750541833,0.1340358284739645,10
14,0.5,multi_layer_random,A1,robust_zscore,-0.4244077168897221,0.39483639378082586,10
14,0.5,interval_order,A1,robust_zscore,0.16981080842346075,0.7402263672809631,10
14,0.5,lorentzian_like_2d,A1,robust_zscore,0.27988378816839743,0.2520368545196833,10
14,0.5,absolute_layered,A1,robust_zscore,0.7392543307120673,0.3049404777545869,10
14,1.0,transitive_percolation,A1,robust_zscore,-2.5083456870365826,0.33005919877452894,10
14,1.0,lorentzian_like_3d,A1,robust_zscore,-1.3701670262401273,0.32413403971387594,10
14,1.0,KR_like,A1,robust_zscore,-0.7771623390925112,0.13510477719346867,10
14,1.0,multi_layer_random,A1,robust_zscore,-0.763973067943277,0.3943016085391667,10
14,1.0,interval_order,A1,robust_zscore,-0.16410161145431487,0.7375214743587845,10
14,1.0,lorentzian_like_2d,A1,robust_zscore,-0.05978324235313219,0.25134154249791096,10
14,1.0,absolute_layered,A1,robust_zscore,0.40707206821592845,0.3009330469984507,10
14,1.5,transitive_percolation,A1,robust_zscore,-2.835232837967474,0.3232372323495319,10
14,1.5,lorentzian_like_3d,A1,robust_zscore,-1.707133951187649,0.3245606013971047,10
14,1.5,KR_like,A1,robust_zscore,-1.1166003306796042,0.13620110097869037,10
14,1.5,multi_layer_random,A1,robust_zscore,-1.1035384189968318,0.39379559021815447,10
14,1.5,interval_order,A1,robust_zscore,-0.49801403133209055,0.7348427371561403,10
14,1.5,lorentzian_like_2d,A1,robust_zscore,-0.3994502728746619,0.25065111168334414,10
14,1.5,absolute_layered,A1,robust_zscore,0.07488980571978957,0.2969264546301366,10
14,2.0,transitive_percolation,A1,robust_zscore,-3.1621199888983655,0.3165880347675876,10
14,2.0,lorentzian_like_3d,A1,robust_zscore,-2.044100876135171,0.32507150852630057,10
14,2.0,KR_like,A1,robust_zscore,-1.4560383222666968,0.1373241441867881,10
14,2.0,multi_layer_random,A1,robust_zscore,-1.4431037700503866,0.3933184498468366,10
14,2.0,interval_order,A1,robust_zscore,-0.8319264512098663,0.7321904427471658,10
14,2.0,lorentzian_like_2d,A1,robust_zscore,-0.7391173033961914,0.24996560252318145,10
14,2.0,absolute_layered,A1,robust_zscore,-0.2572924567763494,0.29292073505224614,10
14,3.0,transitive_percolation,A1,robust_zscore,-3.8158942907601494,0.30385302305422196,10
14,3.0,lorentzian_like_3d,A1,robust_zscore,-2.718034726030215,0.32634470916976044,10
14,3.0,KR_like,A1,robust_zscore,-2.1349143054408826,0.13964779503749394,10
14,3.0,multi_layer_random,A1,robust_zscore,-2.1222344721574964,0.3924512178948066,10
14,3.0,interval_order,A1,robust_zscore,-1.4997512909654174,0.726966337125581,10
14,3.0,lorentzian_like_2d,A1,robust_zscore,-1.418451364439251,0.2486095117238689,10
14,3.0,absolute_layered,A1,robust_zscore,-0.9216569817686271,0.2849120615116601,10
14,4.0,transitive_percolation,A1,robust_zscore,-4.469668592621932,0.29195051340808215,10
14,4.0,lorentzian_like_3d,A1,robust_zscore,-3.391968575925259,0.3279497314282006,10
14,4.0,KR_like,A1,robust_zscore,-2.813790288615068,0.14207061296094026,10
14,4.0,multi_layer_random,A1,robust_zscore,-2.801365174264606,0.3917006826751382,10
14,4.0,interval_order,A1,robust_zscore,-2.1675761307209687,0.7218514789974695,10
14,4.0,lorentzian_like_2d,A1,robust_zscore,-2.09778542548231,0.24727359666903223,10
14,4.0,absolute_layered,A1,robust_zscore,-1.586021506760905,0.27690734206517337,10
14,6.0,transitive_percolation,A1,robust_zscore,-5.777217196345498,0.271074321904438,10
14,6.0,lorentzian_like_3d,A1,robust_zscore,-4.739836275715346,0.3321350047870642,10
14,6.0,KR_like,A1,robust_zscore,-4.171542254963439,0.147193963401403,10
14,6.0,multi_layer_random,A1,robust_zscore,-4.159626578478825,0.39055228894712246,10
14,6.0,interval_order,A1,robust_zscore,-3.5032258102320712,0.7119588732683987,10
14,6.0,lorentzian_like_2d,A1,robust_zscore,-3.4564535475684286,0.2446636107710399,10
14,6.0,absolute_layered,A1,robust_zscore,-2.91475055674546,0.2609112210113756,10
14,8.0,transitive_percolation,A1,robust_zscore,-7.084765800069066,0.2548853485552416,10
14,8.0,lorentzian_like_3d,A1,robust_zscore,-6.087703975505433,0.3375787179885422,10
14,8.0,KR_like,A1,robust_zscore,-5.529294221311811,0.1526562542471891,10
14,8.0,multi_layer_random,A1,robust_zscore,-5.517887982693045,0.3898774163386745,10
14,8.0,interval_order,A1,robust_zscore,-4.838875489743174,0.7025314818103253,10
14,8.0,lorentzian_like_2d,A1,robust_zscore,-4.815121669654547,0.24213829709987658,10
14,8.0,absolute_layered,A1,robust_zscore,-4.243479606730016,0.2449357558701704,10
14,10.0,transitive_percolation,A1,robust_zscore,-8.392314403792632,0.24431713205539096,10
14,10.0,lorentzian_like_3d,A1,robust_zscore,-7.43557167529552,0.3442211711174699,10
14,10.0,KR_like,A1,robust_zscore,-6.887046187660182,0.15842243011645873,10
14,10.0,multi_layer_random,A1,robust_zscore,-6.876149386907263,0.3896785250888481,10
14,10.0,interval_order,A1,robust_zscore,-6.174525169254276,0.6935882747407458,10
14,10.0,lorentzian_like_2d,A1,robust_zscore,-6.173789791740665,0.23970033181110692,10
14,10.0,absolute_layered,A1,robust_zscore,-5.572208656714571,0.22898526994488883,10
14,15.0,transitive_percolation,A1,robust_zscore,-11.661185913101548,0.2463180469739398,10
14,15.0,lorentzian_like_3d,A1,robust_zscore,-10.80524092477074,0.3656142940904574,10
14,15.0,KR_like,A1,robust_zscore,-10.28142610353111,0.1739652639987776,10
14,15.0,multi_layer_random,A1,robust_zscore,-10.271802897442813,0.3912642039519037,10
14,15.0,lorentzian_like_2d,A1,robust_zscore,-9.570460096955962,0.23400524397359396,10
14,15.0,interval_order,A1,robust_zscore,-9.513649368032032,0.6734725880488245,10
14,15.0,absolute_layered,A1,robust_zscore,-8.89403128167596,0.18925976562142158,10
14,20.0,transitive_percolation,A1,robust_zscore,-14.930057422410465,0.2861790863882555,10
14,20.0,lorentzian_like_3d,A1,robust_zscore,-14.174910174245957,0.39291061231673186,10
14,20.0,KR_like,A1,robust_zscore,-13.67580601940204,0.1907991560356184,10
14,20.0,multi_layer_random,A1,robust_zscore,-13.66745640797836,0.39578880134380473,10
14,20.0,lorentzian_like_2d,A1,robust_zscore,-12.967130402171259,0.22891492901362293,10
14,20.0,interval_order,A1,robust_zscore,-12.852773566809788,0.6567901093100114,10
14,20.0,absolute_layered,A1,robust_zscore,-12.21585390663735,0.1498864637046953,10
16,0.0,transitive_percolation,A1,robust_zscore,-1.5753936288845982,0.9150460667183014,10
16,0.0,lorentzian_like_3d,A1,robust_zscore,-0.8337260042107605,0.31006143888517307,10
16,0.0,multi_layer_random,A1,robust_zscore,-0.2473912536981059,0.5555207116974588,10
16,0.0,KR_like,A1,robust_zscore,-0.13861289960611653,0.12182278116197401,10
16,0.0,interval_order,A1,robust_zscore,0.6613392060759768,0.5699159028146487,10
16,0.0,absolute_layered,A1,robust_zscore,0.7512708428855825,0.4646607335833599,10
16,0.0,lorentzian_like_2d,A1,robust_zscore,0.7585339349113728,0.26006678240558506,10
16,0.5,transitive_percolation,A1,robust_zscore,-1.8951369954910366,0.8980456159291869,10
16,0.5,lorentzian_like_3d,A1,robust_zscore,-1.16973535826771,0.3070240251817733,10
16,0.5,multi_layer_random,A1,robust_zscore,-0.5841040903816126,0.5538735172130674,10
16,0.5,KR_like,A1,robust_zscore,-0.47698213629491837,0.12281774151788367,10
16,0.5,interval_order,A1,robust_zscore,0.32618243171394423,0.5675675359175864,10
16,0.5,lorentzian_like_2d,A1,robust_zscore,0.4202735154738016,0.25971753986625196,10
16,0.5,absolute_layered,A1,robust_zscore,0.4263125695083663,0.4561761648212924,10
16,1.0,transitive_percolation,A1,robust_zscore,-2.2148803620974755,0.8812099676807145,10
16,1.0,lorentzian_like_3d,A1,robust_zscore,-1.5057447123246595,0.30412596891918314,10
16,1.0,multi_layer_random,A1,robust_zscore,-0.9208169270651194,0.5522415998038899,10
16,1.0,KR_like,A1,robust_zscore,-0.8153513729837203,0.12385091201023064,10
16,1.0,interval_order,A1,robust_zscore,-0.008974342648088256,0.5652293222836094,10
16,1.0,lorentzian_like_2d,A1,robust_zscore,0.08201309603623044,0.25937761686779426,10
