family,N,rep,perturbation,pert_rep,in_window_orig,F7_orig,cf_orig,returned,return_step,delta_F_recovery,basin_retention,final_F
Lor4D,16,1,del_edge,2,False,21.455819671841272,0.2,False,-1,-1.280550000309205,True,20.175269671532067
Lor4D,16,1,del_node,0,False,21.455819671841272,0.2,False,-1,-2.3856091653730935,False,19.07021050646818
Lor4D,16,1,del_node,1,False,21.455819671841272,0.2,False,-1,-4.180897472380632,True,17.27492219946064
Lor4D,16,1,del_node,2,False,21.455819671841272,0.2,False,-1,-2.82420788262748,False,18.631611789213792
Lor4D,16,2,add_edge,0,False,20.453719248715093,0.21666666666666667,False,-1,0.03636480111391904,True,20.49008404982901
Lor4D,16,2,add_edge,1,False,20.453719248715093,0.21666666666666667,False,-1,-1.3701856575456688,True,19.083533591169424
Lor4D,16,2,add_edge,2,False,20.453719248715093,0.21666666666666667,True,10,-7.372907311535327,False,13.080811937179766
Lor4D,16,2,del_edge,0,False,20.453719248715093,0.21666666666666667,False,-1,0.016854481454295467,False,20.470573730169388
Lor4D,16,2,del_edge,1,False,20.453719248715093,0.21666666666666667,False,-1,-0.14111482143387022,False,20.312604427281222
Lor4D,16,2,del_edge,2,False,20.453719248715093,0.21666666666666667,False,-1,0.48767132804410807,False,20.9413905767592
Lor4D,16,2,del_node,0,False,20.453719248715093,0.21666666666666667,False,-1,-2.7910747234577364,False,17.662644525257356
Lor4D,16,2,del_node,1,False,20.453719248715093,0.21666666666666667,False,-1,-1.6451342469698247,False,18.808585001745268
Lor4D,16,2,del_node,2,False,20.453719248715093,0.21666666666666667,False,-1,-3.104002262736625,True,17.349716985978468
Lor5D,16,0,add_edge,0,False,22.325539325767547,0.15,False,-1,-0.7030662610917275,True,21.62247306467582
Lor5D,16,0,add_edge,1,False,22.325539325767547,0.15,False,-1,-1.7127004609659267,True,20.61283886480162
Lor5D,16,0,add_edge,2,False,22.325539325767547,0.15,True,4,0.15283849949564043,False,22.478377825263188
Lor5D,16,0,del_edge,0,False,22.325539325767547,0.15,False,-1,-0.4807430008426614,True,21.844796324924886
Lor5D,16,0,del_edge,1,False,22.325539325767547,0.15,False,-1,-1.0947839487189732,True,21.230755377048574
Lor5D,16,0,del_edge,2,False,22.325539325767547,0.15,False,-1,-2.0030771589670877,True,20.32246216680046
Lor5D,16,0,del_node,0,False,22.325539325767547,0.15,False,-1,-3.5651071616216257,True,18.76043216414592
Lor5D,16,0,del_node,1,False,22.325539325767547,0.15,False,-1,-3.422409792622595,True,18.903129533144952
Lor5D,16,0,del_node,2,False,22.325539325767547,0.15,False,-1,-5.142205416576548,True,17.183333909191
Lor5D,16,1,add_edge,0,False,23.476435239744685,0.125,False,-1,-3.050513212130891,True,20.425922027613794
Lor5D,16,1,add_edge,1,False,23.476435239744685,0.125,False,-1,-2.5430103745818506,True,20.933424865162834
Lor5D,16,1,add_edge,2,False,23.476435239744685,0.125,False,-1,-1.5618925087162978,True,21.914542731028387
