n,family,sample_id,comparable_fraction,cover_density,interval_empty_fraction,mean_interval_size_ratio,neutral_penalty,geo_width_height,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total
16,multi_layer_random,4,0.325,0.175,0.5384615384615384,0.038461538461538464,0.0370941162109375,0.04979304449311737,0.0,0.0,9.467455621301759e-06,0.0,0.0026041666666666665,0.10484175959767457
16,multi_layer_random,5,0.24166666666666667,0.15833333333333333,0.6551724137931034,0.03017241379310345,0.0897064208984375,0.16440195389316542,0.0,0.0,0.05569250891795475,0.0,0.0390625,0.6853914523761047
16,lorentzian_like_2d,0,0.4583333333333333,0.225,0.4909090909090909,0.06704545454545455,0.05665249294704861,0.16440195389316548,0.006136111111111108,0.0006249999999999997,0.0,0.0014400000000000025,0.00546875,0.3856330744529976
16,lorentzian_like_2d,1,0.6083333333333333,0.2,0.328125,0.1220703125,0.08318244086371528,0.16440195389316548,0.052136111111111084,0.0,0.0,0.028678571428571446,0.00859375,0.8022009315958547
16,lorentzian_like_2d,2,0.5166666666666667,0.20833333333333334,0.4032258064516129,0.08165322580645161,0.07581787109374999,0.0,0.01867777777777779,6.944444444444442e-05,0.0,0.000600000000000001,0.01171875,0.13871250000000007
16,lorentzian_like_2d,3,0.5916666666666667,0.21666666666666667,0.34375,0.1142578125,0.0966915554470486,0.16440195389316548,0.04480277777777778,0.00027777777777777767,0.0,6.12244897959184e-05,0.00390625,0.6065725302353105
16,lorentzian_like_2d,4,0.575,0.23333333333333334,0.390625,0.10546875,0.06588914659288195,0.16440195389316548,0.03802499999999998,0.0011111111111111107,0.0,0.0,0.00625,0.5727872411196641
16,lorentzian_like_2d,5,0.4666666666666667,0.15833333333333333,0.3392857142857143,0.09709821428571429,0.047617386798469385,0.31316983010658406,0.007511111111111112,0.0,0.0,0.0,0.007161458333333333,0.6857292435465014
16,lorentzian_like_3d,0,0.25,0.20833333333333334,0.8333333333333334,0.010416666666666666,0.13855658637152776,0.9620260235635408,0.0,6.944444444444442e-05,0.4048895833333333,0.0,0.0390625,4.026833297127082
16,lorentzian_like_3d,1,0.4083333333333333,0.25833333333333336,0.6326530612244898,0.04336734693877551,0.1078948974609375,0.16440195389316542,0.0008027777777777771,0.0034027777777777793,0.034157642648896286,0.0,0.014322916666666666,0.5432629543641456
16,lorentzian_like_3d,2,0.31666666666666665,0.23333333333333334,0.7368421052631579,0.018092105263157895,0.05693223741319444,0.7179136642167333,0.0,0.0011111111111111107,0.17646968490304693,0.0,0.025390625,2.3722903362820347
