family,N,rep,center_layer,n_layers_total,n_nodes,total_relations,bd_ratio,bdg_d2c,bdg_d4,link_frac
Lor2D,48,1,2,11,17,20,0.3125,-0.17647058823529413,2.764705882352941,0.75
Lor2D,48,1,3,11,12,12,0.3125,0.0,2.5,0.75
Lor2D,48,1,4,11,13,14,0.4846938775510204,0.38461538461538464,3.769230769230769,0.6428571428571429
Lor2D,48,1,5,11,14,25,0.392,-1.0,-1.1428571428571428,0.72
Lor2D,48,1,6,11,14,18,0.19444444444444442,-0.7142857142857143,1.8571428571428572,0.8333333333333334
Lor2D,48,1,7,11,13,11,0.4958677685950414,0.5384615384615384,3.230769230769231,0.6363636363636364
Lor2D,48,1,8,11,8,6,0.19444444444444442,0.0,1.5,0.8333333333333334
Lor2D,48,1,9,11,6,3,0.4444444444444445,0.6666666666666666,2.1666666666666665,0.6666666666666666
Lor2D,48,2,0,10,13,9,0.0,-0.38461538461538464,0.3076923076923077,1.0
Lor2D,48,2,1,10,18,26,0.35207100591715984,-0.4444444444444444,2.0555555555555554,0.7307692307692307
Lor2D,48,2,2,10,18,42,0.6264172335600907,-0.3333333333333333,5.222222222222222,0.5952380952380952
Lor2D,48,2,3,10,17,48,0.5069444444444445,-2.176470588235294,-7.647058823529412,0.6666666666666666
Lor2D,48,2,4,10,15,26,0.39349112426035515,-1.2666666666666666,-4.4,0.7307692307692307
Lor2D,48,2,5,10,15,31,0.6555671175858482,0.6,8.266666666666667,0.5483870967741935
Lor2D,48,2,6,10,16,30,0.4100000000000001,-0.75,1.625,0.7
Lor2D,48,2,7,10,14,12,0.09027777777777782,-0.42857142857142855,0.8571428571428571,0.9166666666666666
Lor2D,48,2,8,10,9,3,0.4444444444444445,0.7777777777777778,1.7777777777777777,0.6666666666666666
Lor2D,48,3,0,9,9,6,0.0,-0.3333333333333333,0.3333333333333333,1.0
Lor2D,48,3,1,9,13,27,0.364883401920439,-1.6153846153846154,-3.3846153846153846,0.7407407407407407
Lor2D,48,3,2,9,15,37,0.48429510591672753,-0.6,5.533333333333333,0.6486486486486487
Lor2D,48,3,3,9,17,33,0.371900826446281,-1.1176470588235294,-0.058823529411764705,0.7272727272727273
Lor2D,48,3,4,9,21,59,0.4757253662740591,-2.238095238095238,-1.7619047619047619,0.6949152542372882
Lor2D,48,3,5,9,22,52,0.40236686390532544,-1.0909090909090908,5.045454545454546,0.6923076923076923
Lor2D,48,3,6,9,21,30,0.23999999999999994,-0.7142857142857143,2.4285714285714284,0.8
Lor2D,48,3,7,9,14,8,0.140625,0.14285714285714285,1.1428571428571428,0.875
Lor2D,48,3,8,9,7,1,0.0,0.7142857142857143,0.8571428571428571,1.0
Lor2D,48,4,0,9,13,11,0.0,-0.6923076923076923,0.15384615384615385,1.0
Lor2D,48,4,1,9,18,40,0.6268750000000001,0.2222222222222222,8.166666666666666,0.575
Lor2D,48,4,2,9,17,35,0.6244897959183674,0.29411764705882354,6.294117647058823,0.5714285714285714
Lor2D,48,4,3,9,16,23,0.39697542533081287,-0.125,3.9375,0.6956521739130435
Lor2D,48,4,4,9,17,25,0.35840000000000005,-0.29411764705882354,3.6470588235294117,0.72
Lor2D,48,4,5,9,18,38,0.4113573407202216,-1.3333333333333333,-1.9444444444444444,0.7105263157894737
Lor2D,48,4,6,9,18,26,0.2840236686390532,-0.5555555555555556,2.888888888888889,0.7692307692307693
Lor2D,48,4,7,9,13,11,0.2479338842975206,-0.23076923076923078,1.6153846153846154,0.8181818181818182
Lor2D,48,4,8,9,6,4,0.0,-0.3333333333333333,0.3333333333333333,1.0
Lor2D,48,5,0,11,12,14,0.0,-1.3333333333333333,-0.16666666666666666,1.0
Lor2D,48,5,1,11,16,37,0.5602629656683711,-1.25,-1.125,0.6486486486486487
Lor2D,48,5,2,11,16,31,0.595213319458897,0.375,7.1875,0.5806451612903226
Lor2D,48,5,3,11,14,22,0.371900826446281,-0.5714285714285714,3.642857142857143,0.7272727272727273
Lor2D,48,5,4,11,15,23,0.41020793950850665,-0.3333333333333333,2.466666666666667,0.6956521739130435
Lor2D,48,5,5,11,15,29,0.2853745541022592,-1.6666666666666667,1.2666666666666666,0.7931034482758621
Lor2D,48,5,6,11,14,23,0.32892249527410217,-0.5714285714285714,3.642857142857143,0.7391304347826086
Lor2D,48,5,7,11,14,24,0.3125,-0.7142857142857143,3.5714285714285716,0.75
