d,N,hubble,rep,R_dS,H2,n_causal_pairs,rho_eff,b1_mean,b1_std,b1_median,s_bdg,b1_mean_scaled,b1_std_scaled,s_bdg_scaled
4,256,1.0,4,12.0,1.0,888,3.46875,0.81640625,8.208791755487585,0.0,209.0,1.520522395010757,15.288530312204907,389.2537331227538
4,256,1.0,5,12.0,1.0,1147,4.48046875,1.4765625,14.86210830210821,0.0,378.0,3.1254572343111158,31.458799685038322,800.1170519836456
4,256,1.0,6,12.0,1.0,1234,4.8203125,-0.10546875,13.777834376010384,0.0,-27.0,-0.23155885639490137,30.249524828039814,-59.27906723709475
4,256,1.0,7,12.0,1.0,1004,3.921875,1.87890625,9.475965916660472,0.0,481.0,3.7209341543164487,18.765941741074375,952.5591435050109
4,256,1.0,8,12.0,1.0,1199,4.68359375,1.1015625,11.87324976822242,1.0,282.0,2.3839588347055574,25.695626604590796,610.2934616846227
4,256,1.0,9,12.0,1.0,874,3.4140625,1.015625,9.629450574117664,0.0,260.0,1.876588784064729,17.79251096033957,480.40672872057064
4,256,1.0,10,12.0,1.0,1132,4.421875,0.921875,11.499734626693565,0.0,236.0,1.9385422395202785,24.181934988061762,496.2668133171913
4,256,1.0,11,12.0,1.0,1238,4.8359375,-0.125,11.80174775192217,0.0,-32.0,-0.2748845638399872,25.952946266693402,-70.37044834303673
4,256,1.0,12,12.0,1.0,902,3.5234375,0.62890625,9.219914353111472,0.0,161.0,1.1805087130110714,17.306536907629603,302.2102305308343
4,256,1.0,13,12.0,1.0,660,2.578125,-0.4375,7.107709282884325,0.0,-112.0,-0.7024736566457492,11.412522355023286,-179.8332561013118
4,256,1.0,14,12.0,1.0,824,3.21875,1.33984375,9.753892170594565,0.0,343.0,2.403796939639508,17.499336134716433,615.372016547714
4,256,1.0,15,12.0,1.0,943,3.68359375,0.76171875,10.513842223273965,0.0,195.0,1.4619432343227037,20.17889215022178,374.25746798661214
4,256,2.0,0,48.0,4.0,77,0.30078125,0.77734375,0.8756885544164303,1.0,199.0,0.42632273268824034,0.4802584924656916,109.13861956818953
4,256,2.0,1,48.0,4.0,67,0.26171875,0.77734375,0.70241935076985,1.0,199.0,0.39767705117251406,0.3593468862400524,101.8053251001636
4,256,2.0,2,48.0,4.0,81,0.31640625,0.95703125,1.378585302592276,1.0,245.0,0.538330078125,0.7754542327081553,137.8125
4,256,2.0,3,48.0,4.0,80,0.3125,0.70703125,1.4777349429188704,1.0,181.0,0.3952424843041621,0.8260789462733414,101.1820759818655
4,256,2.0,4,48.0,4.0,84,0.328125,0.7890625,1.0394736028845322,1.0,202.0,0.45199232928763655,0.5954333085158544,115.71003629763496
