family,N,rep,log_H,pi_geo,sigma_hist,xi_dim,pi_cg,d_eff,n_layers,comp_frac,log_H_cg,pi_geo_cg,sigma_hist_cg,xi_dim_cg,pi_cg_cg,d_eff_cg
Lor2D,20,3,22.049786120122352,1.3361743098339622,0.5249999999999999,1.5714813984776275,0.16305847544486982,2.2264526315789475,7,0.4631578947368421,14.552756558383317,4.898317632850051,0.42857142857142855,0.5718536408646303,0.1455178358462608,2.763641758241758
Lor2D,20,4,21.094086567207007,0.4284521259488444,0.375,0.9105344725939446,0.12448397074919872,1.8790842105263161,5,0.5210526315789473,12.356516463426106,1.4112817732112986,0.5357142857142857,0.2230809483556734,0.08091577435243273,1.6427626373626374
Lor2D,20,5,23.073133096509977,0.9720027864320685,0.44999999999999996,1.211088483045192,0.11877802002776061,2.2264526315789475,6,0.4631578947368421,12.303571337883849,1.3617916140199156,0.6428571428571428,0.9566211810167854,0.23507235511615834,1.8405648351648352
Lor2D,20,6,21.44691326843627,0.3472480451327704,0.44999999999999996,2.120334917091413,0.12706361181033785,2.1317157894736845,6,0.4789473684210526,13.640313064662111,0.33926670026749733,0.42857142857142855,0.0,0.10951193492222806,2.104301098901099
Lor2D,20,7,20.416437458172712,0.6250181783788963,0.44999999999999996,2.477905790385274,0.10389776715672179,1.847505263157895,6,0.5263157894736842,12.522485203963313,0.6922229967626234,0.5357142857142857,2.2817372648320893,0.07662854477287727,2.0383670329670327
Lor3D,20,0,27.780341130817355,14.707877792475399,0.30000000000000004,1.0868698060941828,0.08835933216247584,3.300136842105263,4,0.28421052631578947,17.829785818409214,23.35301649789541,0.3214285714285714,0.0,0.1388207953519148,3.554850549450549
Lor3D,20,1,27.260106345645553,7.667516385053167,0.30000000000000004,1.517968605724839,0.1360263602410814,2.9211894736842106,4,0.3473684210526316,16.093409758657863,5.5284431113576575,0.42857142857142855,1.9264323954433857,0.14329079504946463,2.763641758241758
Lor3D,20,2,29.788592651502935,15.840685306178722,0.22499999999999998,0.0,0.12059038681629657,3.236978947368421,3,0.29473684210526313,17.715570034916134,13.819112735163484,0.3214285714285714,0.0,0.113880645703959,3.027378021978022
Lor3D,20,3,29.704345338895532,19.432309576472793,0.375,2.394349030470915,0.15031804515882605,3.552768421052632,5,0.24210526315789474,18.499852152924635,29.47805422259404,0.42857142857142855,0.0,0.07381853652732771,3.8845208791208794
Lor3D,20,4,29.5685693209943,18.509271242277773,0.30000000000000004,0.0,0.11618986717902041,3.4264526315789476,4,0.2631578947368421,17.59817846646366,21.451261528460634,0.3214285714285714,0.0,0.12923219270312894,3.4889164835164834
Lor3D,20,5,29.85323614865654,20.745061233958932,0.30000000000000004,0.0,0.08919676435110613,3.552768421052632,4,0.24210526315789474,17.55490306621999,18.840691924506398,0.42857142857142855,0.0,0.11226741165804129,3.4889164835164834
Lor3D,20,6,29.466810803738078,18.162985958411657,0.30000000000000004,0.0,0.1296574813877474,3.4264526315789476,4,0.2631578947368421,18.377648339525113,20.5079263692252,0.3214285714285714,0.0,0.07873986696680244,3.4229824175824177
Lor3D,20,7,29.399849575547677,18.99060165443293,0.30000000000000004,0.0,0.045040340255081135,3.4896105263157895,4,0.25263157894736843,18.452747599852575,25.946008033966496,0.3214285714285714,0.0,0.09161974413954059,3.6867186813186814
Lor4D,20,0,31.6677078435668,33.92093882714576,0.22499999999999998,0.0,0.1419644021824974,3.900136842105263,3,0.18421052631578946,18.968692262031254,33.46701933051494,0.3214285714285714,0.0,0.13015486296646403,3.8845208791208794
Lor4D,20,1,31.019185763769975,24.745278308377806,0.22499999999999998,0.0,0.08916071969074361,3.552768421052632,3,0.24210526315789474,18.332740240003385,20.74580090185774,0.3214285714285714,0.0,0.12880794966186582,3.4229824175824177
Lor4D,20,2,34.448597384628606,49.824941398560625,0.15000000000000002,0.0,0.06499466016303619,4.184347368421053,2,0.1368421052631579,20.17613316717344,44.58379187153309,0.21428571428571427,0.0,0.07899719580304275,4.0823230769230765
Lor4D,20,3,34.0918928275408,44.29368670467504,0.22499999999999998,0.0,0.1234646378553204,4.152768421052632,3,0.14210526315789473,20.72913633927906,49.987700068175144,0.3214285714285714,0.0,0.08952649209219372,4.346059340659341
Lor4D,20,4,33.66716194817256,46.09173125352483,0.22499999999999998,0.0,0.14832417671436984,4.247505263157895,3,0.12631578947368421,20.13311401125532,50.60254627886534,0.21428571428571427,0.0,0.12946994489551403,4.2801252747252745
Lor4D,20,5,33.25445320861822,36.585333801006705,0.22499999999999998,0.0,0.08841004968650129,3.9948736842105266,3,0.16842105263157894,20.17983538074565,36.6663720456743,0.3214285714285714,0.0,0.3143858034495367,4.016389010989011
