d,N,hubble,rep,R_dS,R_hat,n_causal_pairs,bd_ratio,bdg_d4,bdg_d2c,occupancy_R,M1_mean_interval,M2_interval_entropy,M3_c1_ratio,M4_tail_weight,M5_log_interval_ratio,M6_weighted_depth_ratio,M7_norm_bd_shift,C0,C1,C2,C3,total_pairs
2,512,0.000000,4,0.000000,0.823135,65703,47.597030,3.468750,-0.718750,0.963731,48.388308,4.860521,0.449145,0.934158,-0.204127,93.411987,-0.718750,2383,1943,1641,1552,65703
2,512,0.000000,5,0.000000,3.375802,65109,46.971596,2.710938,-1.015625,0.962878,47.782519,4.847747,0.440250,0.933680,-0.240147,91.226973,-1.015625,2417,1901,1614,1501,65109
2,512,0.000000,6,0.000000,-0.956625,65684,47.027422,-0.601562,-1.265625,0.962792,47.844863,4.849813,0.432683,0.934413,-0.270911,91.255204,-1.265625,2444,1864,1697,1500,65684
2,512,0.000000,7,0.000000,6.951493,65252,46.899759,0.908203,-1.058594,0.963434,47.679780,4.844987,0.437927,0.934945,-0.249580,90.841047,-1.058594,2386,1859,1652,1505,65252
2,512,0.250000,0,0.125000,3.779694,59673,41.325306,0.863281,-0.867188,0.960786,42.011965,4.721555,0.443122,0.929583,-0.228500,79.588759,-0.867188,2340,1862,1667,1523,59673
2,512,0.250000,1,0.125000,-3.481488,59607,42.066269,-0.654297,-0.996094,0.959753,42.830305,4.738759,0.440401,0.928079,-0.239534,83.563165,-0.996094,2399,1888,1708,1486,59607
2,512,0.250000,2,0.125000,-6.921601,61134,43.887011,0.242188,-0.796875,0.961560,44.641476,4.785501,0.445755,0.930644,-0.217838,87.483240,-0.796875,2350,1890,1681,1481,61134
2,512,0.250000,3,0.125000,4.768090,59285,41.016863,1.306641,-1.074219,0.959686,41.739867,4.717386,0.437515,0.928329,-0.251255,78.920360,-1.074219,2390,1859,1607,1441,59285
2,512,0.250000,4,0.125000,-7.111318,60941,42.619996,-0.228516,-1.144531,0.960503,43.372590,4.753944,0.435639,0.930014,-0.258881,82.628986,-1.144531,2407,1858,1683,1498,60941
2,512,0.250000,5,0.125000,2.226233,61095,42.145937,-1.212891,-0.894531,0.961453,42.835649,4.738615,0.442604,0.930845,-0.230602,79.762200,-0.894531,2355,1870,1705,1459,61095
2,512,0.250000,6,0.125000,-0.112000,61036,42.818438,3.197266,-0.574219,0.961875,43.515597,4.758411,0.452599,0.930353,-0.190174,82.900160,-0.574219,2327,1924,1630,1527,61036
