family,N,rep,seed,log_H,pi_geo,sigma_hist,xi_dim,R,wall,F7,bd_ratio,bdg_d2c,bdg_d4s
Lor2D,28,1,4827,34.10644620740097,0.5952362070836168,0.42857142857142855,1.174197482153549,0.7210526315789474,13.522468075655,44.04795658111665,2.4250138504155125,0.21428571428571427,5.75
Lor2D,28,2,4828,31.71314994162435,0.4895631896408395,0.48214285714285715,0.8620757713970776,0.7180851063829787,13.522468075655,40.93163073396488,2.792128791308284,-0.6428571428571429,0.75
Lor2D,28,3,4829,35.79343872044207,1.1629818061239232,0.42857142857142855,0.9200573422705975,0.6904761904761905,13.522468075653878,45.58269210846647,2.227607709750567,-0.21428571428571427,2.9642857142857144
Lor2D,28,4,4830,31.385271296167343,0.8506784075618395,0.48214285714285715,0.9937825182327321,0.7421052631578947,13.522468075655,40.68292058269644,2.8356232686980607,0.0,0.5
Lor2D,28,5,4831,34.39150089770858,0.5485210528800888,0.375,1.4394960114065967,0.6820512820512821,13.52246807565208,45.02788598862577,2.399421433267587,-1.3571428571428572,-0.17857142857142858
Lor2D,28,6,4832,34.823557136332525,0.9687773864150825,0.375,0.7939654380270625,0.6863905325443787,13.52246807565313,45.07279198575646,2.2135079303945937,-0.21428571428571427,-1.6071428571428572
Lor2D,28,7,4833,35.29038382530248,1.3197349773394034,0.375,1.3449683487033604,0.6848484848484848,13.52246807565279,45.870360804168214,2.1168044077134986,0.21428571428571427,0.6071428571428571
Lor2D,28,8,4834,32.751665672751805,0.6278044394380305,0.42857142857142855,1.225044439247855,0.7215909090909092,13.522468075655,42.72369724801701,2.5583677685950414,0.0,3.357142857142857
Lor2D,28,9,4835,37.07846846376363,0.1858792051557766,0.375,1.4686333358836872,0.6666666666666667,13.522468075644587,47.73219089262049,2.1128747795414466,-0.5,4.25
Lor3D,28,0,104826,46.43181647378884,10.18278383740124,0.26785714285714285,1.4559952000071998,0.38095238095238093,13.520282700458532,58.15119797921522,0.7014361300075586,-2.7857142857142856,5.678571428571429
Lor3D,28,1,104827,47.20074406599204,17.23577211964378,0.21428571428571427,0.09810531620055418,0.306930693069307,13.225239101617884,58.348883523320964,0.5318106068032546,-3.2857142857142856,0.0
Lor3D,28,2,104828,47.5789797719318,17.968281941506905,0.1607142857142857,3.274354702983845,0.3157894736842105,13.356172134872253,61.2998091842281,0.5096952908587258,-3.0,4.714285714285714
Lor3D,28,3,104829,42.66698988751862,2.885603854243512,0.26785714285714285,1.3815306122448976,0.6049382716049383,13.52246807494088,54.340959142776704,1.5123456790123457,-1.0714285714285714,3.392857142857143
Lor3D,28,4,104830,44.15417789066424,11.736934758832525,0.26785714285714285,1.0769458701004224,0.4915254237288136,13.52246670104889,55.64893545910549,0.9997127262280954,-1.3571428571428572,-0.17857142857142858
Lor3D,28,5,104831,42.24851189969601,4.604714006419722,0.26785714285714285,1.9605485893477255,0.4563758389261745,13.522453758295486,54.270565268631266,1.102653033647133,-3.5,-2.9642857142857144
Lor3D,28,6,104832,46.057432544595784,14.288310341462434,0.21428571428571427,1.54620610432039,0.36936936936936937,13.517738667262766,58.365753055730224,0.6555474393312232,-2.642857142857143,3.4642857142857144
Lor3D,28,7,104833,45.100775078626626,12.600518532317183,0.21428571428571427,0.695830183925422,0.5,13.52246729436211,56.90292354789977,0.978448275862069,-1.0,1.7142857142857142
Lor3D,28,8,104834,45.102275738029775,11.834284533403752,0.21428571428571427,3.129369546001926,0.3553719008264463,13.51044983754495,58.35222387413209,0.6725633494979852,-3.5714285714285716,0.14285714285714285
Lor3D,28,9,104835,47.208463105524245,10.87376107653461,0.21428571428571427,0.6150667674477199,0.45669291338582674,13.522454057763529,58.96144958532987,0.8306776613553226,-1.7857142857142858,1.3214285714285714
Lor4D,28,0,204826,51.20741690210947,28.374094181867054,0.1607142857142857,0.0,0.2093023255813954,0.8411002058970533,50.45272388853642,0.2579772850189292,-2.7142857142857144,2.5714285714285716
Lor4D,28,1,204827,51.41278459386788,29.627305604370676,0.21428571428571427,0.04938271604938276,0.18181818181818177,0.14203790210255873,49.453445904984676,0.24085005903187715,-3.0,-1.8571428571428572
Lor4D,28,2,204828,52.849236624524266,37.5056158842803,0.1607142857142857,1.2700796987006502,0.09859154929577463,0.0005588745995864368,52.0197027075551,0.11803213648085695,-3.357142857142857,-1.1785714285714286
Lor4D,28,3,204829,52.870572744729046,37.9180411632142,0.1607142857142857,0.0,0.18461538461538463,0.1707880209143739,51.44938512496585,0.23005917159763314,-2.2142857142857144,-0.6071428571428571
Lor4D,28,4,204830,52.130700973026094,29.376343618961098,0.1607142857142857,0.0,0.1325301204819277,0.005367625122728974,50.54067627845355,0.15169110175642328,-3.4285714285714284,1.0714285714285714
Lor4D,28,5,204831,52.21081051277025,39.54176528757997,0.1607142857142857,0.0,0.11111111111111116,0.0012875657269990155,50.62077192746943,0.12874779541446213,-2.642857142857143,0.32142857142857145
Lor4D,28,6,204832,50.94081854933432,27.970594873922586,0.1607142857142857,0.0,0.15662650602409633,0.026715147286302365,49.371579077427334,0.1830454347510523,-3.142857142857143,1.7857142857142858
Lor4D,28,7,204833,54.332423951281825,47.59602852438552,0.1607142857142857,0.0,0.09999999999999998,0.0006138912302315028,52.744933396778954,0.11199999999999999,-1.9285714285714286,0.10714285714285714
Lor4D,28,8,204834,52.015129956247435,36.03839495977227,0.1607142857142857,0.0,0.16923076923076918,0.06173903449127215,50.48414149157976,0.20568047337278103,-2.2857142857142856,-0.07142857142857142
Lor4D,28,9,204835,52.01848068703164,32.146629840609556,0.1607142857142857,1.8203415822985338,0.11764705882352944,0.0019905903522602925,51.51839202155641,0.14671280276816612,-4.0,-0.9285714285714286
Lor5D,28,0,304826,56.71037474653885,59.36275037431824,0.10714285714285714,0.0,0.0,7.812941538889434e-07,55.66269205655416,0.0,-1.8571428571428572,-0.42857142857142855
Lor5D,28,1,304827,53.80828745877686,45.98250815799533,0.1607142857142857,0.0,0.14,0.008829702931566399,52.22836730782877,0.15960000000000002,-1.5714285714285714,1.7142857142857142
Lor5D,28,2,304828,59.92647093746732,72.10551322810905,0.10714285714285714,0.0,0.0,7.812941538889434e-07,58.88388535262415,0.0,-0.5714285714285714,0.21428571428571427
Lor5D,28,3,304829,57.64196599049209,61.87411050825713,0.10714285714285714,0.0,0.0,7.812941538889434e-07,56.59528784456098,0.0,-1.4285714285714286,-0.21428571428571427
Lor5D,28,4,304830,58.988564479647465,65.557319622616,0.10714285714285714,0.0,0.0,7.812941538889434e-07,57.9433596173621,0.0,-1.2142857142857142,-0.10714285714285714
Lor5D,28,5,304831,57.182577061178044,58.74181589782213,0.1607142857142857,0.0,0.0625,5.039336074989928e-05,55.59898132375507,0.06640625,-1.0,0.5714285714285714
Lor5D,28,6,304832,53.82819028676136,36.62419064606097,0.1607142857142857,0.0,0.05405405405405406,2.869715464739258e-05,52.23572580303158,0.05697589481373265,-3.7142857142857144,-0.21428571428571427
Lor5D,28,7,304833,53.83136174321249,39.54063258613352,0.1607142857142857,0.0,0.05970149253731338,4.181657973774611e-05,52.240076955683826,0.06326576074849627,-3.2142857142857144,0.03571428571428571
Lor5D,28,8,304834,59.10460782958808,68.44072566551864,0.1607142857142857,0.0,0.045454545454545414,1.6175509341738318e-05,57.52485743822078,0.047520661157024746,-0.42857142857142855,0.5714285714285714
Lor5D,28,9,304835,56.176909022676845,51.14421189366479,0.1607142857142857,0.0,0.021276595744680882,3.2272680451363363e-06,54.590227077559504,0.02172928927116345,-2.2142857142857144,-0.32142857142857145
KR_like,28,0,404826,44.677089742533994,11.268999628871079,0.1607142857142857,5.152152152215394,0.3356643356643356,13.477862978958807,59.643608755530735,0.711232823120935,-5.5,-5.107142857142857
KR_like,28,1,404827,44.506449612971274,11.870210131505532,0.1607142857142857,4.867950344203299,0.3525179856115108,13.507933939258278,59.33275898566128,0.7202525749184825,-5.0,-4.0
