family,N,rep,seed,log_H,f5_calibrated,C0,C1,C2,C3,total_relations,link_fraction,mean_k,s_bd_exact,bd_ratio_stored,abs_diff
Lor4D,28,3,5842,56.354983728468596,138.29371295021917,41,4,0,0,45,0.9111111111111111,0.08888888888888889,0.09679012345679014,0.09679012345679014,0.0
Lor4D,28,4,6842,51.296464677580126,118.21909087909586,61,10,5,1,77,0.7922077922077922,0.2987012987012987,0.2698600101197503,0.2698600101197503,0.0
Lor4D,28,5,7842,52.821634704955535,123.9913696733312,52,12,2,0,66,0.7878787878787878,0.24242424242424243,0.263544536271809,0.263544536271809,0.0
Lor4D,28,6,8842,54.24722562507196,129.8452987583101,52,5,0,0,57,0.9122807017543859,0.08771929824561403,0.09541397353031708,0.09541397353031708,0.0
Lor4D,28,7,9842,50.84321028931897,116.49638080707898,70,10,3,0,83,0.8433734939759037,0.1927710843373494,0.18681956742633177,0.18681956742633177,0.0
Lor5D,28,0,2842,56.07306230146371,134.0796421175846,53,3,0,0,56,0.9464285714285714,0.05357142857142857,0.05644132653061228,0.05644132653061228,0.0
Lor5D,28,1,3842,58.64650005388593,151.5614742106746,25,0,0,0,25,1.0,0.0,0.0,0.0,0.0
Lor5D,28,2,4842,58.14343338378644,148.01543795111658,31,0,0,0,31,1.0,0.0,0.0,0.0,0.0
Lor5D,28,3,5842,59.530965252480684,152.31929111553,30,0,0,0,30,1.0,0.0,0.0,0.0,0.0
Lor5D,28,4,6842,54.54691722149631,133.2060340747461,44,3,2,0,49,0.8979591836734694,0.14285714285714285,0.11661807580174927,0.11661807580174927,0.0
Lor5D,28,5,7842,56.89425443357048,139.21938434514357,34,7,0,0,41,0.8292682926829268,0.17073170731707318,0.19988102320047593,0.19988102320047593,0.0
Lor5D,28,6,8842,58.29078098462366,145.6769893526925,28,3,0,0,31,0.9032258064516129,0.0967741935483871,0.1061394380853278,0.1061394380853278,0.0
Lor5D,28,7,9842,53.795825217698884,129.20524953361132,47,6,2,0,55,0.8545454545454545,0.18181818181818182,0.17190082644628105,0.17190082644628105,0.0
KR_like,28,0,2842,44.836885382398876,96.65504931046637,84,6,20,10,131,0.6412213740458015,0.9465648854961832,0.6983858749490124,0.6983858749490124,0.0
KR_like,28,1,3842,44.34183366720515,94.39917124780031,99,3,11,16,148,0.668918918918919,1.162162162162162,0.7158509861212563,0.7158509861212563,0.0
KR_like,28,2,4842,44.49408396200174,95.19091478039263,92,5,11,13,139,0.6618705035971223,1.079136690647482,0.7030174421613788,0.7030174421613788,0.0
KR_like,28,3,5842,43.84656337645848,92.82355449423794,106,4,5,13,155,0.6838709677419355,1.270967741935484,0.7179188345473466,0.7179188345473466,0.0
KR_like,28,4,6842,45.58632042802335,97.56706690565902,89,7,9,13,135,0.6592592592592592,1.037037037037037,0.6941015089163239,0.6941015089163239,0.0
KR_like,28,5,7842,45.07307447237972,96.03929875641758,92,3,9,18,140,0.6571428571428571,1.0857142857142856,0.7151020408163264,0.7151020408163264,0.0
KR_like,28,6,8842,44.48633139228622,94.34114269506425,106,0,6,15,155,0.6838709677419355,1.2838709677419355,0.7219979188345476,0.7219979188345476,0.0
KR_like,28,7,9842,44.70719850867744,95.36191185218819,94,4,11,13,143,0.6573426573426573,1.1258741258741258,0.7284463787960292,0.7284463787960292,0.0
Lor2D,36,0,3642,50.417705741741,100.56189415923579,86,63,47,25,315,0.27301587301587293,2.7714285714285714,2.7417687074829935,2.7417687074829935,0.0
Lor2D,36,1,4642,51.61976285249297,103.18748176273347,79,63,40,22,286,0.27622377622377625,2.909090909090909,2.829307056579784,2.829307056579784,0.0
Lor2D,36,2,5642,46.63962426843849,93.17482728937836,82,59,44,23,326,0.25153374233128833,3.303680981595092,3.2211599984944854,3.2211599984944854,0.0
Lor2D,36,3,6642,48.13016827783447,95.98697096289207,71,54,42,31,328,0.2164634146341463,3.1189024390243905,3.227310752528257,3.227310752528257,0.0
Lor2D,36,4,7642,45.690988175496884,91.32726611954061,76,58,36,32,341,0.22287390029325516,3.8299120234604107,3.7534506927185007,3.7534506927185007,0.0
