d,N,hubble,rep,R_dS,H2,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,b1_mean,b1_std
4,512,0.5,1,3.0,0.25,13702,0.416015625,6.0,0.01171875,85.33333333333333,51.667741924295036,-2.16796875,39.75460750339542
4,512,0.5,2,3.0,0.25,10577,0.416015625,6.0,0.01171875,85.33333333333333,51.69354139756941,3.900390625,30.949426991422833
4,512,0.5,3,3.0,0.25,11829,0.357421875,6.0,0.01171875,85.33333333333333,41.787823851239516,-0.654296875,33.35351047827447
4,512,0.5,4,3.0,0.25,12786,0.384765625,6.0,0.01171875,85.33333333333333,39.88594851434385,3.06640625,36.20033618918422
4,512,0.5,5,3.0,0.25,9981,0.453125,6.0,0.01171875,85.33333333333333,56.275117848733906,1.802734375,30.593640710091915
4,512,0.5,6,3.0,0.25,11701,0.412109375,6.0,0.01171875,85.33333333333333,42.184778718817,-1.20703125,31.615118722084905
4,512,0.5,7,3.0,0.25,11755,0.396484375,6.0,0.01171875,85.33333333333333,41.88343613198686,-1.501953125,35.51331171103735
4,512,0.5,8,3.0,0.25,11061,0.3984375,6.0,0.01171875,85.33333333333333,52.04058245467879,1.125,31.877695964420013
4,512,0.5,9,3.0,0.25,11205,0.390625,6.0,0.01171875,85.33333333333333,42.61715877697881,-0.5859375,32.43853017240599
4,512,0.5,10,3.0,0.25,11340,0.400390625,6.0,0.01171875,85.33333333333333,40.43788103031886,-0.908203125,31.290307927675308
4,512,0.5,11,3.0,0.25,10957,0.419921875,6.0,0.01171875,85.33333333333333,43.736585244951264,0.09375,32.591862361446914
4,512,0.5,12,3.0,0.25,10521,0.3984375,6.0,0.01171875,85.33333333333333,47.70977072070481,0.662109375,30.166612368652487
4,512,0.5,13,3.0,0.25,11315,0.404296875,7.0,0.013671875,73.14285714285714,46.36325075324381,1.38671875,33.58069309303187
4,512,0.5,14,3.0,0.25,11811,0.39453125,6.0,0.01171875,85.33333333333333,42.34645465941892,0.240234375,30.957615025548535
4,512,0.5,15,3.0,0.25,12266,0.4140625,6.0,0.01171875,85.33333333333333,39.915187864047724,3.931640625,38.159221511593366
4,512,1.0,0,12.0,1.0,3953,0.609375,5.0,0.009765625,102.4,87.77607874586333,0.45703125,17.685460057248253
4,512,1.0,1,12.0,1.0,4233,0.642578125,5.0,0.009765625,102.4,80.2037405611484,-0.630859375,19.650820614518228
4,512,1.0,2,12.0,1.0,3972,0.60546875,5.0,0.009765625,102.4,74.53482407572986,2.7578125,17.747797439818942
4,512,1.0,3,12.0,1.0,3831,0.583984375,5.0,0.009765625,102.4,76.9222984575994,1.02734375,16.62767936512296
4,512,1.0,4,12.0,1.0,4508,0.6015625,5.0,0.009765625,102.4,80.0539817872915,0.623046875,17.995889724227382
4,512,1.0,5,12.0,1.0,5207,0.59375,5.0,0.009765625,102.4,70.0445572475121,2.39453125,20.614121406035558
