d,N,hubble,rep,R_dS,log_H,log_H_std,n_causal,order_frac,log_H_per_N,log_H_per_NlogN
3,32,0.2,0,0.24000000000000005,58.036841412902454,3.3462656641790804,111,0.22379032258064516,1.8136512941532017,0.5233091455953349
3,32,0.2,1,0.24000000000000005,57.93018791821821,3.330743345601277,159,0.32056451612903225,1.810318372444319,0.5223474676711197
3,32,0.2,2,0.24000000000000005,58.123591551315315,3.69981970717397,108,0.21774193548387097,1.8163622359786036,0.5240913580608642
3,32,0.2,3,0.24000000000000005,59.099643204333915,3.4463953897802573,110,0.2217741935483871,1.8468638501354349,0.532892263557498
3,32,0.2,4,0.24000000000000005,57.21038476618736,3.828443662379314,146,0.29435483870967744,1.787824523943355,0.51585711493455
3,32,0.5,0,1.5,62.34654956032624,4.2657409414960705,77,0.15524193548387097,1.948329673760195,0.5621691116701291
3,32,0.5,1,1.5,55.427606578449314,4.095023369234953,127,0.2560483870967742,1.732112705576541,0.4997820821192082
3,32,0.5,2,1.5,61.22034379965688,4.4439725273689525,85,0.17137096774193547,1.9131357437392775,0.5520142900080148
3,32,0.5,3,1.5,61.11829753149393,4.325156496585057,101,0.20362903225806453,1.9099467978591853,0.5510941547266404
3,32,0.5,4,1.5,58.51029772398109,3.7223438533796855,97,0.19556451612903225,1.828446803874409,0.527578227295777
3,32,1.0,0,6.0,65.73789628239629,4.5860380502959694,58,0.11693548387096774,2.054309258824884,0.5927483560317884
3,32,1.0,1,6.0,63.14164547709008,3.923772940217709,67,0.1350806451612903,1.973176421159065,0.5693383675210432
3,32,1.0,2,6.0,66.34326442274579,4.174241226079517,57,0.11491935483870967,2.073227013210806,0.5982068661192534
3,32,1.0,3,6.0,71.3092510598131,4.88253725436692,40,0.08064516129032258,2.2284140956191596,0.6429843929593652
3,32,1.0,4,6.0,67.12179669789457,4.457297044704319,50,0.10080645161290322,2.097556146809205,0.6052267701975605
3,32,2.0,0,24.0,76.44957798253003,4.342936324409792,15,0.03024193548387097,2.3890493119540634,0.6893339189590635
3,32,2.0,1,24.0,78.71930693599928,2.18143816015334,5,0.010080645161290322,2.4599783417499776,0.7097997108673897
3,32,2.0,2,24.0,80.13525544725397,1.0886711194227054,2,0.004032258064516129,2.5042267327266865,0.7225670977132724
