d,N,hubble,rep,R_dS,R_occupancy,sigma_val,wall_val,alpha_N,R_hat,n_causal_pairs,n_links
3,256,0.25,2,0.375,0.7538096427679241,0.9999999999999973,4.472135954999568,4.47213595499958,-6.667021797610592,8006,1971
3,256,0.25,3,0.375,0.7415911629638823,0.9999999999999942,4.472135954999554,4.47213595499958,-3.418469610778037,8057,2082
3,256,0.25,4,0.375,0.7467907195854434,0.9999999999999958,4.472135954999561,4.47213595499958,0.8788962187487991,8491,2150
3,256,0.5,0,1.5,0.6982851846130078,0.9999999999998952,4.472135954999111,4.47213595499958,-3.295619093970462,6473,1953
3,256,0.5,1,1.5,0.7131121134020619,0.9999999999999609,4.472135954999405,4.47213595499958,15.258529668832995,6208,1781
3,256,0.5,2,1.5,0.6613361762615494,0.9999999999987681,4.47213595499407,4.47213595499958,23.146501567118115,5628,1906
3,256,0.5,3,1.5,0.7078720787207873,0.9999999999999447,4.472135954999333,4.47213595499958,35.92831848927893,6504,1900
3,256,0.5,4,1.5,0.715772500732923,0.9999999999999674,4.472135954999434,4.47213595499958,19.173166874705466,6822,1939
3,256,1.0,0,6.0,0.5920688595142944,0.9999999998752351,4.472135954441614,4.47213595499958,94.94040369838234,3253,1327
3,256,1.0,1,6.0,0.6265375556137137,0.9999999999874651,4.472135954943522,4.47213595499958,25.73627838250835,3821,1427
3,256,1.0,2,6.0,0.5942240373395566,0.9999999998919329,4.472135954516289,4.47213595499958,106.06731831654105,3428,1391
3,256,1.0,3,6.0,0.5662087109032446,0.9999999993004478,4.4721359518710875,4.47213595499958,12.823730541229784,3421,1484
3,256,1.0,4,6.0,0.5996682333425492,0.9999999999248259,4.472135954663391,4.47213595499958,15.539859404018143,3617,1448
3,256,2.0,0,24.0,0.3201754385964912,0.990791367021076,4.430953696358139,4.47213595499958,168.79504168760997,912,620
3,256,2.0,1,24.0,0.25749559082892415,0.6223902506110041,2.7834138177986705,4.47213595499958,568.4544744820653,567,421
3,256,2.0,2,24.0,0.3390275952693824,0.9973622112087069,4.460339404904343,4.47213595499958,1023.9598828991956,761,503
3,256,2.0,3,24.0,0.21505376344086025,0.08868893938729161,0.3966289946446852,4.47213595499958,296.91363140764724,558,438
3,256,2.0,4,24.0,0.2650103519668737,0.7311942450058223,3.2700000731793097,4.47213595499958,2120.590214612047,483,355
3,512,0.0,0,0.0,0.8462667353244078,1.0,3.1622776601683795,3.1622776601683795,7.169688782519983,38840,5971
3,512,0.0,1,0.0,0.8418521388302562,1.0,3.1622776601683795,3.1622776601683795,26.42637270768987,37427,5919
3,512,0.0,2,0.0,0.8437831269229774,1.0,3.1622776601683795,3.1622776601683795,12.754621751587488,38677,6042
3,512,0.0,3,0.0,0.8323557237464523,1.0,3.1622776601683795,3.1622776601683795,-20.069191270719745,36995,6202
3,512,0.0,4,0.0,0.8414438150441312,1.0,3.1622776601683795,3.1622776601683795,17.32818908791817,37955,6018
3,512,0.25,0,0.375,0.820373391335871,1.0,3.1622776601683795,3.1622776601683795,-4.231337022802613,33102,5946
3,512,0.25,1,0.375,0.8156691989376814,1.0,3.1622776601683795,3.1622776601683795,-0.992241929593434,32382,5969
3,512,0.25,2,0.375,0.8151113169473023,1.0,3.1622776601683795,3.1622776601683795,-0.9666271691463106,30229,5589
3,512,0.25,3,0.375,0.8173420179119434,1.0,3.1622776601683795,3.1622776601683795,-2.79473526725273,31934,5833
3,512,0.25,4,0.375,0.8150896316238755,1.0,3.1622776601683795,3.1622776601683795,-6.90893490990066,30458,5632
3,512,0.5,0,1.5,0.7881094507431593,0.9999999999999998,3.1622776601683786,3.1622776601683795,-1.9332825223935821,24961,5289
3,512,0.5,1,1.5,0.7855951169888098,0.9999999999999998,3.1622776601683786,3.1622776601683795,5.632620493304275,24575,5269
3,512,0.5,2,1.5,0.7931614554763211,0.9999999999999998,3.1622776601683786,3.1622776601683795,-0.44789129265723665,27345,5656
3,512,0.5,3,1.5,0.783476368414569,0.9999999999999996,3.162277660168378,3.1622776601683795,12.3296340113228,24353,5273
3,512,0.5,4,1.5,0.7864600596619158,0.9999999999999998,3.1622776601683786,3.1622776601683795,1.7001155888170438,24136,5154
3,512,1.0,0,6.0,0.7187028657616893,0.9999999999999731,3.1622776601682947,3.1622776601683795,82.72215907164033,14586,4103
3,512,1.0,1,6.0,0.7269486529101254,0.9999999999999845,3.1622776601683302,3.1622776601683795,124.32386089912977,14587,3983
3,512,1.0,2,6.0,0.7127181677590397,0.9999999999999598,3.1622776601682525,3.1622776601683795,80.78865685406718,13579,3901
3,512,1.0,3,6.0,0.7156828006519736,0.9999999999999671,3.1622776601682756,3.1622776601683795,57.65034213019032,14111,4012
3,512,1.0,4,6.0,0.7009550193190931,0.9999999999999123,3.162277660168102,3.1622776601683795,63.068961120513144,13717,4102
3,512,2.0,0,24.0,0.46690734055355,0.9999994753266166,3.1622760010054605,3.1622776601683795,699.4586408560822,3324,1772
3,512,2.0,1,24.0,0.3921979865771812,0.9999236316445352,3.1620361622239495,3.1622776601683795,857.0018931828967,2384,1449
3,512,2.0,2,24.0,0.4925333333333334,0.9999999049524918,3.1622773596017675,3.1622776601683795,382.0123142798161,3750,1903
3,512,2.0,3,24.0,0.42597187758478083,0.9999919630953493,3.162252245244346,3.1622776601683795,1245.3664369478277,2418,1388
3,512,2.0,4,24.0,0.4793621013133208,0.9999997712890786,3.162276936920942,3.1622776601683795,375.9725580550331,3198,1665
3,1024,0.0,0,0.0,0.8910581281842129,1.0,2.23606797749979,2.23606797749979,14.701288483431583,149566,16294
3,1024,0.0,1,0.0,0.8954670015985384,1.0,2.23606797749979,2.23606797749979,4.049204421578394,157644,16479
3,1024,0.0,2,0.0,0.8920623981126824,1.0,2.23606797749979,2.23606797749979,10.675652983502669,150902,16288
3,1024,0.0,3,0.0,0.8926975928208539,1.0,2.23606797749979,2.23606797749979,2.9770297105801755,153333,16453
