scope,alpha,focus_family,control_family,win_rate_focus_vs_control,mean_score_focus,mean_score_control,mean_gap_control_minus_focus
28,6.75,Lor4D,KR_like,1.0,-123.6829700450312,-90.49225854906453,33.19071149596665
28,7.0,Lor4D,KR_like,1.0,-123.63288632687984,-90.31429539327883,33.318590933601
28,7.25,Lor4D,KR_like,1.0,-123.58280260872849,-90.13633223749315,33.44647037123535
28,7.5,Lor4D,KR_like,1.0,-123.53271889057714,-89.95836908170746,33.5743498088697
28,7.75,Lor4D,KR_like,1.0,-123.48263517242582,-89.78040592592176,33.70222924650405
28,8.0,Lor4D,KR_like,1.0,-123.43255145427447,-89.60244277013607,33.83010868413841
28,8.25,Lor4D,KR_like,1.0,-123.38246773612315,-89.42447961435036,33.957988121772765
28,8.5,Lor4D,KR_like,1.0,-123.3323840179718,-89.24651645856468,34.08586755940712
28,8.75,Lor4D,KR_like,1.0,-123.28230029982043,-89.06855330277898,34.21374699704147
28,9.0,Lor4D,KR_like,1.0,-123.2322165816691,-88.89059014699329,34.34162643467582
28,9.25,Lor4D,KR_like,1.0,-123.18213286351777,-88.7126269912076,34.469505872310165
28,9.5,Lor4D,KR_like,1.0,-123.13204914536641,-88.5346638354219,34.59738530994452
28,9.75,Lor4D,KR_like,1.0,-123.08196542721508,-88.3567006796362,34.725264747578876
28,10.0,Lor4D,KR_like,1.0,-123.03188170906373,-88.17873752385051,34.85314418521323
36,-10.0,Lor4D,KR_like,1.0,-167.0647699004943,-143.58057729784446,23.484192602649827
36,-9.75,Lor4D,KR_like,1.0,-167.02048072393737,-143.37366562466082,23.64681509927653
36,-9.5,Lor4D,KR_like,1.0,-166.97619154738044,-143.16675395147723,23.809437595903226
36,-9.25,Lor4D,KR_like,1.0,-166.9319023708235,-142.9598422782936,23.97206009252992
36,-9.0,Lor4D,KR_like,1.0,-166.8876131942666,-142.75293060510998,24.134682589156625
36,-8.75,Lor4D,KR_like,1.0,-166.84332401770968,-142.54601893192637,24.297305085783325
36,-8.5,Lor4D,KR_like,1.0,-166.79903484115277,-142.33910725874273,24.459927582410025
36,-8.25,Lor4D,KR_like,1.0,-166.75474566459582,-142.1321955855591,24.62255007903672
36,-8.0,Lor4D,KR_like,1.0,-166.71045648803891,-141.9252839123755,24.785172575663427
36,-7.75,Lor4D,KR_like,1.0,-166.66616731148198,-141.71837223919186,24.947795072290127
36,-7.5,Lor4D,KR_like,1.0,-166.62187813492508,-141.51146056600825,25.110417568916812
36,-7.25,Lor4D,KR_like,1.0,-166.57758895836815,-141.30454889282464,25.273040065543515
36,-7.0,Lor4D,KR_like,1.0,-166.53329978181125,-141.097637219641,25.435662562170226
36,-6.75,Lor4D,KR_like,1.0,-166.4890106052543,-140.89072554645742,25.598285058796915
36,-6.5,Lor4D,KR_like,1.0,-166.4447214286974,-140.68381387327378,25.760907555423614
36,-6.25,Lor4D,KR_like,1.0,-166.40043225214046,-140.47690220009014,25.92353005205032
36,-6.0,Lor4D,KR_like,1.0,-166.35614307558353,-140.26999052690653,26.086152548677013
36,-5.75,Lor4D,KR_like,1.0,-166.31185389902663,-140.0630788537229,26.248775045303727
36,-5.5,Lor4D,KR_like,1.0,-166.2675647224697,-139.85616718053927,26.411397541930427
36,-5.25,Lor4D,KR_like,1.0,-166.2232755459128,-139.64925550735566,26.574020038557126
36,-5.0,Lor4D,KR_like,1.0,-166.17898636935587,-139.44234383417205,26.736642535183815
36,-4.75,Lor4D,KR_like,1.0,-166.13469719279894,-139.2354321609884,26.899265031810526
36,-4.5,Lor4D,KR_like,1.0,-166.090408016242,-139.0285204878048,27.06188752843723
36,-4.25,Lor4D,KR_like,1.0,-166.0461188396851,-138.8216088146212,27.224510025063918
36,-4.0,Lor4D,KR_like,1.0,-166.00182966312818,-138.61469714143757,27.38713252169061
36,-3.75,Lor4D,KR_like,1.0,-165.95754048657125,-138.40778546825393,27.54975501831732
36,-3.5,Lor4D,KR_like,1.0,-165.91325131001435,-138.20087379507032,27.712377514944023
36,-3.25,Lor4D,KR_like,1.0,-165.86896213345742,-137.9939621218867,27.87500001157072
36,-3.0,Lor4D,KR_like,1.0,-165.82467295690049,-137.78705044870307,28.03762250819742
36,-2.75,Lor4D,KR_like,1.0,-165.78038378034356,-137.58013877551946,28.200245004824115
36,-2.5,Lor4D,KR_like,1.0,-165.73609460378665,-137.37322710233582,28.36286750145082
36,-2.25,Lor4D,KR_like,1.0,-165.69180542722972,-137.16631542915223,28.52548999807751
36,-2.0,Lor4D,KR_like,1.0,-165.64751625067282,-136.9594037559686,28.68811249470421
36,-1.75,Lor4D,KR_like,1.0,-165.60322707411592,-136.75249208278498,28.850734991330913
36,-1.5,Lor4D,KR_like,1.0,-165.55893789755896,-136.54558040960134,29.013357487957617
36,-1.25,Lor4D,KR_like,1.0,-165.51464872100203,-136.33866873641773,29.175979984584316
36,-1.0,Lor4D,KR_like,1.0,-165.47035954444513,-136.13175706323412,29.338602481211016
36,-0.75,Lor4D,KR_like,1.0,-165.4260703678882,-135.92484539005048,29.501224977837705
36,-0.5,Lor4D,KR_like,1.0,-165.3817811913313,-135.71793371686687,29.66384747446442
36,-0.25,Lor4D,KR_like,1.0,-165.33749201477434,-135.51102204368325,29.82646997109111
36,0.0,Lor4D,KR_like,1.0,-165.29320283821744,-135.30411037049961,29.98909246771781
36,0.25,Lor4D,KR_like,1.0,-165.2489136616605,-135.097198697316,30.15171496434451
36,0.5,Lor4D,KR_like,1.0,-165.20462448510358,-134.8902870241324,30.314337460971203
36,0.75,Lor4D,KR_like,1.0,-165.16033530854668,-134.68337535094875,30.476959957597916
36,1.0,Lor4D,KR_like,1.0,-165.11604613198978,-134.47646367776514,30.639582454224605
36,1.25,Lor4D,KR_like,1.0,-165.07175695543282,-134.26955200458153,30.802204950851305
