d,N,hubble,rep,R_dS,R_hat,n_causal_pairs,bd_ratio,occupancy_R,S1_c1_over_c0,S2_c2_over_c1,S3_c2_over_c0,S4_nonlink_low,S5_log_curvature,S6_log_concavity,S7_depth_over_linkfrac,S8_bdg_d2c_shape,S9_gini,S10_kl_vs_flat,S11_link_frac,S12_bdg_d2c_intensive,S13_c3_over_c2,S14_geo_mean_ratio,S15_ratio_of_ratios,C0,C1,C2,C3,C4,total_pairs
2,512,0.000000,4,0.000000,0.823135,65703,47.597030,0.963731,0.815359,0.844570,0.688628,0.600637,0.965413,-0.035200,1334.140579,-0.718750,0.596562,-0.270505,0.036269,-0.001404,0.945765,0.866807,1.035827,2383,1943,1641,1552,1364,65703
2,512,0.000000,5,0.000000,3.375802,65109,46.971596,0.962878,0.786512,0.849027,0.667770,0.592549,0.926369,-0.076483,1287.162598,-1.015625,0.598410,-0.270944,0.037122,-0.001984,0.929988,0.853168,1.079483,2417,1901,1614,1501,1397,65109
2,512,0.000000,6,0.000000,-0.956625,65684,47.027422,0.962792,0.762684,0.910408,0.694354,0.593006,0.837739,-0.177049,1285.860065,-1.265625,0.612219,-0.271227,0.037208,-0.002472,0.883913,0.849826,1.193689,2444,1864,1697,1500,1422,65684
2,512,0.000000,7,0.000000,6.951493,65252,46.899759,0.963434,0.779128,0.888650,0.692372,0.595387,0.876755,-0.131528,1303.940067,-1.058594,0.583359,-0.270164,0.036566,-0.002068,0.911017,0.857608,1.140569,2386,1859,1652,1505,1396,65252
2,512,0.250000,0,0.125000,3.779694,59673,41.325306,0.960786,0.795726,0.895274,0.712393,0.601295,0.888808,-0.117874,1071.358974,-0.867188,0.595616,-0.281413,0.039214,-0.001694,0.913617,0.866619,1.125103,2340,1862,1667,1523,1353,59673
2,512,0.250000,1,0.125000,-3.481488,59607,42.066269,0.959753,0.786995,0.904661,0.711963,0.599833,0.869933,-0.139339,1064.187578,-0.996094,0.589827,-0.283443,0.040247,-0.001945,0.870023,0.852438,1.149514,2399,1888,1708,1486,1387,59607
2,512,0.250000,2,0.125000,-6.921601,61134,43.887011,0.961560,0.804255,0.889418,0.715319,0.603108,0.904249,-0.100651,1161.324255,-0.796875,0.621215,-0.278689,0.038440,-0.001556,0.881023,0.857358,1.105890,2350,1890,1681,1481,1378,61134
2,512,0.250000,3,0.125000,4.768090,59285,41.016863,0.959686,0.777824,0.864443,0.672385,0.591872,0.899798,-0.105585,1035.375732,-1.074219,0.613101,-0.279397,0.040314,-0.002098,0.896702,0.844803,1.111361,2390,1859,1607,1441,1266,59285
2,512,0.250000,4,0.125000,-7.111318,60941,42.619996,0.960503,0.771915,0.905813,0.699211,0.595326,0.852180,-0.159958,1098.117574,-1.144531,0.610563,-0.279022,0.039497,-0.002235,0.890077,0.853779,1.173461,2407,1858,1683,1498,1329,60941
2,512,0.250000,5,0.125000,2.226233,61095,42.145937,0.961453,0.794055,0.911765,0.723992,0.602867,0.870899,-0.138229,1111.271338,-0.894531,0.585696,-0.278774,0.038547,-0.001747,0.855718,0.852488,1.148238,2355,1870,1705,1459,1392,61095
2,512,0.250000,6,0.125000,-0.112000,61036,42.818438,0.961875,0.826816,0.847193,0.700473,0.604319,0.975947,-0.024347,1141.391491,-0.574219,0.609304,-0.278768,0.038125,-0.001122,0.936810,0.868989,1.024646,2327,1924,1630,1527,1364,61036
2,512,0.250000,7,0.125000,1.514157,61198,42.587886,0.961796,0.773738,0.907684,0.702310,0.596131,0.852431,-0.159662,1132.857571,-1.066406,0.593248,-0.275818,0.038204,-0.002083,0.891596,0.855524,1.173115,2338,1809,1642,1464,1351,61198
2,512,0.500000,0,0.500000,6.404293,54343,37.263859,0.957750,0.804443,0.854900,0.687718,0.598742,0.940979,-0.060835,897.220819,-0.753906,0.606531,-0.289993,0.042250,-0.001472,0.894237,0.850395,1.062723,2296,1847,1579,1412,1355,54343
2,512,0.500000,1,0.500000,10.563969,52917,35.909650,0.955553,0.768282,0.885999,0.680697,0.591667,0.867137,-0.142558,823.002551,-1.128906,0.599783,-0.296447,0.044447,-0.002205,0.936290,0.860574,1.153220,2352,1807,1601,1499,1418,52917
2,512,0.500000,2,0.500000,21.741671,54153,37.029618,0.956568,0.792517,0.853004,0.676020,0.594902,0.929089,-0.073551,868.265306,-0.906250,0.582906,-0.292361,0.043432,-0.001770,0.918239,0.853045,1.076323,2352,1864,1590,1460,1344,54153
2,512,0.500000,3,0.500000,-3.123808,54215,36.947409,0.955215,0.778830,0.906928,0.706343,0.597614,0.858757,-0.152269,841.352142,-1.097656,0.616741,-0.296908,0.044785,-0.002144,0.861808,0.847504,1.164474,2428,1891,1715,1478,1409,54215
2,512,0.500000,4,0.500000,20.299937,54497,36.629423,0.958273,0.781003,0.887387,0.693052,0.595805,0.880115,-0.127703,892.092788,-0.945312,0.548753,-0.289286,0.041727,-0.001846,0.944797,0.868363,1.136216,2274,1776,1576,1489,1353,54497
2,512,0.500000,5,0.500000,6.425523,54908,37.980858,0.957074,0.784896,0.867027,0.680526,0.594390,0.905273,-0.099519,901.179890,-0.980469,0.608599,-0.289588,0.042926,-0.001915,0.879676,0.842796,1.104639,2357,1850,1604,1411,1330,54908
