d,N,hubble,rep,R_dS,R_hat,ratio,flat_prefactor,flat_r2,n_causal_pairs,intercept
3,512,0.0,4,0.0,17.32818908791817,nan,0.250974652466844,0.8302735052568495,37955,0.28136351935546766
3,512,0.0,5,0.0,37.52745809403199,nan,0.2438161288055892,0.8499944629425978,37147,0.3063219565595411
3,512,0.0,6,0.0,-0.5324433864902269,nan,0.24175684494964433,0.7954253955393971,35772,0.24351178493082531
3,512,0.0,7,0.0,18.34934898536684,nan,0.2522626378310785,0.8231459752522357,36221,0.27991655067641863
3,512,0.0,8,0.0,-6.741132146023731,nan,0.2399053537801573,0.8541438889356734,37761,0.2332638057894868
3,512,0.0,9,0.0,13.102743105020165,nan,0.24000283627824132,0.8490202005070643,38070,0.26454379723146204
3,512,0.25,0,0.375,-4.231337022802613,-11.283565394140302,0.13313047966221897,0.42241285865801514,33102,0.12205595480930587
3,512,0.25,1,0.375,-0.992241929593434,-2.6459784789158243,0.12175602711703332,0.4025195408339691,32382,0.11968806913855144
3,512,0.25,2,0.375,-0.9666271691463106,-2.5776724510568285,0.13451524735345663,0.4158190406733552,30229,0.13192178424409343
3,512,0.25,3,0.375,-2.79473526725273,-7.452627379340613,0.12702905291002856,0.40626131293357626,31934,0.12014370291852881
3,512,0.25,4,0.375,-6.90893490990066,-18.42382642640176,0.13758283483506684,0.4150681876673572,30458,0.12242445593216313
3,512,0.25,5,0.375,-5.6310631500975115,-15.01616840026003,0.14110982537775382,0.42430530087343044,31309,0.12912761886404472
3,512,0.25,6,0.375,-4.055373350065823,-10.814328933508861,0.1303279361328506,0.41689837660132867,33553,0.12035741845628975
3,512,0.25,7,0.375,-1.009022414271229,-2.6907264380566107,0.13124009654087695,0.41138435262799466,29988,0.12867171984530626
3,512,0.25,8,0.375,-4.31325676834417,-11.502018048917785,0.14108239704968117,0.4159560504024773,29381,0.1317146255057414
3,512,0.25,9,0.375,-8.197193853711934,-21.85918360989849,0.11901413212119376,0.42130908965255565,30468,0.09975472195025711
3,512,0.5,0,1.5,-1.9332825223935821,-1.2888550149290547,0.12986470664942648,0.3833764017318262,24961,0.12651636473223105
3,512,0.5,1,1.5,5.632620493304275,3.7550803288695165,0.14121100298774103,0.3501363719526006,24575,0.15422011447118997
3,512,0.5,2,1.5,-0.44789129265723665,-0.29859419510482443,0.13461720645243425,0.38781625808445985,27345,0.1329467287819419
3,512,0.5,3,1.5,12.3296340113228,8.219756007548533,0.1249648979336362,0.3597186979570327,24353,0.14846681038817583
3,512,0.5,4,1.5,1.7001155888170438,1.1334103925446959,0.14878983499642237,0.3784294603605426,24136,0.1523310515921601
3,512,0.5,5,1.5,2.7026914812195746,1.8017943208130498,0.1312953028417676,0.39527164980689367,25849,0.13575337699051745
3,512,0.5,6,1.5,4.924558712298024,3.2830391415320164,0.15437908036668724,0.38718395282978824,24460,0.16212734618512795
3,512,0.5,7,1.5,7.60865805607846,5.072438704052307,0.13964874942352581,0.35367988136321793,25926,0.15592491830136174
3,512,0.5,8,1.5,9.045347300419126,6.03023153361275,0.1486758848898691,0.37221266171002065,23169,0.1667706103663373
3,512,0.5,9,1.5,6.247789903088951,4.165193268725967,0.1278541162075379,0.3709142941928979,27534,0.1415321539036191
3,512,1.0,0,6.0,82.72215907164033,13.787026511940056,0.13438213361475732,0.283627602671769,14586,0.24840474038811125
3,512,1.0,1,6.0,124.32386089912977,20.720643483188294,0.15221331097925198,0.29876759846376444,14587,0.30324859835971146
3,512,1.0,2,6.0,80.78865685406718,13.464776142344531,0.16805548430435557,0.2875955278861648,13579,0.2626901320805159
3,512,1.0,3,6.0,57.65034213019032,9.60839035503172,0.15543863211912068,0.3150207977955116,14111,0.2261911359661839
3,512,1.0,4,6.0,63.068961120513144,10.511493520085525,0.1677264151659594,0.3109651651574563,13717,0.23591173211695513
3,512,1.0,5,6.0,59.15454524581472,9.859090874302453,0.15314925479242564,0.27346224895403926,13545,0.22877458683609755
