d,N,H,H_sq,rep,n_causal_pairs,C_0,C_1,C_2,N_2,N_3,N_4,N_5,longest_chain,longest_chain_ratio,N3_over_N2,N4_over_N3,N5_over_N4,N4_over_N2sq,chain_entropy,N2_per_N,N3_per_N,N4_per_N
2,256,1.5,2.25,4,8136,880,686,547,8136.0,82671.0,401622.0,1130354.0,16.0,0.0625,10.16113569321534,4.858075987952245,2.8144723147636337,0.006067302030670345,0.7756845816421798,31.78125,322.93359375,1568.8359375
2,256,1.5,2.25,5,7480,945,677,583,7480.0,71598.0,319979.0,800527.0,15.0,0.05859375,9.57192513368984,4.469105282270455,2.501811056350573,0.005718976093111041,0.8222979849725052,29.21875,279.6796875,1249.91796875
2,256,1.5,2.25,6,7763,888,639,550,7763.0,79499.0,396361.0,1145973.0,16.0,0.0625,10.240757439134356,4.985735669631064,2.8912355150986095,0.006577059081325754,0.7642709648312668,30.32421875,310.54296875,1548.28515625
2,256,1.5,2.25,7,8529,954,682,569,8529.0,96021.0,514984.0,1579324.0,17.0,0.06640625,11.25817798100598,5.363243457160412,3.0667438211672597,0.007079417211417253,0.7359279885587843,33.31640625,375.08203125,2011.65625
2,256,2.0,4.0,0,5891,838,600,447,5891.0,43456.0,149979.0,291424.0,13.0,0.05078125,7.376676285859786,3.451284057437408,1.9430987004847344,0.004321678027883971,0.9395144285668333,23.01171875,169.75,585.85546875
2,256,2.0,4.0,1,5298,798,595,433,5298.0,36412.0,121570.0,231833.0,12.0,0.046875,6.872782181955455,3.338734483137427,1.906991856543555,0.004331142858812224,0.9530322560477333,20.6953125,142.234375,474.8828125
2,256,2.0,4.0,2,5790,803,593,452,5790.0,46264.0,191631.0,497643.0,18.0,0.0703125,7.9903281519861835,4.142119142313678,2.5968815066455844,0.005716216095286674,0.8282807339051635,22.6171875,180.71875,748.55859375
2,256,2.0,4.0,3,5371,794,585,522,5371.0,38143.0,132444.0,270650.0,15.0,0.05859375,7.101657047104823,3.4723016018666595,2.0435051795475823,0.004591155304518661,0.9272851530610897,20.98046875,148.99609375,517.359375
2,256,2.0,4.0,4,5951,792,617,480,5951.0,45637.0,171464.0,385734.0,15.0,0.05859375,7.668795160477231,3.757126892652891,2.2496500723183877,0.004841646199239682,0.8854560326310832,23.24609375,178.26953125,669.78125
2,256,2.0,4.0,5,5732,778,587,457,5732.0,42006.0,145211.0,282477.0,13.0,0.05078125,7.328332170272156,3.4569109174879777,1.945286514107058,0.004419642618002823,0.939227722128642,22.390625,164.0859375,567.23046875
2,256,2.0,4.0,6,5867,769,594,470,5867.0,44383.0,170286.0,400129.0,16.0,0.0625,7.56485426964377,3.8367392920712886,2.349746896397825,0.0049470553289816775,0.8705494206219399,22.91796875,173.37109375,665.1796875
2,256,2.0,4.0,7,5502,795,613,447,5502.0,40445.0,147875.0,315938.0,13.0,0.05078125,7.35096328607779,3.6561997774755843,2.1365207100591714,0.0048848764687002555,0.9054340093478996,21.4921875,157.98828125,577.63671875
2,512,0.0,0.0,0,64838,2383,1824,1666,64838.0,3032939.0,70204043.0,955550325.0,33.0,0.064453125,46.77718313334773,23.147199135887664,13.611044096135602,0.01669947828439319,0.2696292524986756,126.63671875,5923.708984375,137117.271484375
2,512,0.0,0.0,1,64719,2392,1905,1682,64719.0,3099853.0,75323118.0,1098891083.0,35.0,0.068359375,47.897109040621764,24.298932239690075,14.589028072364185,0.017983105534002616,0.25645200537945934,126.404296875,6054.400390625,147115.46484375
