d,N,hubble,rep,seed,R_dS,R_hat,flat_prefactor,flat_r2,n_causal_pairs,bd_ratio,bdg_d4,bdg_d2c,occupancy_R,f_link,wall_sigma
2,512,0.000000,0,20972323,0.000000,4.626346,0.477909,0.929506,65079,47.419885,0.902344,-1.289062,0.962615,0.037385,1.000000
2,512,0.000000,1,20972333,0.000000,3.768842,0.461950,0.947650,66410,47.818308,3.080078,-0.933594,0.963575,0.036425,1.000000
2,512,0.000000,2,20972343,0.000000,7.296552,0.501258,0.910078,66322,49.078757,2.253906,-0.648438,0.964295,0.035705,1.000000
2,512,0.000000,3,20972353,0.000000,9.836249,0.477895,0.941466,64652,46.690416,0.908203,-0.933594,0.963435,0.036565,1.000000
2,512,0.000000,4,20972363,0.000000,-3.930283,0.491287,0.948656,64146,46.810198,-0.898438,-1.015625,0.962242,0.037758,1.000000
2,512,0.000000,5,20972373,0.000000,1.986571,0.473297,0.940343,66675,48.550334,0.373047,-0.628906,0.964754,0.035246,1.000000
2,512,0.000000,6,20972383,0.000000,1.920283,0.497094,0.946953,65307,47.353323,1.339844,-0.945312,0.963725,0.036275,1.000000
2,512,0.000000,7,20972393,0.000000,10.364893,0.496916,0.921965,67561,49.292545,1.679688,-0.671875,0.965128,0.034872,1.000000
2,512,0.250000,0,20972348,0.125000,-3.283238,0.417168,0.624518,59137,42.748978,1.529297,-1.035156,0.959112,0.040888,1.000000
2,512,0.250000,1,20972358,0.125000,-2.183687,0.404013,0.656371,59051,40.977950,0.759766,-1.136719,0.960407,0.039593,1.000000
2,512,0.250000,2,20972368,0.125000,0.056891,0.373306,0.652851,58436,40.387602,2.296875,-1.312500,0.957732,0.042268,1.000000
2,512,0.250000,3,20972378,0.125000,-5.132774,0.399064,0.652128,59452,42.099710,4.589844,-0.445312,0.961196,0.038804,1.000000
2,512,0.250000,4,20972388,0.125000,-1.906329,0.396522,0.647009,59800,41.572664,0.451172,-1.128906,0.959666,0.040334,1.000000
2,512,0.250000,5,20972398,0.125000,-9.736427,0.396492,0.665414,59166,42.121327,3.480469,-0.445312,0.960738,0.039262,1.000000
2,512,0.250000,6,20972408,0.125000,0.764400,0.382940,0.656106,59635,41.065858,-0.882812,-1.640625,0.958749,0.041251,1.000000
2,512,0.250000,7,20972418,0.125000,6.054454,0.360989,0.631685,58467,40.423590,-1.234375,-1.531250,0.958592,0.041408,1.000000
2,512,0.500000,0,20972373,0.500000,-6.818477,0.459477,0.634625,54859,38.209495,3.189453,-1.027344,0.956725,0.043275,1.000000
2,512,0.500000,1,20972383,0.500000,2.497220,0.448690,0.618088,53405,36.592078,1.427734,-0.800781,0.955491,0.044509,1.000000
2,512,0.500000,2,20972393,0.500000,29.064957,0.427900,0.616289,56285,38.503022,-0.644531,-0.726562,0.959883,0.040117,1.000000
2,512,0.500000,3,20972403,0.500000,-6.738140,0.447046,0.631040,53502,36.796311,-0.445312,-1.109375,0.955366,0.044634,1.000000
2,512,0.500000,4,20972413,0.500000,25.003618,0.417546,0.607342,52899,35.763058,2.851562,-0.734375,0.955859,0.044141,1.000000
2,512,0.500000,5,20972423,0.500000,-0.590048,0.440465,0.639594,53017,36.536094,0.730469,-1.164062,0.954826,0.045174,1.000000
2,512,0.500000,6,20972433,0.500000,25.038389,0.410223,0.592463,52356,35.057158,2.935547,-0.972656,0.954790,0.045210,1.000000
2,512,0.500000,7,20972443,0.500000,22.021766,0.429779,0.605873,54147,36.925287,0.105469,-0.914062,0.957154,0.042846,1.000000
2,512,1.000000,0,20972423,2.000000,98.439391,0.559541,0.533407,41093,27.338463,3.980469,-1.039062,0.943883,0.056117,1.000000
2,512,1.000000,1,20972433,2.000000,174.652755,0.497165,0.488507,40293,26.002961,2.039062,-1.046875,0.943092,0.056908,1.000000
2,512,1.000000,2,20972443,2.000000,123.421871,0.507798,0.533189,43005,28.180529,3.398438,-0.703125,0.948797,0.051203,1.000000
2,512,1.000000,3,20972453,2.000000,111.515276,0.545002,0.517910,42218,28.192809,1.500000,-0.562500,0.948079,0.051921,1.000000
2,512,1.000000,4,20972463,2.000000,133.172883,0.520731,0.509160,42107,27.664547,2.355469,-0.664062,0.947467,0.052533,1.000000
2,512,1.000000,5,20972473,2.000000,103.529739,0.529328,0.540245,43556,28.853720,1.230469,-0.664062,0.949077,0.050923,1.000000
2,512,1.000000,6,20972483,2.000000,112.356507,0.554054,0.545876,42206,28.248740,2.539062,-0.484375,0.948562,0.051438,1.000000
2,512,1.000000,7,20972493,2.000000,135.470468,0.529576,0.488305,42743,28.414435,2.136719,-0.445312,0.948413,0.051587,1.000000
