d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,n_patches,b1_std_patch_mean,b1_std_patch_std,wmr_patch_mean,wmr_patch_std
4,128,0.1,27,0.12000000000000002,0.010000000000000002,1338,1.6484375,23.427944666756275,0.3984375,25.6,2,4.097451150823814,3.544680352431248,nan,nan
4,128,0.1,28,0.12000000000000002,0.010000000000000002,1436,0.0859375,28.591691140016426,0.359375,25.6,2,5.546014649987783,4.947716682536448,nan,nan
4,128,0.1,29,0.12000000000000002,0.010000000000000002,1250,0.0703125,14.301542527026369,0.3828125,25.6,2,5.275844908542965,5.052548030273528,nan,nan
4,128,0.1,30,0.12000000000000002,0.010000000000000002,1344,-2.0,19.479556591462753,0.390625,21.333333333333332,2,9.026377488948789,7.2943266813799115,nan,nan
4,128,0.1,31,0.12000000000000002,0.010000000000000002,1366,1.1015625,21.779735364751193,0.359375,25.6,2,4.537718194959599,4.0546049189052145,nan,nan
4,128,0.25,0,0.75,0.0625,1079,4.140625,16.582527690595757,0.453125,25.6,2,6.801037143434031,6.551593317649101,nan,nan
4,128,0.25,1,0.75,0.0625,1137,-1.8125,14.063333308643438,0.4609375,32.0,2,6.552328263379172,6.552328263379172,nan,nan
4,128,0.25,2,0.75,0.0625,1261,-2.9609375,20.982285066719825,0.4296875,32.0,1,19.668469604596567,nan,nan,nan
4,128,0.25,3,0.75,0.0625,965,0.703125,17.830521311346313,0.46875,32.0,2,5.889412974582881,5.889412974582881,nan,nan
4,128,0.25,4,0.75,0.0625,1210,0.9296875,17.788770858391082,0.4609375,32.0,2,7.643771192864139,7.643771192864139,nan,nan
4,128,0.25,5,0.75,0.0625,1053,-2.40625,20.44827219932041,0.421875,25.6,2,8.355028620634046,8.12596719698862,nan,nan
4,128,0.25,6,0.75,0.0625,972,2.75,14.077908225301087,0.46875,25.6,2,6.599668660966817,6.350224835181887,nan,nan
4,128,0.25,7,0.75,0.0625,797,0.0625,17.47174057585563,0.4765625,32.0,1,16.308832176668485,nan,nan,nan
4,128,0.25,8,0.75,0.0625,1002,-2.1484375,18.93207011418967,0.484375,32.0,2,6.914091457050271,6.914091457050271,nan,nan
4,128,0.25,9,0.75,0.0625,1246,-1.0,19.405620964040292,0.4453125,32.0,2,8.026846740472955,8.026846740472955,nan,nan
4,128,0.25,10,0.75,0.0625,989,-2.234375,15.414321858563062,0.4296875,25.6,2,5.818524631592258,5.614593511599935,nan,nan
4,128,0.25,11,0.75,0.0625,1005,-1.2109375,17.17085664348444,0.4453125,32.0,2,8.32698280647197,8.32698280647197,nan,nan
4,128,0.25,12,0.75,0.0625,1099,-1.9296875,21.232781109697893,0.453125,25.6,2,10.435251232580331,10.104532318697258,nan,nan
4,128,0.25,13,0.75,0.0625,1160,0.921875,17.47033618693055,0.4453125,32.0,1,14.022817528889668,nan,nan,nan
4,128,0.25,14,0.75,0.0625,1019,2.0703125,15.817901050782424,0.453125,25.6,2,7.6208703086504235,7.290151394767349,nan,nan
4,128,0.25,15,0.75,0.0625,1007,-4.1953125,20.589005938299785,0.484375,25.6,2,9.228886838467412,8.999825414821986,nan,nan
4,128,0.25,16,0.75,0.0625,1074,4.953125,21.28264381448825,0.4296875,25.6,2,5.002288301219276,4.542230919697679,nan,nan
4,128,0.25,17,0.75,0.0625,1090,3.5703125,18.80187972390909,0.453125,32.0,2,5.959155226700153,5.959155226700153,nan,nan
4,128,0.25,18,0.75,0.0625,954,3.265625,12.913464614865175,0.4453125,25.6,2,5.281415552831608,4.826332492593176,nan,nan
4,128,0.25,19,0.75,0.0625,1071,0.28125,17.962172709265992,0.3984375,25.6,2,7.642760947072989,7.385221570254132,nan,nan
4,128,0.25,20,0.75,0.0625,1031,-0.03125,18.972404919711682,0.4765625,25.6,2,8.767657452710397,8.427722818470878,nan,nan
