d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,layer_width_std
4,256,0.5,4,3.0,0.25,2990,1.44140625,22.022282846527535,0.4765625,51.2,24.07820591323199
4,256,0.5,5,3.0,0.25,3386,-0.5078125,25.54560752780884,0.44921875,51.2,25.69357896440276
4,256,0.5,6,3.0,0.25,2875,3.22265625,23.010893190928854,0.45703125,51.2,28.631451238105274
4,256,0.5,7,3.0,0.25,3035,-1.41796875,23.488384541598926,0.453125,51.2,27.82373087851448
4,256,0.5,8,3.0,0.25,2863,0.2265625,19.793154926226233,0.4453125,51.2,28.89567441677041
4,256,0.5,9,3.0,0.25,2802,-0.44921875,20.512699938444193,0.49609375,51.2,25.411808278829746
4,256,0.5,10,3.0,0.25,2768,1.03125,22.849691429809287,0.4609375,51.2,28.7986110776197
4,256,0.5,11,3.0,0.25,2969,2.89453125,20.876324091965362,0.43359375,51.2,23.137847782367313
4,256,0.5,12,3.0,0.25,2370,0.74609375,20.605151063901737,0.47265625,51.2,29.417001886664114
4,256,0.5,13,3.0,0.25,2762,2.3515625,25.820924727991322,0.49609375,51.2,27.54922866433832
4,256,0.5,14,3.0,0.25,3412,-1.20703125,26.898392968940048,0.4296875,51.2,27.505635786143902
4,256,0.5,15,3.0,0.25,2890,0.5390625,25.26156985662399,0.41796875,51.2,24.78225171367606
4,256,1.0,0,12.0,1.0,806,0.66796875,9.010579143374938,0.6484375,64.0,34.3874977280988
4,256,1.0,1,12.0,1.0,936,-0.0625,9.618301240343849,0.69140625,64.0,46.652974181717504
4,256,1.0,2,12.0,1.0,1259,1.0625,11.27410611755983,0.63671875,64.0,40.30508652763321
4,256,1.0,3,12.0,1.0,888,0.81640625,8.208791755487585,0.6796875,51.2,47.89321455070645
4,256,1.0,4,12.0,1.0,1147,1.4765625,14.86210830210821,0.6640625,64.0,39.69256857397868
4,256,1.0,5,12.0,1.0,1234,-0.10546875,13.777834376010384,0.6328125,64.0,41.803109932156964
4,256,1.0,6,12.0,1.0,1004,1.87890625,9.475965916660472,0.703125,64.0,41.07919181288746
4,256,1.0,7,12.0,1.0,1199,1.1015625,11.87324976822242,0.69140625,64.0,36.21463792446364
4,256,1.0,8,12.0,1.0,874,1.015625,9.629450574117664,0.67578125,64.0,47.15400301140933
4,256,1.0,9,12.0,1.0,1132,0.921875,11.499734626693565,0.65625,51.2,38.90192797278819
4,256,1.0,10,12.0,1.0,1238,-0.125,11.80174775192217,0.58203125,64.0,37.72929895982696
4,256,1.0,11,12.0,1.0,902,0.62890625,9.219914353111472,0.6796875,64.0,40.41658075592244
4,256,1.0,12,12.0,1.0,660,-0.4375,7.107709282884325,0.71875,85.33333333333333,45.82818152864264
4,256,1.0,13,12.0,1.0,824,1.33984375,9.753892170594565,0.69921875,64.0,46.36809247747852
4,256,1.0,14,12.0,1.0,943,0.76171875,10.513842223273965,0.65234375,51.2,40.10685726905064
4,256,1.0,15,12.0,1.0,905,-0.15625,8.889897268107209,0.69921875,64.0,45.645372164108814
4,256,2.0,0,48.0,4.0,67,0.77734375,0.70241935076985,0.9375,85.33333333333333,81.20071154586982
4,256,2.0,1,48.0,4.0,81,0.95703125,1.378585302592276,0.9296875,85.33333333333333,74.21739837950548
4,256,2.0,2,48.0,4.0,80,0.70703125,1.4777349429188704,0.8984375,85.33333333333333,78.50406925051011
4,256,2.0,3,48.0,4.0,84,0.7890625,1.0394736028845322,0.93359375,85.33333333333333,74.79007658476861
4,256,2.0,4,48.0,4.0,50,0.9609375,1.1032788047876882,0.9453125,85.33333333333333,93.95861973348812
4,256,2.0,5,48.0,4.0,48,0.8125,0.4192627457812106,0.9453125,128.0,83.0
4,256,2.0,6,48.0,4.0,69,0.73046875,0.4776339134456823,0.921875,128.0,63.0
4,256,2.0,7,48.0,4.0,43,0.83203125,0.37383853335823675,0.94921875,128.0,85.0
4,256,2.0,8,48.0,4.0,70,0.7265625,0.6400054168471936,0.93359375,128.0,77.0
4,256,2.0,9,48.0,4.0,48,0.8125,0.480071609241788,0.94921875,128.0,89.0
4,256,2.0,10,48.0,4.0,85,0.70703125,0.7578427023620651,0.92578125,85.33333333333333,74.40579427855214
4,256,2.0,11,48.0,4.0,130,0.8046875,1.561542675479524,0.91015625,85.33333333333333,60.25685760881403
4,256,2.0,12,48.0,4.0,24,0.90625,0.2914805954090255,0.94921875,128.0,104.0
4,256,2.0,13,48.0,4.0,93,0.75390625,1.0816222151060588,0.9140625,85.33333333333333,74.79007658476861
4,256,2.0,14,48.0,4.0,106,0.859375,1.4696639443678954,0.921875,85.33333333333333,64.93244352573082
4,256,2.0,15,48.0,4.0,83,0.67578125,1.8499259315303511,0.921875,85.33333333333333,74.74549410425278
4,512,0.0,0,0.0,0.0,23570,0.36328125,45.238094723732544,0.25390625,73.14285714285714,32.33498137324596
4,512,0.0,1,0.0,0.0,21988,0.91015625,43.73736128129572,0.255859375,56.888888888888886,40.15648403280027
4,512,0.0,2,0.0,0.0,23248,-1.119140625,43.275772045527674,0.263671875,73.14285714285714,27.637596398635637
4,512,0.0,3,0.0,0.0,22711,-1.986328125,47.819584938650756,0.259765625,73.14285714285714,28.989794122506392
4,512,0.0,4,0.0,0.0,22080,-3.755859375,44.4833730002596,0.26171875,73.14285714285714,29.84928126164405
4,512,0.0,5,0.0,0.0,22711,-2.728515625,44.32231167097595,0.2578125,73.14285714285714,29.60901682851054
4,512,0.0,6,0.0,0.0,22074,-0.447265625,42.05726602307494,0.255859375,73.14285714285714,31.606638414053695
4,512,0.0,7,0.0,0.0,22757,1.982421875,44.77467113653122,0.251953125,73.14285714285714,35.546462839615465
4,512,0.0,8,0.0,0.0,22433,1.005859375,40.70259374465864,0.259765625,73.14285714285714,32.686513476743066
4,512,0.0,9,0.0,0.0,22056,0.369140625,42.24780949438651,0.251953125,73.14285714285714,29.342453746009973
4,512,0.0,10,0.0,0.0,22012,2.865234375,43.39867197105596,0.271484375,73.14285714285714,35.02418989143104
4,512,0.0,11,0.0,0.0,22114,2.44921875,41.70953034097421,0.263671875,64.0,34.55792239125495
4,512,0.0,12,0.0,0.0,21579,0.06640625,36.58230612550227,0.2578125,73.14285714285714,32.30404031089863
4,512,0.0,13,0.0,0.0,23392,2.42578125,43.777071528108735,0.259765625,73.14285714285714,35.518319504280655
4,512,0.0,14,0.0,0.0,22763,0.033203125,43.489008029932,0.2578125,73.14285714285714,33.4511523244975
4,512,0.0,15,0.0,0.0,22457,-2.7578125,48.43132962210354,0.27734375,73.14285714285714,29.32784426069519
4,512,0.25,0,0.75,0.0625,17924,1.8828125,40.850885679992835,0.341796875,73.14285714285714,40.40660685520402
4,512,0.25,1,0.75,0.0625,16654,-1.7890625,39.29757314861941,0.30859375,73.14285714285714,26.951960286133293
4,512,0.25,2,0.75,0.0625,17539,0.03515625,38.98074863362793,0.318359375,73.14285714285714,42.15423575201826
4,512,0.25,3,0.75,0.0625,15941,0.646484375,35.23229313893549,0.3125,73.14285714285714,37.15384452873358
4,512,0.25,4,0.75,0.0625,16086,2.3828125,41.31928293290971,0.3515625,85.33333333333333,35.35376767600433
4,512,0.25,5,0.75,0.0625,16462,1.251953125,38.66246408336906,0.33984375,85.33333333333333,35.34905310691583
4,512,0.25,6,0.75,0.0625,17291,1.240234375,44.06217755138832,0.3359375,73.14285714285714,34.44012846926666
4,512,0.25,7,0.75,0.0625,16289,0.2265625,36.44204835329092,0.314453125,73.14285714285714,30.605455029308427
4,512,0.25,8,0.75,0.0625,16179,-0.154296875,41.19325667629794,0.32421875,73.14285714285714,42.56903157201948
