family,N,rep,seed,n_layers,bd_ratio,bdg_d2c,bdg_d4,link_frac,total_relations,C0,C1,C2,C3
Lor4D,36,19,22642,3,0.19618382155334582,-3.7222222222222223,1.75,0.8360655737704918,122,102,17,2,1
Lor4D,48,0,4842,4,0.2864366448542534,-3.4583333333333335,0.7708333333333334,0.7804878048780488,164,128,21,7,5
Lor4D,48,1,5842,4,0.22783908864364535,-4.833333333333333,2.75,0.8113207547169812,212,172,32,3,2
Lor4D,48,2,6842,4,0.4229297947651624,-4.875,-3.9375,0.7091633466135459,251,178,37,28,7
Lor4D,48,3,7842,4,0.4257072844731566,-2.5,5.25,0.6865671641791045,201,138,54,9,0
Lor4D,48,4,8842,3,0.15964212095960703,-4.0,-1.6666666666666667,0.8675496688741722,151,131,11,7,2
Lor4D,48,5,9842,4,0.3067451335445903,-5.375,-1.3541666666666667,0.7659574468085106,235,180,27,14,6
Lor4D,48,6,10842,4,0.27454734651404783,-2.8333333333333335,2.25,0.7806451612903226,155,121,29,5,0
Lor4D,48,7,11842,4,0.29202216066481995,-4.125,0.6041666666666666,0.7789473684210526,190,148,25,9,6
Lor4D,48,8,12842,4,0.292946352244532,-4.625,0.5208333333333334,0.771689497716895,219,169,34,11,2
Lor4D,48,9,13842,3,0.17255,-5.333333333333333,-1.5,0.855,200,171,19,8,1
Lor4D,48,10,14842,5,0.5551095732410611,-3.625,-0.14583333333333334,0.6313725490196078,255,161,50,26,9
Lor4D,48,11,15842,4,0.5343694920685786,-3.5,2.75,0.6329113924050633,237,150,42,15,12
Lor4D,48,12,16842,4,0.39834478984986826,-2.7083333333333335,2.3125,0.695906432748538,171,119,30,7,3
Lor4D,48,13,17842,4,0.14848,-3.0416666666666665,-0.3541666666666667,0.872,125,109,12,4,0
Lor4D,48,14,18842,4,0.35766595001343726,-5.125,-1.0625,0.7418032786885246,244,181,34,18,8
Lor4D,48,15,19842,3,0.2012848657024794,-4.208333333333333,1.2291666666666667,0.8352272727272727,176,147,22,4,3
Lor4D,48,16,20842,4,0.24171705719324765,-5.5,4.583333333333333,0.8015873015873016,252,202,46,3,1
Lor4D,48,17,21842,4,0.5079696073192665,-4.25,3.2083333333333335,0.6534296028880866,277,181,55,19,12
Lor4D,48,18,22842,3,0.23544034090909088,-4.0,1.3333333333333333,0.8125,176,143,23,5,4
Lor4D,48,19,23842,4,0.4414420049623653,-3.875,-0.6041666666666666,0.6940639269406392,219,152,35,19,8
Lor5D,20,0,2042,2,0.0,-1.2,-0.1,1.0,22,22,0,0,0
Lor5D,20,1,3042,3,0.06867845993756509,-1.7,0.45,0.9354838709677419,31,29,2,0,0
Lor5D,20,2,4042,2,0.0,-1.2,-0.1,1.0,22,22,0,0,0
Lor5D,20,3,5042,2,0.0,-0.5,0.25,1.0,15,15,0,0,0
Lor5D,20,4,6042,2,0.0,-0.2,0.4,1.0,12,12,0,0,0
Lor5D,20,5,7042,3,0.07653061224489792,-0.2,0.8,0.9285714285714286,14,13,1,0,0
Lor5D,20,6,8042,3,0.0498866213151928,-0.9,0.45,0.9523809523809523,21,20,1,0,0
Lor5D,20,7,9042,2,0.0,-1.1,-0.05,1.0,21,21,0,0,0
Lor5D,20,8,10042,2,0.0,-1.0,0.0,1.0,20,20,0,0,0
Lor5D,20,9,11042,2,0.0,-0.6,0.2,1.0,16,16,0,0,0
Lor5D,20,10,12042,2,0.0,-2.4,-0.7,1.0,34,34,0,0,0
Lor5D,20,11,13042,2,0.0,0.3,0.65,1.0,7,7,0,0,0
Lor5D,20,12,14042,2,0.0,-1.6,-0.3,1.0,26,26,0,0,0
Lor5D,20,13,15042,3,0.16868512110726647,-1.4,1.8,0.8529411764705882,34,29,5,0,0
Lor5D,20,14,16042,2,0.0,0.0,0.5,1.0,10,10,0,0,0
Lor5D,20,15,17042,3,0.08284023668639047,-1.2,0.7,0.9230769230769231,26,24,2,0,0
Lor5D,20,16,18042,2,0.0,-1.5,-0.25,1.0,25,25,0,0,0
Lor5D,20,17,19042,2,0.0,-0.6,0.2,1.0,16,16,0,0,0
Lor5D,20,18,20042,2,0.0,-0.2,0.4,1.0,12,12,0,0,0
Lor5D,20,19,21042,3,0.15111111111111108,-0.1,1.25,0.8666666666666667,15,13,2,0,0
Lor5D,28,0,2842,3,0.05644132653061228,-2.5714285714285716,0.07142857142857142,0.9464285714285714,56,53,3,0,0
Lor5D,28,1,3842,2,0.0,-0.7857142857142857,0.10714285714285714,1.0,25,25,0,0,0
Lor5D,28,2,4842,2,0.0,-1.2142857142857142,-0.10714285714285714,1.0,31,31,0,0,0
Lor5D,28,3,5842,2,0.0,-1.1428571428571428,-0.07142857142857142,1.0,30,30,0,0,0
Lor5D,28,4,6842,3,0.11661807580174927,-1.9285714285714286,-0.75,0.8979591836734694,49,44,3,2,0
Lor5D,28,5,7842,3,0.19988102320047593,-0.9285714285714286,2.0357142857142856,0.8292682926829268,41,34,7,0,0
Lor5D,28,6,8842,3,0.1061394380853278,-0.7857142857142857,0.9642857142857143,0.9032258064516129,31,28,3,0,0
Lor5D,28,7,9842,3,0.17190082644628105,-1.9285714285714286,0.10714285714285714,0.8545454545454545,55,47,6,2,0
Lor5D,28,8,10842,3,0.030276816608996542,-1.2857142857142858,0.14285714285714285,0.9705882352941176,34,33,1,0,0
Lor5D,28,9,11842,3,0.022211720226843087,-2.142857142857143,-0.2857142857142857,0.9782608695652174,46,45,1,0,0
Lor5D,28,10,12842,2,0.0,-1.4285714285714286,-0.21428571428571427,1.0,34,34,0,0,0
Lor5D,28,11,13842,3,0.026298487836949394,-1.6428571428571428,-0.03571428571428571,0.9743589743589743,39,38,1,0,0
Lor5D,28,12,14842,3,0.05391190006574626,-1.5,0.32142857142857145,0.9487179487179487,39,37,2,0,0
Lor5D,28,13,15842,3,0.12049861495844875,-3.5,-1.5357142857142858,0.8947368421052632,76,68,5,3,0
Lor5D,28,14,16842,2,0.0,-1.1428571428571428,-0.07142857142857142,1.0,30,30,0,0,0
