d,N,hubble,rep,R_dS,H2,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,b1_mean,b1_std,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread
2,256,0.5,0,0.5,0.25,13192,0.1171875,21.0,0.08203125,12.19047619047619,4.042854338436404,0.3316403949498613,0.07421875,2.9734498988349536,-0.8125,5.3117646549899025,0.515625,-7.231091841193101,10.782703579180307,0.5135753773284115,18.01379542037341
2,256,0.5,1,0.5,0.25,13657,0.10546875,21.0,0.08203125,12.19047619047619,3.361108768575485,0.27571595367220775,0.0625,2.993000823715586,-0.7421875,4.848882109810853,0.5390625,-7.752595075715132,10.744823709899123,0.3654748126134155,18.497418785614254
2,256,0.5,2,0.5,0.25,13030,0.10546875,20.0,0.078125,12.8,3.722902093797257,0.2908517260779107,0.07421875,2.9495232954089263,-0.5625,4.952508833914383,0.51953125,-7.3454982401975295,10.654995199679346,0.5495304017629756,18.000493439876877
2,256,0.5,3,0.5,0.25,12909,0.10546875,21.0,0.08203125,12.19047619047619,4.531572286998217,0.3717305391678225,0.06640625,2.9582028732031787,-0.421875,4.26945798484714,0.48828125,-6.83487617296011,10.482778669005477,0.4508163869462152,17.317654841965584
2,256,0.5,4,0.5,0.25,12831,0.109375,20.0,0.078125,12.8,3.5721142198983507,0.27907142342955865,0.0703125,2.950766164033298,-0.4609375,4.579851157089469,0.578125,-6.7714078901644115,10.2588018032515,0.15598211613792579,17.030209693415912
2,256,0.5,5,0.5,0.25,13234,0.109375,22.0,0.0859375,11.636363636363637,4.508027733897251,0.387408633381795,0.0703125,2.9960235520889698,-0.5546875,5.120895603050676,0.5078125,-7.319006577972472,10.647978402353633,0.47819714819451065,17.966984980326103
2,256,0.5,6,0.5,0.25,13319,0.11328125,20.0,0.078125,12.8,5.1536394906900505,0.4026280852101602,0.08203125,2.895973915702876,-1.125,5.12195031213697,0.5703125,-7.272320085048311,11.057659101407959,0.18248668714916327,18.32997918645627
2,256,0.5,7,0.5,0.25,12832,0.11328125,22.0,0.0859375,11.636363636363637,5.465141223705141,0.46966057391216054,0.07421875,2.958307246458013,-0.7578125,4.916881147113864,0.5546875,-7.560127250376159,11.158342350721753,0.5431284786304769,18.71846960109791
2,256,1.0,0,2.0,1.0,10688,0.140625,20.0,0.078125,12.8,6.038211655780211,0.47173528560782896,0.078125,2.853683775775772,-0.421875,4.773968106761397,0.48828125,-6.864303380085477,10.305624467976294,0.28929136722376647,17.16992784806177
2,256,1.0,1,2.0,1.0,11925,0.125,20.0,0.078125,12.8,5.519057890618651,0.4311763977045821,0.0859375,2.8817864315043993,-0.5234375,4.981943715418085,0.54296875,-6.996014212849867,10.763835423908734,0.8189330948426097,17.759849636758602
2,256,1.0,2,2.0,1.0,10683,0.12890625,19.0,0.07421875,13.473684210526315,5.1131247120845424,0.3794897247250247,0.078125,2.8536797164034113,-0.984375,4.387454371201483,0.5703125,-7.06049836700339,11.180656163888663,0.9318265566914814,18.241154530892054
2,256,1.0,3,2.0,1.0,11023,0.1484375,21.0,0.08203125,12.19047619047619,6.485287728088845,0.5319962589447881,0.09375,2.8686909951808857,-0.4765625,4.574837503517885,0.54296875,-7.281515660569571,10.658279749006542,0.5445741731407079,17.939795409576114
2,256,1.0,4,2.0,1.0,9929,0.16015625,16.0,0.0625,16.0,6.773108592072033,0.42331928700450205,0.109375,2.675270467806932,-1.265625,5.424891091936777,0.58203125,-8.060777759794476,10.69808722047056,0.23128455934949166,18.758864980265038
2,256,1.0,5,2.0,1.0,10967,0.140625,17.0,0.06640625,15.058823529411764,4.1652708157883485,0.276600015110945,0.078125,2.789668094115342,-1.140625,4.701619360324164,0.61328125,-7.239921641479867,10.630028336327765,0.524609678051009,17.869949977807632
