metric,scope,alpha,win_rate_focus_vs_control,mean_gap_control_minus_focus
bdg_d2_corrected_norm,20,-9.0,1.0,42.25419885931815
bdg_d2_corrected_norm,20,-8.75,1.0,41.82294885931816
bdg_d2_corrected_norm,20,-8.5,1.0,41.391698859318154
bdg_d2_corrected_norm,20,-8.25,1.0,40.960448859318156
bdg_d2_corrected_norm,20,-8.0,1.0,40.52919885931816
bdg_d2_corrected_norm,20,-7.75,1.0,40.09794885931815
bdg_d2_corrected_norm,20,-7.5,1.0,39.66669885931816
bdg_d2_corrected_norm,20,-7.25,1.0,39.235448859318154
bdg_d2_corrected_norm,20,-7.0,1.0,38.804198859318156
bdg_d2_corrected_norm,20,-6.75,1.0,38.37294885931816
bdg_d2_corrected_norm,20,-6.5,1.0,37.94169885931815
bdg_d2_corrected_norm,20,-6.25,1.0,37.51044885931816
bdg_d2_corrected_norm,20,-6.0,1.0,37.079198859318154
bdg_d2_corrected_norm,20,-5.75,1.0,36.647948859318156
bdg_d2_corrected_norm,20,-5.5,1.0,36.21669885931816
bdg_d2_corrected_norm,20,-5.25,1.0,35.78544885931815
bdg_d2_corrected_norm,20,-5.0,1.0,35.35419885931816
bdg_d2_corrected_norm,20,-4.75,1.0,34.92294885931817
