rs,N,rep,mean_K,median_K,std_K,max_K,n_causal_pairs,C_0,C_1,C_2,C_3,C_4,bd_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,w_max_ratio,bin0_density,bin0_mean_K,bin0_layer_ratio,bin1_density,bin1_mean_K,bin1_layer_ratio,bin2_density,bin2_mean_K,bin2_layer_ratio
0.5,512,0,0.016988464408513666,0.0002305351172826932,0.13165922570600552,2.0562248709764392,49280,8201,4015,2870,2321,1803,0.06269110812133072,10.0,0.01953125,51.2,15.302287410710857,0.2988728009904464,0.1328125,2.246227752275483,nan,0.511033762617473,0.05079933731487392,0.052941176470588235,0.3631234950120399,0.00027141013915652927,0.05263157894736842,0.308703130374957,9.237017447173679e-05,0.05263157894736842
0.5,512,1,0.008888144127161445,0.00026961914823817805,0.05957095876725505,0.8708002247006831,49158,8111,4052,2904,2429,1905,0.06200311888454012,11.0,0.021484375,46.54545454545455,18.82147533761096,0.4043676342064854,0.142578125,2.2827269341423073,nan,0.502749738948834,0.026360547047603638,0.052941176470588235,0.3872721018231854,0.0003067971250659823,0.05263157894736842,0.290952872377021,9.926600367111118e-05,0.04678362573099415
0.5,512,2,0.014994728749638263,0.0002682600109855011,0.11447464055475928,2.2019587522907487,49718,8233,4128,2832,2331,2007,0.06293572651663405,10.0,0.01953125,51.2,12.952219886953742,0.25297304466706527,0.123046875,2.2620791282750994,nan,0.5112426035502958,0.04475855839772325,0.052941176470588235,0.40165118679050565,0.0003037849338584653,0.04678362573099415,0.2853113175094599,9.590040065521503e-05,0.04678362573099415
0.5,512,3,0.0110190490428963,0.00027940441878137093,0.10976608340738246,2.388921195509514,48633,7895,4339,3029,2423,1947,0.06035194471624266,10.0,0.01953125,51.2,11.948221624995076,0.23336370361318506,0.126953125,2.2686817598569484,nan,0.4961364427427776,0.03278357537764888,0.058823529411764705,0.36924664602683177,0.00030527230417241744,0.04678362573099415,0.3045751633986928,9.557737864979302e-05,0.04678362573099415
0.5,512,4,0.008287036175433811,0.00022450659589055952,0.04602526372410768,0.6108493688959754,48672,8298,4210,2899,2288,1950,0.06343260763209393,10.0,0.01953125,51.2,22.346364357541475,0.43645242885823193,0.146484375,2.160768605169559,nan,0.5029585798816568,0.024589581701565964,0.052941176470588235,0.3735810113519092,0.00027784456826877667,0.05263157894736842,0.2942552459580323,8.90187800113232e-05,0.04678362573099415
0.5,512,5,0.019068206523917268,0.0002410648551877011,0.1339886919100454,1.7455222001405315,49709,8112,4179,2931,2307,1939,0.062010763209393346,10.0,0.01953125,51.2,15.879546593023367,0.3101473943949876,0.125,2.2308325499121087,nan,0.5018447615732684,0.0570662379826823,0.052941176470588235,0.38410732714138285,0.0002647600901829911,0.04678362573099415,0.31455108359133127,9.583220917168907e-05,0.04093567251461988
0.5,512,6,0.0313877933808685,0.0003223748370032926,0.20995561178048464,2.693859503185445,48207,8955,4149,2936,2189,1791,0.06845492906066536,10.0,0.01953125,51.2,19.451478092936792,0.3799116815026717,0.142578125,2.198344832527057,nan,0.5211277410372434,0.09407420945978211,0.052941176470588235,0.34269005847953216,0.00035852489956352364,0.04678362573099415,0.29858961128310973,9.723301179153813e-05,0.05263157894736842
0.5,512,7,0.022477611300662517,0.0003347083940246541,0.17535115225997278,2.5680672084467093,50615,8198,4130,2919,2262,1923,0.06266817514677103,11.0,0.021484375,46.54545454545455,18.092507923867455,0.3887062249268398,0.130859375,2.297416159804659,nan,0.510546467107553,0.06722424857584236,0.052941176470588235,0.3995872033023736,0.0003655840693556023,0.05263157894736842,0.3068455452356381,0.00010467749816489862,0.04678362573099415
0.5,512,8,0.018855516225470444,0.00023341189540419897,0.1654186625654624,2.703302927156666,49144,8384,3900,2821,2381,1881,0.06409001956947162,11.0,0.021484375,46.54545454545455,21.856405910827217,0.46957122074042845,0.1328125,2.2359153262404265,nan,0.5067177166724678,0.05642297584422848,0.052941176470588235,0.35782593739250085,0.0002686044293100665,0.04678362573099415,0.31475748194014447,9.466114918130854e-05,0.04678362573099415
0.5,512,9,0.016433407242551556,0.00023790081497131822,0.10911110482576804,1.632247093351749,49062,8100,4090,2831,2352,1912,0.0619190313111546,10.0,0.01953125,51.2,16.166632302368974,0.315754537155644,0.130859375,2.2335416064658644,nan,0.4913331012878524,0.04912217102570753,0.058823529411764705,0.37722738218094254,0.0002763663731571618,0.04678362573099415,0.3153766769865841,9.284669009497664e-05,0.04678362573099415
