beta,gamma,lam,eta,kappa,L_B,L_C,L_A,L_D,L_total
0.5,2.166666666666667,1.0333333333333332,0.7,0.05,0.0,0.0643072102716903,205.799337493055,0.0,102.96397595679919
0.5,2.166666666666667,1.0333333333333332,0.7,0.2,0.0,0.06437503127130847,205.83350128061392,0.0,102.98112567157827
0.5,2.166666666666667,1.0333333333333332,0.7,0.35,0.0,0.06444326181243183,205.8677021165944,0.0,102.99829432010962
0.5,2.166666666666667,1.0333333333333332,0.7,0.5,0.0,0.06451189751192575,205.9019400009965,0.0,103.01548189801017
0.5,2.166666666666667,1.0333333333333332,1.0,0.05,0.0,0.05006134970641403,204.55126470298086,0.0,102.32569370119684
0.5,2.166666666666667,1.0333333333333332,1.0,0.2,0.0,0.05010045259489387,204.58860021132952,0.0,102.34440055825965
0.5,2.166666666666667,1.0333333333333332,1.0,0.35,0.0,0.05014020372029081,204.6259727680996,0.0,102.36312658777008
0.5,2.166666666666667,1.0333333333333332,1.0,0.5,0.0,0.05018060058283629,204.66338237329097,0.0,102.38187178722832
0.5,2.166666666666667,1.5,0.1,0.05,0.0,0.10577135670853237,207.93902659225895,0.0,104.07528465283801
0.5,2.166666666666667,1.5,0.1,0.2,0.0,0.10585664466415608,207.96680885969283,0.0,104.08926107451057
0.5,2.166666666666667,1.5,0.1,0.35,0.0,0.10594162208501881,207.99462817554766,0.0,104.10325570985884
0.5,2.166666666666667,1.5,0.1,0.5,0.0,0.1060262871688868,208.02248453982384,0.0,104.1172685570808
0.5,2.166666666666667,1.5,0.4,0.05,0.0,0.07957960927845036,206.00970037786357,0.0,103.08442979821024
0.5,2.166666666666667,1.5,0.4,0.2,0.0,0.0796763544754769,206.04065436608653,0.0,103.10000353751875
0.5,2.166666666666667,1.5,0.4,0.35,0.0,0.07977311845491139,206.07164540273095,0.0,103.11559581982038
0.5,2.166666666666667,1.5,0.4,0.5,0.0,0.0798698964824189,206.10267348779695,0.0,103.1312066403809
0.5,2.166666666666667,1.5,0.7,0.05,0.0,0.059315749271395976,204.42898240435193,0.0,102.27380695144736
0.5,2.166666666666667,1.5,0.7,0.2,0.0,0.05939979762071675,204.46310811336463,0.0,102.29095385430303
0.5,2.166666666666667,1.5,0.7,0.35,0.0,0.05948421085407811,204.49727087079913,0.0,102.30811964625364
0.5,2.166666666666667,1.5,0.7,0.5,0.0,0.059568983377095354,204.5314706766543,0.0,102.32530432170424
0.5,2.166666666666667,1.5,1.0,0.05,0.0,0.04559322777015336,203.19687267172515,0.0,101.64402956363273
0.5,2.166666666666667,1.5,1.0,0.2,0.0,0.04564780280423893,203.23417010152747,0.0,101.66273285356797
0.5,2.166666666666667,1.5,1.0,0.35,0.0,0.04570300909586629,203.27150457975134,0.0,101.68145529897153
0.5,2.166666666666667,1.5,1.0,0.5,0.0,0.045758842587423895,203.30887610639644,0.0,101.70019689578564
0.5,3.0,0.1,0.1,0.05,0.0,0.1459803175715088,439.9539615594712,0.0,220.12296109730713
0.5,3.0,0.1,0.1,0.2,0.0,0.145958786945614,439.99017478984933,0.0,220.14104618187028
0.5,3.0,0.1,0.1,0.35,0.0,0.145937289129428,440.026425068648,0.0,220.15914982345342
0.5,3.0,0.1,0.1,0.5,0.0,0.1459158251702787,440.0627123958691,0.0,220.17727202310482
0.5,3.0,0.1,0.4,0.05,0.0,0.12215482532947124,436.58079875054887,0.0,218.4125542006039
0.5,3.0,0.1,0.4,0.2,0.0,0.12214966044264407,436.6201837017167,0.0,218.432241511301
0.5,3.0,0.1,0.4,0.35,0.0,0.12214463132445576,436.6596057013056,0.0,218.45194748197727
0.5,3.0,0.1,0.4,0.5,0.0,0.12213973841944176,436.6990647493157,0.0,218.4716721130773
0.5,3.0,0.1,0.7,0.05,0.0,0.10127686129444326,433.5562441825118,0.0,216.87939895255036
0.5,3.0,0.1,0.7,0.2,0.0,0.10127725671882734,433.59880085446866,0.0,216.90067768395315
0.5,3.0,0.1,0.7,0.35,0.0,0.10127789658076966,433.6413945748472,0.0,216.92197518400437
0.5,3.0,0.1,0.7,0.5,0.0,0.10127878118491994,433.68402534364725,0.0,216.94329145300856
0.5,3.0,0.1,1.0,0.05,0.0,0.08525735818779147,430.8802978553586,0.0,215.5254062858671
0.5,3.0,0.1,1.0,0.2,0.0,0.08525000615481725,430.92602624810485,0.0,215.54826313020723
0.5,3.0,0.1,1.0,0.35,0.0,0.08524299437760023,430.9717916892735,0.0,215.57113883901437
0.5,3.0,0.1,1.0,0.5,0.0,0.08523632358867979,431.01759417886274,0.0,215.59403341302004
0.5,3.0,0.5666666666666667,0.1,0.05,0.0,0.13938502934607544,437.902840229342,0.0,219.09080514401708
0.5,3.0,0.5666666666666667,0.1,0.2,0.0,0.13937865041845712,437.939015381174,0.0,219.10888634100544
0.5,3.0,0.5666666666666667,0.1,0.35,0.0,0.1393722642027263,437.975227581426,0.0,219.12698605491573
0.5,3.0,0.5666666666666667,0.1,0.5,0.0,0.139365871486756,438.0114768301007,0.0,219.1451042865371
