d,N,p_frw,rep,bin_label,n_matched,H_local,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width
3,256,0.5,7,early,128,1.195565740751363,1687,0.3515625,7.0,0.0546875,18.285714285714285
3,256,0.5,7,late,128,0.574568570393399,284,0.5703125,4.0,0.03125,32.0
3,256,1.0,0,early,128,1.8617106606716254,2176,0.34375,9.0,0.0703125,14.222222222222223
3,256,1.0,0,late,128,1.1158681978712686,212,0.578125,4.0,0.03125,32.0
3,256,1.0,1,early,128,1.8438447641920512,2007,0.34375,8.0,0.0625,16.0
3,256,1.0,1,late,128,1.1047307557866923,155,0.6171875,3.0,0.0234375,42.666666666666664
3,256,1.0,2,early,128,1.7487008928721393,2029,0.421875,8.0,0.0625,16.0
3,256,1.0,2,late,128,1.1080761356634188,210,0.59375,4.0,0.03125,32.0
3,256,1.0,3,early,128,1.715437982435132,1758,0.3671875,8.0,0.0625,16.0
3,256,1.0,3,late,128,1.0987960934508185,125,0.65625,3.0,0.0234375,42.666666666666664
3,256,1.0,4,early,128,1.734356497634412,2205,0.3515625,8.0,0.0625,16.0
3,256,1.0,4,late,128,1.0906779087112053,133,0.6171875,3.0,0.0234375,42.666666666666664
3,256,1.0,5,early,128,1.978066809184002,2634,0.3359375,10.0,0.078125,12.8
3,256,1.0,5,late,128,1.1068057531600575,184,0.5546875,3.0,0.0234375,42.666666666666664
3,256,1.0,6,early,128,1.8979854946640415,2013,0.3203125,10.0,0.078125,12.8
3,256,1.0,6,late,128,1.1111497173229603,199,0.6015625,3.0,0.0234375,42.666666666666664
3,256,1.0,7,early,128,1.8388135135731383,2282,0.3125,8.0,0.0625,16.0
3,256,1.0,7,late,128,1.1046725764293979,160,0.5703125,4.0,0.03125,32.0
3,256,1.5,0,early,128,2.3418722330135093,2162,0.3515625,8.0,0.0625,16.0
3,256,1.5,0,late,128,1.6087177852359142,97,0.6640625,4.0,0.03125,32.0
3,256,1.5,1,early,128,2.358968246286749,1882,0.390625,7.0,0.0546875,18.285714285714285
3,256,1.5,1,late,128,1.656045507113817,146,0.6171875,3.0,0.0234375,42.666666666666664
3,256,1.5,2,early,128,2.325776634927088,1907,0.375,8.0,0.0625,16.0
3,256,1.5,2,late,128,1.637016226075326,154,0.6015625,3.0,0.0234375,42.666666666666664
