d,N,p_frw,rep,t_center,H_local,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy
2,256,0.5,6,0.6,0.8333333333333334,4344,0.1796875,11.0,0.04296875,23.272727272727273,8.97563276159817,0.38567172022492135,0.12890625,2.289281180986712
2,256,0.5,7,0.6,0.8333333333333334,4283,0.17578125,11.0,0.04296875,23.272727272727273,7.978276290150867,0.34281655934242006,0.125,2.3140936402622025
2,256,0.5,0,0.8,0.625,3593,0.19921875,11.0,0.04296875,23.272727272727273,10.322886392432805,0.44356152467484705,0.13671875,2.27488958254048
2,256,0.5,1,0.8,0.625,3910,0.1953125,11.0,0.04296875,23.272727272727273,9.60199703746247,0.41258581020346546,0.125,2.2844221641690403
2,256,0.5,2,0.8,0.625,3806,0.17578125,12.0,0.046875,21.333333333333332,10.9188929027728,0.5118231048174751,0.125,2.2937266942912813
2,256,0.5,3,0.8,0.625,3878,0.203125,11.0,0.04296875,23.272727272727273,10.269911118416035,0.441285243369439,0.1484375,2.2817566803841998
2,256,0.5,4,0.8,0.625,3826,0.1875,11.0,0.04296875,23.272727272727273,11.306401317121272,0.48582193159505466,0.14453125,2.2327768709078146
2,256,0.5,5,0.8,0.625,3683,0.1875,10.0,0.0390625,25.6,7.657675887630659,0.2991279643605726,0.1328125,2.2474538303233693
2,256,0.5,6,0.8,0.625,3674,0.20703125,10.0,0.0390625,25.6,9.604165762834375,0.37516272511071774,0.140625,2.219343057931324
2,256,0.5,7,0.8,0.625,3810,0.20703125,10.0,0.0390625,25.6,10.384603988597735,0.405648593304599,0.15234375,2.200057264600501
2,256,1.0,0,0.2,5.0,13735,0.11328125,21.0,0.08203125,12.19047619047619,4.521051791016351,0.3708675297318101,0.078125,2.9650499369629424
2,256,1.0,1,0.2,5.0,13842,0.11328125,20.0,0.078125,12.8,4.675467891024384,0.36527092898628,0.0859375,2.919808306792821
2,256,1.0,2,0.2,5.0,13306,0.1015625,21.0,0.08203125,12.19047619047619,4.8267019955861175,0.3959403980754237,0.08203125,2.9575336536738055
