d,N,p_frw,rep,bin_label,t_mean,H_local,H_local_sq,n_elements,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width
2,256,1.0,0,late,0.8605620229994586,1.173504610991133,1.3771130720174503,128,1773,0.203125,11.0,0.0859375,11.636363636363637
2,256,1.0,1,early,0.5147554432326954,2.279161637665533,5.194577770606235,128,4168,0.1484375,19.0,0.1484375,6.7368421052631575
2,256,1.0,1,late,0.8830458541297324,1.139118262616619,1.2975904162267045,128,1345,0.21875,11.0,0.0859375,11.636363636363637
2,256,1.0,2,early,0.48633359053364994,2.542116606796153,6.462356842548786,128,4815,0.1328125,20.0,0.15625,6.4
2,256,1.0,2,late,0.8655217751183619,1.1653350163058032,1.3580057002284465,128,1576,0.203125,10.0,0.078125,12.8
2,256,1.0,3,early,0.5047272542967498,2.3782540750311205,5.65609244540213,128,4515,0.1640625,17.0,0.1328125,7.529411764705882
2,256,1.0,3,late,0.8826979050822046,1.1408093722292265,1.301446023766042,128,1480,0.21875,10.0,0.078125,12.8
2,256,1.0,4,early,0.4575894736342719,2.607272321054097,6.797868956134819,128,4617,0.1484375,19.0,0.1484375,6.7368421052631575
2,256,1.0,4,late,0.8526923008873303,1.1853939439884607,1.4051588024445179,128,1742,0.1953125,10.0,0.078125,12.8
2,256,1.0,5,early,0.4569473277153858,2.5627274935582522,6.567572206239362,128,4427,0.140625,21.0,0.1640625,6.095238095238095
2,256,1.0,5,late,0.8586286231290947,1.176551663362675,1.3842738165614772,128,1764,0.1875,12.0,0.09375,10.666666666666666
2,256,1.0,6,early,0.49986846475829255,2.4269864881978327,5.890263413894849,128,4531,0.140625,18.0,0.140625,7.111111111111111
2,256,1.0,6,late,0.8709800646442034,1.157060287726066,1.3387885094327268,128,1567,0.21875,9.0,0.0703125,14.222222222222221
2,256,1.0,7,early,0.49003479405487627,2.405216988696802,5.785068762715712,128,4323,0.1328125,18.0,0.140625,7.111111111111111
2,256,1.0,7,late,0.8761200104555555,1.150197609024803,1.3229545398063736,128,1488,0.2109375,9.0,0.0703125,14.222222222222221
2,256,1.5,0,early,0.5224215386787834,3.316404524744007,10.998538971742521,128,5039,0.1328125,22.0,0.171875,5.818181818181818
2,256,1.5,0,late,0.8816312746139136,1.713476694635277,2.9360023830582347,128,1543,0.2109375,9.0,0.0703125,14.222222222222221
2,256,1.5,1,early,0.5378021248478548,3.094472024446496,9.575757110081996,128,4781,0.15625,21.0,0.1640625,6.095238095238095
2,256,1.5,1,late,0.8917576570518411,1.6920070611134161,2.8628878948576597,128,1472,0.2421875,11.0,0.0859375,11.636363636363637
2,256,1.5,2,early,0.5254773670432131,3.3454491623650506,11.192030097969019,128,5187,0.1328125,21.0,0.1640625,6.095238095238095
2,256,1.5,2,late,0.8893292287911969,1.696239030604727,2.877226848946864,128,1414,0.234375,10.0,0.078125,12.8
2,256,1.5,3,early,0.5422827826344891,3.1343798879371185,9.824337281904704,128,4400,0.1484375,20.0,0.15625,6.4
2,256,1.5,3,late,0.866697820484213,1.743439388148322,3.039580900146995,128,1587,0.1953125,11.0,0.0859375,11.636363636363637
2,256,1.5,4,early,0.5358828394216033,3.2638252755346526,10.652555429218852,128,4889,0.125,23.0,0.1796875,5.565217391304348
2,256,1.5,4,late,0.8790553836699547,1.7178239830528745,2.9509192367516426,128,1642,0.234375,12.0,0.09375,10.666666666666666
2,256,1.5,5,early,0.5133745991447793,3.357759060528232,11.274545908559436,128,5268,0.125,20.0,0.15625,6.4
2,256,1.5,5,late,0.8917779633167017,1.6938603016596276,2.8691627215384448,128,1473,0.2265625,10.0,0.078125,12.8
2,256,1.5,6,early,0.51313317096033,3.4638474601143097,11.998239226940354,128,5268,0.1171875,23.0,0.1796875,5.565217391304348
2,256,1.5,6,late,0.8797729159007555,1.71952718455999,2.956773738440806,128,1678,0.2109375,10.0,0.078125,12.8
2,256,1.5,7,early,0.5374711527638669,3.207552482391545,10.288392927296163,128,4705,0.15625,23.0,0.1796875,5.565217391304348
2,256,1.5,7,late,0.8885099682616648,1.7006137229858302,2.892087034807726,128,1652,0.234375,11.0,0.0859375,11.636363636363637
2,256,2.0,0,early,0.586127988151062,3.7774449757186166,14.26909054458182,128,4883,0.1484375,22.0,0.171875,5.818181818181818
