d,N,p_frw,rep,H_eff_sq,R_eff,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,b1_mean,b1_std,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread
2,256,1.0,0,1.0,4.58565912250193,18449,0.1015625,30.0,0.1171875,8.533333333333333,4.425180473406957,0.5185758367273778,0.06640625,3.2528058228349326,-0.5703125,4.28876365079072,0.58984375,-6.580456121664049,9.936676522278537,0.07941454735398423,16.51713264394259
2,256,1.0,1,1.0,4.033156720681783,17057,0.11328125,27.0,0.10546875,9.481481481481481,4.121941023985256,0.434735967373445,0.0625,3.185412357359809,-0.703125,5.3885865711125955,0.56640625,-7.884563837302227,11.225422035721401,0.6322189952318933,19.10998587302363
2,256,1.0,2,1.0,5.0723590204479265,18445,0.1015625,27.0,0.10546875,9.481481481481481,4.021887988295771,0.4241834987655696,0.07421875,3.2040536514844837,-0.5390625,4.5541916539704115,0.5703125,-7.032127289536933,10.620479797828628,0.3588291040362428,17.65260708736556
2,256,1.0,3,1.0,4.42562663922733,17986,0.109375,26.0,0.1015625,9.846153846153847,5.0588255530638095,0.5137869702330431,0.0703125,3.1091610372797196,-0.6875,4.987092715199909,0.58203125,-7.176274431487773,11.2084856790256,0.5102900380765583,18.384760110513373
2,256,1.0,4,1.0,5.081381698753071,18698,0.09765625,29.0,0.11328125,8.827586206896552,4.631741800299034,0.524689500815125,0.07421875,3.218930661753444,-0.796875,5.079615165972221,0.55078125,-7.1835625148474,10.980583120699169,0.9147273360348755,18.164145635546568
2,256,1.0,5,1.0,4.8347681353065255,18894,0.09375,29.0,0.11328125,8.827586206896552,4.29168374254402,0.4861672989600648,0.0703125,3.234923573783992,-0.6328125,4.671006137851218,0.53515625,-6.637434275137285,10.22622614515842,0.2456703007318879,16.863660420295705
2,256,1.0,6,1.0,4.772859734719483,17905,0.109375,25.0,0.09765625,10.24,4.254691528183917,0.41549721954921065,0.06640625,3.1247529136863963,-1.15625,5.172701029201281,0.5625,-7.340540547070261,10.883883233419503,0.7727858503208065,18.224423780489765
2,256,1.0,7,1.0,4.334533622790311,17885,0.10546875,26.0,0.1015625,9.846153846153847,4.720595690020388,0.4794354997676956,0.0703125,3.1279235775632666,-0.296875,4.486715417137018,0.5390625,-7.309305629015533,10.721130667281836,0.5586688859300644,18.030436296297367
2,256,1.5,0,2.25,10.96006646929262,18942,0.10546875,30.0,0.1171875,8.533333333333333,5.07761973982123,0.5950335632603004,0.07421875,3.2161642555726457,-0.734375,5.098229433771591,0.56640625,-7.446407731936942,10.989296838536024,1.0564922940308836,18.435704570472964
2,256,1.5,1,2.25,9.331568547243268,18447,0.12109375,30.0,0.1171875,8.533333333333333,4.849284025044889,0.568275471684948,0.078125,3.2256207344597123,-0.71875,4.661909312449138,0.546875,-7.283711216983964,10.675874971472801,0.6288303071912527,17.959586188456765
2,256,1.5,2,2.25,11.329224256729297,18991,0.1171875,29.0,0.11328125,8.827586206896552,4.742100258667886,0.5371910449272215,0.08203125,3.2253951765598745,-0.5703125,4.364601201982118,0.51953125,-6.699649209820731,9.968562596704356,0.22911131645936145,16.668211806525086
2,256,1.5,3,2.25,10.169289327301358,17732,0.09765625,30.0,0.1171875,8.533333333333333,5.051292463870564,0.5919483356098317,0.0703125,3.200413220362919,-1.28125,5.0326085122429305,0.5625,-7.711340772775664,11.331070522805271,1.1625460260947094,19.042411295580933
2,256,1.5,4,2.25,11.425366423437563,18755,0.1171875,32.0,0.125,8.0,5.043560250458004,0.6304450313072505,0.0703125,3.262136368598197,-0.9609375,5.088133166603813,0.57421875,-7.091054810798886,10.528450999125294,0.4556220976774217,17.61950580992418
2,256,1.5,5,2.25,10.917828992319022,19186,0.11328125,29.0,0.11328125,8.827586206896552,5.058751144217325,0.5730616530558689,0.08203125,3.2100672076681778,-0.9609375,4.532697775176914,0.6171875,-6.753718936039268,10.369431725299755,0.6213149361174679,17.123150661339025
2,256,1.5,6,2.25,12.268583324628155,19527,0.10546875,31.0,0.12109375,8.258064516129032,4.697066633930118,0.5687854127024752,0.078125,3.2704161173554613,-0.3203125,4.696131376180158,0.5078125,-6.652668380030718,10.515821464793088,0.3444850675048965,17.168489844823807
2,256,1.5,7,2.25,10.52458310950402,18533,0.1171875,32.0,0.125,8.0,5.0,0.625,0.0625,3.240400991211407,-0.9296875,4.6075406837426565,0.59765625,-6.890349582385189,10.567354363616591,0.4539254663115546,17.45770394600178
2,256,2.0,0,4.0,16.564513627442444,18079,0.12109375,30.0,0.1171875,8.533333333333333,5.051292463870564,0.5919483356098317,0.07421875,3.213351257721585,-0.5234375,4.370470590633662,0.5390625,-6.629162049046474,10.027123318223317,0.15670949432804804,16.656285367269792
2,256,2.0,1,4.0,19.364316200950675,18525,0.125,30.0,0.1171875,8.533333333333333,5.542161632030913,0.6494720662536226,0.078125,3.1898042359660814,-0.8203125,4.529303191699993,0.578125,-6.822099783475846,10.420515026818162,0.4169477781311173,17.242614810294008
2,256,2.0,2,4.0,15.801953708670709,17899,0.109375,32.0,0.125,8.0,5.172040216394301,0.6465050270492876,0.07421875,3.250198724976584,-0.703125,4.5763648493509566,0.53515625,-6.994282861256296,11.315184352013105,1.7388320985003034,18.3094672132694
