d,N,hubble,rep,R_dS,H2,rho_est,n_causal_pairs,b1_mean,b1_std,b1_median,b1_min,b1_max,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread,R_est
2,256,0.5,6,0.5,0.25,-0.5625,13030,-0.5625,4.952508833914383,-1.0,-17.0,13.0,0.51953125,-7.3454982401975295,10.654995199679346,0.5495304017629756,18.000493439876877,1.125
2,256,0.5,7,0.5,0.25,-0.421875,12909,-0.421875,4.26945798484714,1.0,-11.0,13.0,0.48828125,-6.83487617296011,10.482778669005477,0.4508163869462152,17.317654841965584,0.84375
2,256,1.0,0,2.0,1.0,-1.0546875,10736,-1.0546875,4.893887440199636,-1.0,-13.0,15.0,0.5546875,-8.07345556139909,11.386334005394584,0.7812340754237379,19.459789566793674,2.109375
2,256,1.0,1,2.0,1.0,-0.5546875,10792,-0.5546875,4.545445168225412,-1.0,-13.0,13.0,0.53515625,-6.716479069884889,10.521471367370616,0.7907057331351393,17.237950437255506,1.109375
2,256,1.0,2,2.0,1.0,-0.546875,9460,-0.546875,4.381886321480168,-1.0,-15.0,13.0,0.53515625,-6.886871957900578,9.926562408313176,0.22512982437286944,16.813434366213755,1.09375
2,256,1.0,3,2.0,1.0,-0.9140625,10966,-0.9140625,4.409732389396634,-1.0,-17.0,13.0,0.55859375,-6.771239628088728,10.014895900466879,0.13321076877231164,16.786135528555608,1.828125
2,256,1.0,4,2.0,1.0,-0.421875,10688,-0.421875,4.773968106761397,1.0,-15.0,11.0,0.48828125,-6.864303380085477,10.305624467976294,0.28929136722376647,17.16992784806177,0.84375
2,256,1.0,5,2.0,1.0,-0.5234375,11925,-0.5234375,4.981943715418085,-1.0,-15.0,15.0,0.54296875,-6.996014212849867,10.763835423908734,0.8189330948426097,17.759849636758602,1.046875
2,256,1.0,6,2.0,1.0,-0.984375,10683,-0.984375,4.387454371201483,-1.0,-15.0,9.0,0.5703125,-7.06049836700339,11.180656163888663,0.9318265566914814,18.241154530892054,1.96875
2,256,1.0,7,2.0,1.0,-0.4765625,11023,-0.4765625,4.574837503517885,-1.0,-13.0,13.0,0.54296875,-7.281515660569571,10.658279749006542,0.5445741731407079,17.939795409576114,0.953125
2,256,2.0,0,8.0,4.0,-0.65625,5211,-0.65625,4.247126786134363,-1.0,-15.0,9.0,0.57421875,-6.733375572861437,9.960516073828543,0.23916367240766334,16.69389164668998,1.3125
2,256,2.0,1,8.0,4.0,-1.046875,5351,-1.046875,4.260757295877694,-1.0,-13.0,11.0,0.59375,-6.242569716444795,9.891212561777394,0.5432960219807832,16.13378227822219,2.09375
2,256,2.0,2,8.0,4.0,-0.875,6320,-0.875,4.512136411945011,-1.0,-13.0,13.0,0.58203125,-6.815572860857522,10.212413571581209,0.17282808561163243,17.02798643243873,1.75
2,256,2.0,3,8.0,4.0,-0.6875,5714,-0.6875,4.092199133717713,-1.0,-13.0,9.0,0.5546875,-6.252869237855984,9.472527312454718,0.3432789209188556,15.725396550310702,1.375
2,256,2.0,4,8.0,4.0,-1.0390625,5863,-1.0390625,4.2991684220432385,-1.0,-15.0,13.0,0.58203125,-6.391304350712359,10.175085122317089,0.9001044186310256,16.566389473029446,2.078125
2,256,2.0,5,8.0,4.0,-0.8203125,6473,-0.8203125,4.797352124072586,-1.0,-15.0,11.0,0.546875,-7.391430999818359,10.687394868713755,0.4430936857647616,18.078825868532114,1.640625
2,256,2.0,6,8.0,4.0,-0.6875,5727,-0.6875,4.340488883754916,-1.0,-13.0,13.0,0.546875,-7.182158849178966,10.274993712755698,0.6798834708399593,17.457152561934663,1.375
2,256,2.0,7,8.0,4.0,-1.0234375,5877,-1.0234375,4.140057449310788,-1.0,-15.0,11.0,0.5625,-6.498358462704812,9.793724691167426,0.37625818115254894,16.292083153872237,2.046875
2,512,0.0,0,0.0,0.0,-0.8671875,64066,-0.8671875,5.54367755554413,-1.0,-25.0,17.0,0.5546875,-8.62267690560188,11.894228419698997,0.35321397489855855,20.516905325300876,1.734375
2,512,0.0,1,0.0,0.0,-1.078125,64525,-1.078125,5.758973127596186,-1.0,-23.0,19.0,0.544921875,-9.366832282311572,12.604320672721068,0.8010050032485054,21.97115295503264,2.15625
2,512,0.0,2,0.0,0.0,-0.34375,61565,-0.34375,5.30983388982179,-1.0,-17.0,17.0,0.51171875,-7.691062654995211,11.627342499816432,0.2025661577078406,19.318405154811643,0.6875
2,512,0.0,3,0.0,0.0,-1.06640625,67213,-1.06640625,5.6681921906337065,-1.0,-19.0,19.0,0.5625,-8.369866617467867,11.545705903409154,0.20162702751715678,19.91557252087702,2.1328125
