N,lambda,action_key,focus_family,control_family,mean_score_focus,mean_score_control,win_rate_focus_vs_control,mean_f5_focus,mean_f5_control,mean_action_focus,mean_action_control
36,2.0,bdg_d2_link_norm,Lor4D,KR_like,-155.43209172710633,-119.05411037049963,1.0,165.29320283821744,135.30411037049961,-4.930555555555555,-8.125
36,3.0,bdg_d2_link_norm,Lor4D,KR_like,-150.50153617155075,-110.92911037049963,1.0,165.29320283821744,135.30411037049961,-4.930555555555555,-8.125
36,5.0,bdg_d2_link_norm,Lor4D,KR_like,-140.64042506043967,-94.67911037049963,1.0,165.29320283821744,135.30411037049961,-4.930555555555555,-8.125
36,7.0,bdg_d2_link_norm,Lor4D,KR_like,-130.77931394932855,-78.42911037049963,1.0,165.29320283821744,135.30411037049961,-4.930555555555555,-8.125
36,10.0,bdg_d2_link_norm,Lor4D,KR_like,-115.98764728266188,-54.05411037049963,1.0,165.29320283821744,135.30411037049961,-4.930555555555555,-8.125
36,15.0,bdg_d2_link_norm,Lor4D,KR_like,-91.33486950488411,-13.429110370499622,1.0,165.29320283821744,135.30411037049961,-4.930555555555555,-8.125
36,20.0,bdg_d2_link_norm,Lor4D,KR_like,-66.68209172710633,27.195889629500375,1.0,165.29320283821744,135.30411037049961,-4.930555555555555,-8.125
36,30.0,bdg_d2_link_norm,Lor4D,KR_like,-17.376536171550775,108.44588962950039,1.0,165.29320283821744,135.30411037049961,-4.930555555555555,-8.125
36,50.0,bdg_d2_link_norm,Lor4D,KR_like,81.23457493956033,270.94588962950036,1.0,165.29320283821744,135.30411037049961,-4.930555555555555,-8.125
16,0.0,bdg_d2_corrected_norm,Lor4D,KR_like,-71.42480945612216,-41.67606865993212,1.0,71.42480945612216,41.67606865993212,-0.84375,-2.71875
16,1.0,bdg_d2_corrected_norm,Lor4D,KR_like,-70.58105945612216,-38.95731865993212,1.0,71.42480945612216,41.67606865993212,-0.84375,-2.71875
16,2.0,bdg_d2_corrected_norm,Lor4D,KR_like,-69.73730945612216,-36.23856865993212,1.0,71.42480945612216,41.67606865993212,-0.84375,-2.71875
16,3.0,bdg_d2_corrected_norm,Lor4D,KR_like,-68.89355945612216,-33.51981865993212,1.0,71.42480945612216,41.67606865993212,-0.84375,-2.71875
16,5.0,bdg_d2_corrected_norm,Lor4D,KR_like,-67.20605945612218,-28.08231865993212,1.0,71.42480945612216,41.67606865993212,-0.84375,-2.71875
16,7.0,bdg_d2_corrected_norm,Lor4D,KR_like,-65.51855945612218,-22.64481865993212,1.0,71.42480945612216,41.67606865993212,-0.84375,-2.71875
16,10.0,bdg_d2_corrected_norm,Lor4D,KR_like,-62.98730945612217,-14.48856865993212,1.0,71.42480945612216,41.67606865993212,-0.84375,-2.71875
16,15.0,bdg_d2_corrected_norm,Lor4D,KR_like,-58.76855945612217,-0.8948186599321204,1.0,71.42480945612216,41.67606865993212,-0.84375,-2.71875
16,20.0,bdg_d2_corrected_norm,Lor4D,KR_like,-54.54980945612217,12.69893134006788,1.0,71.42480945612216,41.67606865993212,-0.84375,-2.71875
16,30.0,bdg_d2_corrected_norm,Lor4D,KR_like,-46.11230945612217,39.88643134006788,1.0,71.42480945612216,41.67606865993212,-0.84375,-2.71875
16,50.0,bdg_d2_corrected_norm,Lor4D,KR_like,-29.23730945612217,94.26143134006789,1.0,71.42480945612216,41.67606865993212,-0.84375,-2.71875
20,0.0,bdg_d2_corrected_norm,Lor4D,KR_like,-85.69314774222659,-58.96394888290842,1.0,85.69314774222659,58.96394888290842,-1.475,-3.2
20,1.0,bdg_d2_corrected_norm,Lor4D,KR_like,-84.21814774222659,-55.763948882908416,1.0,85.69314774222659,58.96394888290842,-1.475,-3.2
20,2.0,bdg_d2_corrected_norm,Lor4D,KR_like,-82.74314774222658,-52.56394888290842,1.0,85.69314774222659,58.96394888290842,-1.475,-3.2
20,3.0,bdg_d2_corrected_norm,Lor4D,KR_like,-81.26814774222657,-49.36394888290842,1.0,85.69314774222659,58.96394888290842,-1.475,-3.2
20,5.0,bdg_d2_corrected_norm,Lor4D,KR_like,-78.31814774222659,-42.96394888290842,1.0,85.69314774222659,58.96394888290842,-1.475,-3.2
20,7.0,bdg_d2_corrected_norm,Lor4D,KR_like,-75.36814774222658,-36.56394888290842,1.0,85.69314774222659,58.96394888290842,-1.475,-3.2
20,10.0,bdg_d2_corrected_norm,Lor4D,KR_like,-70.94314774222659,-26.96394888290842,1.0,85.69314774222659,58.96394888290842,-1.475,-3.2
20,15.0,bdg_d2_corrected_norm,Lor4D,KR_like,-63.56814774222658,-10.963948882908417,1.0,85.69314774222659,58.96394888290842,-1.475,-3.2
20,20.0,bdg_d2_corrected_norm,Lor4D,KR_like,-56.19314774222657,5.036051117091583,1.0,85.69314774222659,58.96394888290842,-1.475,-3.2
20,30.0,bdg_d2_corrected_norm,Lor4D,KR_like,-41.44314774222657,37.03605111709159,1.0,85.69314774222659,58.96394888290842,-1.475,-3.2
20,50.0,bdg_d2_corrected_norm,Lor4D,KR_like,-11.943147742226577,101.03605111709157,1.0,85.69314774222659,58.96394888290842,-1.475,-3.2
28,0.0,bdg_d2_corrected_norm,Lor4D,KR_like,-125.03523043511743,-95.29726375527828,1.0,125.03523043511743,95.29726375527828,-2.3125,-5.517857142857142
28,1.0,bdg_d2_corrected_norm,Lor4D,KR_like,-122.72273043511743,-89.77940661242116,1.0,125.03523043511743,95.29726375527828,-2.3125,-5.517857142857142
28,2.0,bdg_d2_corrected_norm,Lor4D,KR_like,-120.41023043511743,-84.261549469564,1.0,125.03523043511743,95.29726375527828,-2.3125,-5.517857142857142
28,3.0,bdg_d2_corrected_norm,Lor4D,KR_like,-118.09773043511743,-78.74369232670686,1.0,125.03523043511743,95.29726375527828,-2.3125,-5.517857142857142
28,5.0,bdg_d2_corrected_norm,Lor4D,KR_like,-113.47273043511741,-67.70797804099257,1.0,125.03523043511743,95.29726375527828,-2.3125,-5.517857142857142
