rs,N,rep,r_min_factor,r_max_factor,mean_K,median_K,std_K,max_K,n_causal_pairs,C_0,C_1,C_2,C_3,C_4,bd_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy
0.25,256,0,1.5,10.0,9.80933715374474,0.07874050811006969,33.133112967043274,260.74429985792807,27263,872,694,618,489,449,0.026715686274509803,44.0,0.171875,5.818181818181818,2.091896999818882,0.35954479684387036,0.0390625,3.71399780418409
0.25,256,1,1.5,10.0,9.94266558094447,0.08549812333335008,36.0398332722747,263.0147084406843,27292,907,670,615,521,494,0.02778799019607843,45.0,0.17578125,5.688888888888889,1.774162991663295,0.31186458837831355,0.03515625,3.751375522383615
0.25,256,2,1.5,10.0,10.582525708221471,0.09344529409900121,36.79712522388556,264.0727698371157,27161,872,669,592,522,472,0.026715686274509803,46.0,0.1796875,5.565217391304348,1.789488315413624,0.3215486816758856,0.0390625,3.7724378115210944
0.25,256,3,1.5,10.0,9.418832335762024,0.13439988675625236,32.29518647572375,250.87664629320253,27363,913,709,551,534,488,0.027971813725490197,41.0,0.16015625,6.2439024390243905,1.9099289707757945,0.3058870617258108,0.046875,3.6661149905289614
0.25,256,4,1.5,10.0,6.677582239141589,0.08187836460767102,23.292524511849226,192.8247795478113,27187,950,655,622,543,513,0.029105392156862746,40.0,0.15625,6.4,1.772004514666935,0.2768757054167086,0.04296875,3.645942271622995
0.25,256,5,1.5,10.0,8.036177410365486,0.08948891277524806,30.67089702215025,253.99538394369634,27507,897,706,587,540,497,0.027481617647058823,46.0,0.1796875,5.565217391304348,2.0178785018908334,0.3625875433085091,0.04296875,3.758787582782665
0.25,256,6,1.5,10.0,7.751994678452798,0.10173990064016507,28.469067611406466,254.29334200942128,27435,881,663,556,501,459,0.026991421568627452,45.0,0.17578125,5.688888888888889,2.0957334671737478,0.36839064852663533,0.04296875,3.7357569357469345
0.25,256,7,1.5,10.0,9.405727370634366,0.059514442258102956,30.29217194109723,223.92285592159314,26974,922,693,580,547,476,0.028247549019607843,43.0,0.16796875,5.953488372093023,2.261441075561529,0.3798514306607256,0.046875,3.685837769308148
0.25,256,8,1.5,10.0,12.517475834782953,0.1008358401077844,39.46388770273342,261.5687165201487,27039,970,686,616,544,512,0.02971813725490196,41.0,0.16015625,6.2439024390243905,2.0810467324586868,0.33329264074533654,0.0390625,3.6522583741341625
0.25,256,9,1.5,10.0,8.803621408648842,0.10432407060318777,32.68878017353496,261.6618756280041,27169,982,703,536,563,450,0.03008578431372549,39.0,0.15234375,6.564102564102564,1.428552643813756,0.2176310668310019,0.04296875,3.6403320934309695
