family,N,rep,seed,log_H,f5_calibrated,bdg_d2_link_norm,bdg_d2_corrected_norm,bdg_d4_standard_norm,bd_d4_trunc_norm,bd_ratio,C0,C1,C2,C3,total_relations
KR_like,28,7,9842,44.70719850867744,95.36191185218819,-5.714285714285714,-5.428571428571429,-3.642857142857143,-2.227105534142918,0.7284463787960292,94,4,11,13,143
Lor2D,36,0,3642,50.417705741741,100.56189415923579,-3.7777777777777777,-0.2777777777777778,-0.9722222222222222,-1.1773242158072696,2.7417687074829935,86,63,47,25,315
Lor2D,36,1,4642,51.61976285249297,103.18748176273347,-3.388888888888889,0.1111111111111111,1.6666666666666667,-0.7010345435994295,2.829307056579784,79,63,40,22,286
Lor2D,36,2,5642,46.63962426843849,93.17482728937836,-3.5555555555555554,-0.2777777777777778,-0.9722222222222222,-1.0714820664277498,3.2211599984944854,82,59,44,23,326
Lor2D,36,3,6642,48.13016827783447,95.98697096289207,-2.9444444444444446,0.05555555555555555,0.75,-0.8824782282500353,3.227310752528257,71,54,42,31,328
Lor2D,36,4,7642,45.690988175496884,91.32726611954061,-3.2222222222222223,0.0,4.5,-0.6027525477470184,3.7534506927185007,76,58,36,32,341
Lor2D,36,5,8642,47.73668448476168,95.22261168699809,-3.611111111111111,-0.5555555555555556,5.333333333333333,-0.716154850653647,3.13074326026707,83,55,33,34,315
Lor2D,36,6,9642,46.271358074321014,92.25996296179395,-3.3333333333333335,-0.3888888888888889,3.1944444444444446,-0.8446774606144927,3.231753846153846,78,53,37,34,325
Lor2D,36,7,10642,49.83952300737865,99.46332504973299,-3.5555555555555554,1.1111111111111112,-2.2777777777777777,-0.9958805311566642,2.9984756238393953,82,84,59,19,329
Lor3D,36,0,3642,66.62857623533526,139.4040462488408,-5.555555555555555,-3.4444444444444446,2.111111111111111,-1.2529257510783556,0.6661495844875346,118,38,16,9,190
Lor3D,36,1,4642,67.23905501964377,145.25908912194095,-4.388888888888889,-2.8333333333333335,-0.25,-1.0790422199548584,0.5998961218836565,97,28,16,7,152
Lor3D,36,2,5642,63.174836088923016,131.06089956665417,-4.5,-1.4444444444444444,4.444444444444445,-0.44398932367773836,1.160261748958953,99,55,19,4,205
Lor3D,36,3,6642,63.83715424491707,130.8474316251841,-5.333333333333333,-2.4444444444444446,3.0555555555555554,-1.2378054440241386,0.9952965561224492,114,52,27,19,224
Lor3D,36,4,7642,65.94039249329992,140.50203822647745,-4.944444444444445,-3.3333333333333335,-1.8333333333333333,-1.54777173863559,0.6661051658079008,107,29,22,12,174
Lor3D,36,5,8642,66.6512352255257,142.38692594237423,-4.722222222222222,-3.1666666666666665,-4.416666666666667,-1.623373273906676,0.6978200692041523,103,28,25,7,170
Lor3D,36,6,9642,58.93411592037106,121.08622531362603,-4.5,-1.7777777777777777,-3.5,-1.4872905104187215,1.235390796201607,99,49,38,13,222
Lor3D,36,7,10642,65.14803503555567,136.15050821459357,-7.444444444444445,-6.0,1.0555555555555556,-2.1601441743313847,0.6410545154738684,152,26,11,12,223
Lor4D,36,0,3642,73.29332027759845,162.87281553497652,-5.055555555555555,-4.277777777777778,-0.08333333333333333,-1.23024529049703,0.17742919921875,109,14,4,1,128
Lor4D,36,1,4642,76.25987123730775,176.3027053886442,-3.9444444444444446,-3.7222222222222223,-0.9166666666666666,-0.942959456466904,0.06980609418282545,89,4,1,0,95
Lor4D,36,2,5642,73.80199657357142,161.31162806285863,-4.277777777777778,-2.8333333333333335,2.1944444444444446,-0.6859142365452127,0.3949724517906336,95,26,7,2,132
Lor4D,36,3,6642,72.20240042860951,157.64918640921135,-6.055555555555555,-5.222222222222222,0.3333333333333333,-1.5628920456898072,0.16104400944051095,127,15,3,2,147
Lor4D,36,4,7642,75.87138735929554,172.61792174536833,-4.833333333333333,-4.611111111111111,-0.9166666666666666,-1.2604859046054644,0.03804393569564852,105,4,0,0,109
