d,N,hubble,rep,R_dS,H2,n_causal_pairs,w_max,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width,max_layer_width_ratio,min_layer_width,layer_entropy
2,512,1.0,7,2.0,1.0,41943,59.0,0.115234375,25.0,0.048828125,20.48,9.016074533853411,0.44023801434831106,39.0,0.076171875,2.0,3.104737073327106
2,512,2.0,0,8.0,4.0,22506,86.0,0.16796875,21.0,0.041015625,24.38095238095238,12.714731577700354,0.5215026623666161,49.0,0.095703125,1.0,2.8804358558459504
2,512,2.0,1,8.0,4.0,23507,83.0,0.162109375,20.0,0.0390625,25.6,12.366891282775958,0.4830816907334358,47.0,0.091796875,2.0,2.8669838724161614
2,512,2.0,2,8.0,4.0,23086,91.0,0.177734375,18.0,0.03515625,28.444444444444443,15.126217938923215,0.5317810994152693,55.0,0.107421875,1.0,2.73126165287039
2,512,2.0,3,8.0,4.0,25023,91.0,0.177734375,20.0,0.0390625,25.6,13.316906547693424,0.5201916620192744,54.0,0.10546875,2.0,2.851091597396593
2,512,2.0,4,8.0,4.0,25661,84.0,0.1640625,20.0,0.0390625,25.6,12.74127152210485,0.49770591883222065,48.0,0.09375,2.0,2.8647177644834776
2,512,2.0,5,8.0,4.0,23079,94.0,0.18359375,19.0,0.037109375,26.94736842105263,15.534253100506046,0.5764664236515916,54.0,0.10546875,2.0,2.7693356952007795
2,512,2.0,6,8.0,4.0,22049,92.0,0.1796875,19.0,0.037109375,26.94736842105263,16.731545007498564,0.6208971780126421,61.0,0.119140625,1.0,2.742600980783327
2,512,2.0,7,8.0,4.0,23478,89.0,0.173828125,19.0,0.037109375,26.94736842105263,14.225528143781835,0.527900458460654,56.0,0.109375,3.0,2.7980389747522856
3,128,0.0,0,0.0,0.0,2304,34.0,0.265625,7.0,0.0546875,18.285714285714285,8.189091798838009,0.4478409577489536,28.0,0.21875,1.0,1.8006277255801544
3,128,0.0,1,0.0,0.0,2465,34.0,0.265625,7.0,0.0546875,18.285714285714285,7.832428663927313,0.428335942558525,30.0,0.234375,5.0,1.8437291330075667
3,128,0.0,2,0.0,0.0,2620,31.0,0.2421875,7.0,0.0546875,18.285714285714285,6.942915931555924,0.3796907150069646,28.0,0.21875,4.0,1.8563848014248907
3,128,0.0,3,0.0,0.0,2319,37.0,0.2890625,8.0,0.0625,16.0,7.0710678118654755,0.4419417382415922,24.0,0.1875,1.0,1.9444685130429935
3,128,0.0,4,0.0,0.0,2359,33.0,0.2578125,7.0,0.0546875,18.285714285714285,6.755194524306794,0.3694247005480278,25.0,0.1953125,5.0,1.863911250766286
3,128,0.0,5,0.0,0.0,2184,34.0,0.265625,8.0,0.0625,16.0,7.053367989832942,0.4408354993645589,24.0,0.1875,2.0,1.9554625608678413
3,128,0.0,6,0.0,0.0,2189,32.0,0.25,7.0,0.0546875,18.285714285714285,7.362342129557215,0.4026280852101602,25.0,0.1953125,3.0,1.838492915702564
3,128,0.0,7,0.0,0.0,2304,32.0,0.25,7.0,0.0546875,18.285714285714285,7.439552323595164,0.40685051769661057,27.0,0.2109375,8.0,1.8548329106958026
