N,lambda,action_field,beta_entropy,entropy_sign,action_sign,focus_lor,mean_score_focus,mean_score_kr,win_rate_focus_vs_kr,lambda_cross_mean_focus_vs_kr,mean_f5_focus,mean_f5_kr,win_rate_f5_focus_vs_kr,agreement_rate_score_vs_f5
28,20.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-21.472300409283438,65.68560645846398,1.0,2.022678509783218,69.58265006732223,95.29726375527828,1.0,1.0
36,0.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-48.29322686030814,-64.32722150365669,0.0,2.03069061446103,96.39804249903817,135.30411037049961,1.0,0.0
36,2.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-48.237671304752595,-48.47999928143446,0.375,2.03069061446103,96.39804249903817,135.30411037049961,1.0,0.375
36,4.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-48.18211574919703,-32.63277705921224,1.0,2.03069061446103,96.39804249903817,135.30411037049961,1.0,1.0
36,6.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-48.12656019364148,-16.785554836990016,1.0,2.03069061446103,96.39804249903817,135.30411037049961,1.0,1.0
36,8.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-48.071004638085924,-0.938332614767794,1.0,2.03069061446103,96.39804249903817,135.30411037049961,1.0,1.0
36,10.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-48.01544908253037,14.90888960745443,1.0,2.03069061446103,96.39804249903817,135.30411037049961,1.0,1.0
36,12.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-47.95989352697482,30.756111829676648,1.0,2.03069061446103,96.39804249903817,135.30411037049961,1.0,1.0
36,14.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-47.90433797141925,46.60333405189887,1.0,2.03069061446103,96.39804249903817,135.30411037049961,1.0,1.0
36,16.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-47.8487824158637,62.4505562741211,1.0,2.03069061446103,96.39804249903817,135.30411037049961,1.0,1.0
36,18.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-47.793226860308145,78.29777849634331,1.0,2.03069061446103,96.39804249903817,135.30411037049961,1.0,1.0
36,20.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-47.737671304752595,94.14500071856554,1.0,2.03069061446103,96.39804249903817,135.30411037049961,1.0,1.0
16,0.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-15.977373306463498,-18.989846544100253,0.0,1.7447808797172153,31.810854423610923,41.67606865993212,1.0,0.0
16,2.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-15.586748306463498,-15.146096544100253,0.75,1.7447808797172153,31.810854423610923,41.67606865993212,1.0,0.75
