stage,n,n_cg,family,sample_id,keep_ratio,cg_repeat,gamma,beta,action_mode,entropy_method,log_H,penalty_local,score_local,penalty_global_consistency,score_augmented,score_augmented_full,sig_comp,sig_d_eff,sig_height_ratio,sig_width_ratio,sig_degree_var,sig_interval_empty,sig_interval_size_ratio,base_family_rank
original,30,30,lorentzian_like_3d,2,1.0,0,0.2,1.0,A2,sis,50.20689572814063,13.85230939045231,-47.436433850050165,0.0,-47.436433850050165,-47.436433850050165,0.3057471264367816,3.1709172413793105,0.13333333333333333,0.4,0.026643209876543214,0.640625,0.022395833333333334,1
original,30,30,lorentzian_like_3d,2,1.0,0,0.8,1.0,A2,sis,50.20689572814063,13.85230939045231,-39.12504821577878,0.0,-39.12504821577878,-39.12504821577878,0.3057471264367816,3.1709172413793105,0.13333333333333333,0.4,0.026643209876543214,0.640625,0.022395833333333334,3
original,30,30,lorentzian_like_3d,3,1.0,0,0.2,1.0,A2,sis,49.8556820006317,14.6836315071581,-46.91895569920008,0.0,-46.91895569920008,-46.91895569920008,0.2988505747126437,3.2122965517241377,0.13333333333333333,0.4,0.026876543209876553,0.671875,0.027083333333333334,1
original,30,30,lorentzian_like_3d,3,1.0,0,0.8,1.0,A2,sis,49.8556820006317,14.6836315071581,-38.108776794905225,0.0,-38.108776794905225,-38.108776794905225,0.2988505747126437,3.2122965517241377,0.13333333333333333,0.4,0.026876543209876553,0.671875,0.027083333333333334,3
original,30,30,transitive_percolation,0,1.0,0,0.2,1.0,A2,sis,59.00863120777525,49.80563294296021,-49.04750461918321,0.0,-49.04750461918321,-49.04750461918321,0.09885057471264368,4.412296551724138,0.13333333333333333,0.43333333333333335,0.004161728395061727,0.6511627906976745,0.015503875968992248,4
original,30,30,transitive_percolation,0,1.0,0,0.8,1.0,A2,sis,59.00863120777525,49.80563294296021,-19.16412485340708,0.0,-19.16412485340708,-19.16412485340708,0.09885057471264368,4.412296551724138,0.13333333333333333,0.43333333333333335,0.004161728395061727,0.6511627906976745,0.015503875968992248,5
original,30,30,transitive_percolation,1,1.0,0,0.2,1.0,A2,sis,52.838606021437926,32.54107724672136,-46.330390572093656,0.0,-46.330390572093656,-46.330390572093656,0.167816091954023,3.998503448275862,0.2,0.3333333333333333,0.009606172839506173,0.390625,0.035416666666666666,4
original,30,30,transitive_percolation,1,1.0,0,0.8,1.0,A2,sis,52.838606021437926,32.54107724672136,-26.805744224060838,0.0,-26.805744224060838,-26.805744224060838,0.167816091954023,3.998503448275862,0.2,0.3333333333333333,0.009606172839506173,0.390625,0.035416666666666666,5
original,30,30,transitive_percolation,2,1.0,0,0.2,1.0,A2,sis,56.07589862123367,41.622677624458376,-47.75136309634199,0.0,-47.75136309634199,-47.75136309634199,0.13793103448275862,4.177813793103448,0.13333333333333333,0.5,0.007925925925925925,0.5,0.02388888888888889,4
original,30,30,transitive_percolation,2,1.0,0,0.8,1.0,A2,sis,56.07589862123367,41.622677624458376,-22.777756521666966,0.0,-22.777756521666966,-22.777756521666966,0.13793103448275862,4.177813793103448,0.13333333333333333,0.5,0.007925925925925925,0.5,0.02388888888888889,5
