n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_info,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
100,random_layered_k6_tapered,13,0.2,1.0,A4,217.7665376865794,8.044672843868614,sis,0.09994543444444445,6.523788585879186,1.5838248737418272,1.5838248737418272,-217.44977271183103,-2.17449772711831,-0.4721861818993226,-0.3447864657012805,-0.8454981609682701,42.66485726080266,0.5630583933660074,0.17568683350762648,0.18855501600985008,robust_zscore,n
100,random_layered_k6_tapered,13,0.5,1.0,A4,217.7665376865794,8.044672843868614,sis,0.09994543444444445,6.523788585879186,1.5838248737418272,1.5838248737418272,-216.97462524970848,-2.169746252497085,-0.4711544122948718,-0.3447864657012805,-0.8454981609682701,42.66485726080266,0.5630583933660074,-0.07796261478285454,0.18855501600985008,robust_zscore,n
100,random_layered_k6_tapered,13,1.0,1.0,A4,217.7665376865794,8.044672843868614,sis,0.09994543444444445,6.523788585879186,1.5838248737418272,1.5838248737418272,-216.18271281283756,-2.1618271281283756,-0.4694347962874538,-0.3447864657012805,-0.8454981609682701,42.66485726080266,0.5630583933660074,-0.5007116952669897,0.18855501600985008,robust_zscore,n
100,random_layered_k6_tapered,14,0.0,1.0,A4,218.3768605887477,6.843579787227599,sis,0.10224641777777779,6.770030993476977,1.8085681058185896,1.8085681058185896,-218.3768605887477,-2.183768605887477,-0.47419932764524414,-0.330481416033881,-0.4463508705189978,42.66485726080266,0.5630583933660074,0.330481416033881,0.1604032036341764,robust_zscore,n
100,random_layered_k6_tapered,14,0.2,1.0,A4,218.3768605887477,6.843579787227599,sis,0.10224641777777779,6.770030993476977,1.8085681058185896,1.8085681058185896,-218.01514696758397,-2.18015146967584,-0.4734138764967409,-0.330481416033881,-0.4463508705189978,42.66485726080266,0.5630583933660074,0.24121124193008142,0.1604032036341764,robust_zscore,n
100,random_layered_k6_tapered,14,0.5,1.0,A4,218.3768605887477,6.843579787227599,sis,0.10224641777777779,6.770030993476977,1.8085681058185896,1.8085681058185896,-217.47257653583839,-2.174725765358384,-0.47223569977398605,-0.330481416033881,-0.4463508705189978,42.66485726080266,0.5630583933660074,0.10730598077438208,0.1604032036341764,robust_zscore,n
100,random_layered_k6_tapered,14,1.0,1.0,A4,218.3768605887477,6.843579787227599,sis,0.10224641777777779,6.770030993476977,1.8085681058185896,1.8085681058185896,-216.5682924829291,-2.1656829248292913,-0.470272071902728,-0.330481416033881,-0.4463508705189978,42.66485726080266,0.5630583933660074,-0.11586945448511682,0.1604032036341764,robust_zscore,n
100,random_layered_k6_tapered,15,0.0,1.0,A4,224.95723343130285,5.3553924869883005,sis,0.12196855111111111,8.564644872380674,2.0268935664990835,2.0268935664990835,-224.95723343130285,-2.2495723343130285,-0.48848842571718276,-0.1762473867875034,-0.0586016365979349,42.66485726080266,0.5630583933660074,0.1762473867875034,0.12552233455866832,robust_zscore,n
100,random_layered_k6_tapered,15,0.2,1.0,A4,224.95723343130285,5.3553924869883005,sis,0.12196855111111111,8.564644872380674,2.0268935664990835,2.0268935664990835,-224.55185471800303,-2.2455185471800303,-0.487608157025847,-0.1762473867875034,-0.0586016365979349,42.66485726080266,0.5630583933660074,0.16452705946791643,0.12552233455866832,robust_zscore,n
100,random_layered_k6_tapered,15,0.5,1.0,A4,224.95723343130285,5.3553924869883005,sis,0.12196855111111111,8.564644872380674,2.0268935664990835,2.0268935664990835,-223.9437866480533,-2.2394378664805332,-0.48628775398884333,-0.1762473867875034,-0.0586016365979349,42.66485726080266,0.5630583933660074,0.14694656848853596,0.12552233455866832,robust_zscore,n
