scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,count
1.640,1.64,48,1.0,lorentzian_like_2d,-68.92935901863311,4.486309735855501,1.8771791993157705,70.80653821794888,2
1.640,1.64,48,1.5,KR_like,-74.75415627212496,0.5824029143913274,14.835331885600063,97.00715410052504,2
1.640,1.64,48,1.5,lorentzian_like_2d,-67.99076941897522,4.79708340362113,1.8771791993157705,70.80653821794888,2
1.640,1.64,48,2.0,KR_like,-67.33649032932493,0.7400707382499571,14.835331885600063,97.00715410052504,2
1.640,1.64,48,2.0,lorentzian_like_2d,-67.05217981931733,5.107857071386756,1.8771791993157705,70.80653821794888,2
1.650,1.65,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,14.872410270639119,97.00715410052504,2
1.650,1.65,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.8853084222956304,70.80653821794888,2
1.650,1.65,48,0.1,KR_like,-95.51991307346114,0.14112449398934387,14.872410270639119,97.00715410052504,2
1.650,1.65,48,0.1,lorentzian_like_2d,-70.61800737571932,3.92689431458876,1.8853084222956304,70.80653821794888,2
1.650,1.65,48,0.2,KR_like,-94.03267204639722,0.1728495451632694,14.872410270639119,97.00715410052504,2
1.650,1.65,48,0.2,lorentzian_like_2d,-70.42947653348975,3.9890262288532816,1.8853084222956304,70.80653821794888,2
1.650,1.65,48,0.4,KR_like,-91.0581899922694,0.23629964751114052,14.872410270639119,97.00715410052504,2
1.650,1.65,48,0.4,lorentzian_like_2d,-70.05241484903063,4.11329005738229,1.8853084222956304,70.80653821794888,2
1.650,1.65,48,0.6,KR_like,-88.08370793814157,0.2997497498590066,14.872410270639119,97.00715410052504,2
1.650,1.65,48,0.6,lorentzian_like_2d,-69.6753531645715,4.237553885911319,1.8853084222956304,70.80653821794888,2
1.650,1.65,48,0.8,KR_like,-85.10922588401375,0.3631998522068627,14.872410270639119,97.00715410052504,2
1.650,1.65,48,0.8,lorentzian_like_2d,-69.29829148011237,4.3618177144403365,1.8853084222956304,70.80653821794888,2
1.650,1.65,48,1.0,KR_like,-82.13474382988593,0.4266499545547187,14.872410270639119,97.00715410052504,2
1.650,1.65,48,1.0,lorentzian_like_2d,-68.92122979565325,4.48608154296936,1.8853084222956304,70.80653821794888,2
1.650,1.65,48,1.5,KR_like,-74.69853869456638,0.5852752104243815,14.872410270639119,97.00715410052504,2
1.650,1.65,48,1.5,lorentzian_like_2d,-67.97857558450542,4.796741114291913,1.8853084222956304,70.80653821794888,2
1.650,1.65,48,2.0,KR_like,-67.26233355924681,0.7439004662940492,14.872410270639119,97.00715410052504,2
1.650,1.65,48,2.0,lorentzian_like_2d,-67.03592137335761,5.107400685614472,1.8853084222956304,70.80653821794888,2
1.660,1.66,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,14.909488655678176,97.00715410052504,2
1.660,1.66,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.89343764527549,70.80653821794888,2
1.660,1.66,48,0.1,KR_like,-95.51620523495723,0.1413159803915505,14.909488655678176,97.00715410052504,2
1.660,1.66,48,0.1,lorentzian_like_2d,-70.61719445342132,3.9268714953001598,1.89343764527549,70.80653821794888,2
1.660,1.66,48,0.2,KR_like,-94.02525636938941,0.17323251796768765,14.909488655678176,97.00715410052504,2
1.660,1.66,48,0.2,lorentzian_like_2d,-70.42785068889378,3.9889805902760465,1.89343764527549,70.80653821794888,2
1.660,1.66,48,0.4,KR_like,-91.04335863825378,0.23706559311994688,14.909488655678176,97.00715410052504,2
1.660,1.66,48,0.4,lorentzian_like_2d,-70.04916315983868,4.113198780227834,1.89343764527549,70.80653821794888,2
1.660,1.66,48,0.6,KR_like,-88.06146090711815,0.30089866827222117,14.909488655678176,97.00715410052504,2
