config,n,gamma,lor4d_rank,lor4d_raw_score,top1_family,top1_score,gap_to_top1,interval_weight,total_families
interval_3.0,40,2.0,3,-80.6586252716336,lorentzian_like_5d,-82.84432128653226,2.1856960148986673,3.0,17
interval_8.0,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,8.0,17
interval_8.0,10,0.2,2,-10.581754787902618,transitive_percolation,-10.766040397468231,0.18428560956561313,8.0,17
interval_8.0,10,0.5,10,-7.717392264508568,lorentzian_like_3d,-8.94385430350462,1.2264620389960523,8.0,17
interval_8.0,10,1.0,14,-2.9434547255184853,multi_layer_random,-7.66374237409253,4.720287648574045,8.0,17
interval_8.0,10,2.0,14,6.6044203524616805,multi_layer_random,-5.681929218950306,12.286349571411986,8.0,17
interval_8.0,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,8.0,17
interval_8.0,20,0.2,2,-32.446009539040986,lorentzian_like_5d,-32.93874035293895,0.492730813897964,8.0,17
interval_8.0,20,0.5,1,-30.668545752637602,lorentzian_like_4d,-30.668545752637602,0.0,8.0,17
interval_8.0,20,1.0,2,-27.706106108631968,transitive_percolation,-28.428164074337055,0.722057965705087,8.0,17
interval_8.0,20,2.0,7,-21.781226820620688,transitive_percolation,-25.20862067392079,3.427393853300103,8.0,17
interval_8.0,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,8.0,17
interval_8.0,40,0.2,3,-85.31655357944271,lorentzian_like_5d,-90.56485609541076,5.248302515968049,8.0,17
interval_8.0,40,0.5,3,-83.99760188940196,lorentzian_like_5d,-88.40092330682415,4.403321417422191,8.0,17
interval_8.0,40,1.0,2,-81.79934907266737,lorentzian_like_5d,-84.79436865917982,2.9950195865124556,8.0,17
interval_8.0,40,2.0,2,-77.4028434391982,lorentzian_like_5d,-77.58125936389116,0.1784159246929704,8.0,17
interval_10.0,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,10.0,17
interval_10.0,10,0.2,2,-10.281852834198167,transitive_percolation,-10.473148693663802,0.19129585946563488,10.0,17
interval_10.0,10,0.5,11,-6.967637380247443,random_layered_k8_uniform,-8.68104497661184,1.713407596364397,10.0,17
interval_10.0,10,1.0,14,-1.4439449569962348,multi_layer_random,-7.508093631565482,6.064148674569248,10.0,17
interval_10.0,10,2.0,14,9.60343988950618,multi_layer_random,-5.370631733896211,14.974071623402391,10.0,17
interval_10.0,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,10.0,17
interval_10.0,20,0.2,2,-32.23338623334402,lorentzian_like_5d,-32.577820951571525,0.3444347182275038,10.0,17
