family,n,gamma,log_H_mean,log_H_std,geo_penalty_mean,score_A3_mean,score_A3_std
absolute_layered,10,0.8,6.614654677272901,1.060372871976431,13.242194377725758,3.979100824907705,5.94441344462522
absolute_layered,10,1.6,6.614654677272901,1.060372871976431,13.242194377725758,14.572856327088314,10.875063505153987
absolute_layered,12,0.0,10.19215549238786,1.1127828270526425,9.238356692138732,-10.19215549238786,1.1127828270526425
absolute_layered,12,0.2,10.19215549238786,1.1127828270526425,9.238356692138732,-8.344484153960114,2.390911197836997
absolute_layered,12,0.4,10.19215549238786,1.1127828270526425,9.238356692138732,-6.496812815532366,3.681947067848525
absolute_layered,12,0.8,10.19215549238786,1.1127828270526425,9.238356692138732,-2.8014701386768732,6.27085411053719
absolute_layered,12,1.6,10.19215549238786,1.1127828270526425,9.238356692138732,4.589215215034113,11.454372563824263
absolute_layered,14,0.0,12.951715214342887,1.901531304759671,11.220067385708498,-12.951715214342887,1.901531304759671
absolute_layered,14,0.2,12.951715214342887,1.901531304759671,11.220067385708498,-10.707701737201187,3.260193297349908
absolute_layered,14,0.4,12.951715214342887,1.901531304759671,11.220067385708498,-8.463688260059488,4.640476805217941
absolute_layered,14,0.8,12.951715214342887,1.901531304759671,11.220067385708498,-3.9756613057760877,7.417596045812629
absolute_layered,14,1.6,12.951715214342887,1.901531304759671,11.220067385708498,5.000392602790712,12.988442965342243
absolute_layered,16,0.0,15.596067671320005,1.78978097713717,14.321370989427823,-15.596067671320005,1.78978097713717
absolute_layered,16,0.2,15.596067671320005,1.78978097713717,14.321370989427823,-12.73179347343444,2.8433823971148886
absolute_layered,16,0.4,15.596067671320005,1.78978097713717,14.321370989427823,-9.867519275548876,3.916851468648343
absolute_layered,16,0.8,15.596067671320005,1.78978097713717,14.321370989427823,-4.138970879777746,6.081259142093836
absolute_layered,16,1.6,15.596067671320005,1.78978097713717,14.321370989427823,7.318125911764514,10.429114101329217
absolute_layered,18,0.0,19.552297207583756,2.183119480629578,12.187807553345507,-19.552297207583756,2.183119480629578
absolute_layered,18,0.2,19.552297207583756,2.183119480629578,12.187807553345507,-17.114735696914654,3.4285451519599186
absolute_layered,18,0.4,19.552297207583756,2.183119480629578,12.187807553345507,-14.677174186245551,4.681071891957752
absolute_layered,18,0.8,19.552297207583756,2.183119480629578,12.187807553345507,-9.80205116490735,7.192583782894143
absolute_layered,18,1.6,19.552297207583756,2.183119480629578,12.187807553345507,-0.05180512223094347,12.2228527104931
absolute_layered,20,0.0,23.30954022198268,3.726860569724718,15.322582752666795,-23.30954022198268,3.726860569724718
absolute_layered,20,0.2,23.30954022198268,3.726860569724718,15.322582752666795,-20.24502367144932,4.398349757362714
absolute_layered,20,0.4,23.30954022198268,3.726860569724718,15.322582752666795,-17.180507120915962,5.149100289718593
absolute_layered,20,0.8,23.30954022198268,3.726860569724718,15.322582752666795,-11.051474019849243,6.781152348623789
absolute_layered,20,1.6,23.30954022198268,3.726860569724718,15.322582752666795,1.2065921822841952,10.26970115540571
interval_order,10,0.0,7.692359912011646,1.5521951172898194,5.077777287527018,-7.692359912011646,1.5521951172898194
interval_order,10,0.2,7.692359912011646,1.5521951172898194,5.077777287527018,-6.676804454506242,2.430685676180057
interval_order,10,0.4,7.692359912011646,1.5521951172898194,5.077777287527018,-5.661248997000839,3.4128851111132468
interval_order,10,0.8,7.692359912011646,1.5521951172898194,5.077777287527018,-3.6301380819900313,5.463403232900785
interval_order,10,1.6,7.692359912011646,1.5521951172898194,5.077777287527018,0.4320837480315831,9.650818623555816
interval_order,12,0.0,10.384903436177199,1.8307148713042734,4.923405016792499,-10.384903436177199,1.8307148713042734
interval_order,12,0.2,10.384903436177199,1.8307148713042734,4.923405016792499,-9.4002224328187,2.883087734675438
interval_order,12,0.4,10.384903436177199,1.8307148713042734,4.923405016792499,-8.4155414294602,4.042843495436667
interval_order,12,0.8,10.384903436177199,1.8307148713042734,4.923405016792499,-6.446179422743199,6.4517046510921245
