family,n,sample,gamma,log_H,neutral_penalty,geometric_penalty,score_A2,score_A3
KR_like,14,3,0.2,16.59923473772503,0.09735816095145543,14.165139455046988,-13.74673521452534,-13.766206846715633
KR_like,14,3,0.4,16.59923473772503,0.09735816095145543,14.165139455046988,-10.894235691325653,-10.933178955706236
KR_like,14,3,0.8,16.59923473772503,0.09735816095145543,14.165139455046988,-5.189236644926275,-5.267123173687439
KR_like,14,3,1.6,16.59923473772503,0.09735816095145543,14.165139455046988,6.22076144787248,6.064988390350152
KR_like,14,4,0.0,14.705174728373898,0.06929693646165949,3.680214204576247,-14.705174728373898,-14.705174728373898
KR_like,14,4,0.2,14.705174728373898,0.06929693646165949,3.680214204576247,-13.955272500166316,-13.969131887458648
KR_like,14,4,0.4,14.705174728373898,0.06929693646165949,3.680214204576247,-13.205370271958735,-13.233089046543398
KR_like,14,4,0.8,14.705174728373898,0.06929693646165949,3.680214204576247,-11.705565815543572,-11.7610033647129
KR_like,14,4,1.6,14.705174728373898,0.06929693646165949,3.680214204576247,-8.705956902713247,-8.816832001051903
KR_like,14,5,0.0,15.742007629553305,0.0632838169281318,6.452643195510256,-15.742007629553305,-15.742007629553305
KR_like,14,5,0.2,15.742007629553305,0.0632838169281318,6.452643195510256,-14.438822227065627,-14.451478990451253
KR_like,14,5,0.4,15.742007629553305,0.0632838169281318,6.452643195510256,-13.135636824577949,-13.160950351349202
KR_like,14,5,0.8,15.742007629553305,0.0632838169281318,6.452643195510256,-10.529266019602595,-10.579893073145099
KR_like,14,5,1.6,15.742007629553305,0.0632838169281318,6.452643195510256,-5.316524409651883,-5.4177785167368935
KR_like,14,6,0.0,15.116627132766522,0.11167511222175946,4.734010571398844,-15.116627132766522,-15.116627132766522
KR_like,14,6,0.2,15.116627132766522,0.11167511222175946,4.734010571398844,-14.147489996042403,-14.169825018486753
KR_like,14,6,0.4,15.116627132766522,0.11167511222175946,4.734010571398844,-13.17835285931828,-13.223022904206985
KR_like,14,6,0.8,15.116627132766522,0.11167511222175946,4.734010571398844,-11.24007858587004,-11.329418675647446
KR_like,14,6,1.6,15.116627132766522,0.11167511222175946,4.734010571398844,-7.363530038973556,-7.542210218528371
KR_like,14,7,0.0,15.78792032710306,0.05591709472904807,6.696803161188068,-15.78792032710306,-15.78792032710306
KR_like,14,7,0.2,15.78792032710306,0.05591709472904807,6.696803161188068,-14.437376275919638,-14.448559694865446
KR_like,14,7,0.4,15.78792032710306,0.05591709472904807,6.696803161188068,-13.086832224736215,-13.109199062627834
KR_like,14,7,0.8,15.78792032710306,0.05591709472904807,6.696803161188068,-10.385744122369367,-10.430477798152605
KR_like,14,7,1.6,15.78792032710306,0.05591709472904807,6.696803161188068,-4.983567917635675,-5.073035269202151
KR_like,16,0,0.0,19.43542516054713,0.10495164659288195,6.962420203670289,-19.43542516054713,-19.43542516054713
KR_like,16,0,0.2,19.43542516054713,0.10495164659288195,6.962420203670289,-18.021950790494497,-18.042941119813072
KR_like,16,0,0.4,19.43542516054713,0.10495164659288195,6.962420203670289,-16.60847642044186,-16.650457079079015
KR_like,16,0,0.8,19.43542516054713,0.10495164659288195,6.962420203670289,-13.781527680336591,-13.865488997610898
KR_like,16,0,1.6,19.43542516054713,0.10495164659288195,6.962420203670289,-8.127630200126054,-8.295552834674666
KR_like,16,1,0.0,19.626613801725487,0.12097846137152778,8.595735861153546,-19.626613801725487,-19.626613801725487
